"","Participant","Age","Gender","avgTotalTransferTime","avgView2Play","avgBuild2Play","avgPlay2Build","totalView2Play","totalBuild2Play","totalPlay2Build","totalPlay2View","totalBuildWallCount","totalPlayWallCount","totalViewWallCount","totalPlayWallGazeTime","totalBuildWallGazeTime","totalViewWallGazeTime","avgPickUp2GazeFind","group","condition"
"1",NA,NA,NA,1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"2",NA,NA,NA,4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"4","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"5","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"6","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"7","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"8","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"9","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"10","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"11","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"12","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"13","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"14","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"15","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"16","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"17","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"18","P4",23,"m",0,0,0,0,0,0,0,0,0,0,0,112044.390625,60727.1484375,10312.3359375,0,"e","co"
"19","P4",23,"m",0,0,0,0,0,0,0,0,0,0,0,112044.390625,60727.1484375,10312.3359375,0,"e","co"
"20","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"21","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"22","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"23","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"24","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41428.578125,15120.65625,593.140625,0,"e","s"
"25","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119075.8515625,64039.703125,10312.3359375,0,"e","co"
"26","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32176.3515625,12171.015625,593.140625,0,"e","s"
"27","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41417.5703125,15120.65625,593.140625,0,"e","s"
"28","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119065.859375,64039.703125,10312.3359375,0,"e","co"
"29","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32165.34375,12171.015625,593.140625,0,"e","s"
"30","P4",22,"m",1703.609375,305.0625,1267.2734375,2165.1875,305.0625,26612.7421875,45468.9375,2572.0703125,21,22,1,41417.5703125,15120.65625,593.140625,0,"e","s"
"31","P4",23,"m",4840.32727272727,655.781661184211,11100.4520089286,2914.3390625,12459.8515625,388515.8203125,102001.8671875,29458.4609375,35,54,20,119065.859375,64039.703125,10312.3359375,0,"e","co"
"32","P4",22,"m",0,0,0,0,0,0,0,0,0,0,0,32165.34375,12171.015625,593.140625,0,"e","s"
