,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition
1,P10,18,f,1190.827889,706.34375,1453.257143,1682.999628,963.1903409,26134.71875,101728,106028.9766,42380.375,63,107,44,138739.1563,138120.6953,33494.21875,154805.6783,7040.699777,159869.9453,e,s
2,P10,18,f,1656.845514,665.1296875,2066.548769,2038.470703,1273.46946,6651.296875,68196.10938,65231.0625,14008.16406,32,43,11,94092.10938,129775.7969,9922.03125,61912.26349,7548.896973,98951.76953,e,co
3,P11,NA,m,989.293484,823.5911776,1509.453899,1733.222522,754.2553791,67534.47656,152454.8438,100526.9063,92019.15625,58,183,122,244963.7109,115222.125,109735.1641,248400.4483,10556.81271,260698.6953,e,s
4,P11,NA,m,1787.823993,1597.342188,1038.722538,2744.130445,3032.882353,39933.55469,34277.84375,90556.30469,51559,33,58,17,293478.3438,9850.890625,27238.82031,173898.2422,29307.84288,174906.2813,e,co
5,P12,NA,m,1016.528308,569.5832435,1604.831952,1378.732422,952.8029514,33035.82813,78636.76563,71694.08594,51451.35938,52,107,54,152371.9375,73284.55469,33203.64844,121365.5023,6801.540323,131163.082,e,s
6,P12,NA,m,977.5217634,658.3171875,1502.518229,1474.861762,1251.953316,32915.85938,40567.99219,53095.02344,51330.08594,36,77,41,158600.625,71846.20313,36604.66406,140811.0255,14189.10026,119644.6563,e,co
7,P13,NA,m,1172.583782,688.6297433,1454.918108,1496.233438,862.4502841,19281.63281,81475.41406,74811.67188,28460.85938,50,84,33,132074.7188,60918.26563,20677.78125,65655.32221,7274.036058,109625.125,c,s
8,P13,NA,m,1187.634516,618.5298295,1525.121505,1684.408954,1290.863163,13607.65625,57954.61719,43794.63281,42598.48438,26,60,33,158551.3359,47237.02344,19896.04688,92838.28551,10235.47135,97490.16797,c,co
11,P16,18,m,1179.013726,692.4417614,1253.685884,1423.806708,624.2315341,7616.859375,72713.78125,82580.78906,6866.546875,58,69,11,130455.7813,50748.79688,7876.914063,52357.36648,6545.687066,90566.66406,e,s
12,P16,18,m,1207.127137,723.3965993,1443.221191,1415.684375,2371.72154,12297.74219,46183.07813,49548.95313,33204.10156,35,49,14,150048.6641,49416.09375,16939.71875,60170.75446,7752.750651,86356.82031,e,co
13,P18,NA,f,880.7808036,537.896234,995.4911282,1249.579159,676.021875,20977.95313,58733.97656,84971.38281,20280.65625,68,98,30,89844.05469,51522.01563,20705.01563,66739.53281,4517.412946,102687.7305,c,s
14,P18,NA,f,1038.945357,488.0503472,1257.768403,1433.930226,1063.209961,17569.8125,56599.57813,83167.95313,25517.03906,58,81,24,91920.39844,56121.07031,16678.57031,230069.8252,14371.44661,101759.75,c,co
15,P19,NA,f,1165.753371,701.9396875,1085.12934,1783.330286,869.7459239,17548.49219,48830.82031,83816.52344,20004.15625,47,70,23,159826.2734,35321.10938,15943.53906,91664.16067,11247.45443,94439.79688,c,s
16,P19,NA,f,886.5053202,729.4149709,1019.570992,1678.876953,1008.476563,31364.84375,23450.13281,60439.57031,29245.82031,36,66,29,75489.80469,57678.69531,33921.01563,137413.5943,11935.19531,104127.1133,c,co
19,P20,NA,m,1592.671761,825.9048295,1967.078442,1813.467147,1065.678125,18169.90625,145563.8047,141450.4375,21313.5625,78,96,20,192209.7422,155397.0156,21834.30469,113041.4609,10482.53047,188654.6445,c,s
20,P20,NA,m,1924.576723,1039.265625,1818.241554,2219.341363,867.2265625,2078.53125,67274.9375,79896.28906,867.2265625,36,39,1,177202.3594,57018.79688,2843.4375,0,14723.58353,87607.12891,c,co
25,P23,NA,m,1172.630781,626.0754207,1285.869466,1569.455078,902.443125,16277.96094,61721.73438,75333.84375,22561.07813,48,74,25,141769.8516,42802.25,16675.89844,56612.85531,5382.430859,96804.46875,c,s
26,P23,NA,m,915.9816457,597.919181,1234.299386,1283.820597,609.4756196,34679.3125,69120.76563,70610.13281,35349.58594,55,114,58,171411.25,59949.73438,32729.94531,129420.2656,13246.39697,110295.2383,c,co
27,P24,NA,f,1386.814954,659.9015625,1142.472969,1899.509038,800.7760417,6599.015625,57123.64844,96874.96094,7206.984375,51,60,9,126961.9063,37737.95313,9411.007813,61125.16059,9197.726074,87771.31641,c,s
28,P24,NA,f,1632.838477,628.7984375,1434.443527,1992.805357,1882.34375,3143.992188,50205.52344,69748.1875,7529.375,35,40,4,179048.1719,39971.07031,4575.992188,13011.76953,6071.328726,74309.52344,c,co
29,P25,NA,m,1303.355748,967.6659915,2077.327567,1414.128433,1438.109282,78380.94531,145412.9297,93332.47656,120801.1797,66,151,84,248098.7656,166770.1094,99145.21875,243624.7247,9036.786328,260480.3516,c,s
30,P25,NA,m,1262.006242,1021.139178,2232.742634,1077.295455,1407.239873,55141.51563,78145.99219,35550.75,75990.95313,33,89,54,195845.2031,82742.01563,58985.53125,171227.0761,19077.31641,140358.9102,c,co
31,P26,NA,f,1217.006506,614.8165409,1590.298852,1889.763153,847.5239258,35659.35938,131994.8047,149291.2891,54241.53125,79,141,64,166033.9375,125290.1875,43866.85938,212371.0748,9731.182292,202451.8555,c,s
32,P26,NA,f,1361.689556,540.051875,1835.320929,1909.89442,1069.479795,13501.29688,69742.19531,66846.30469,31014.91406,35,63,29,101329.2813,67189.92969,16400.42969,104825.2179,10854.82422,106146.4453,c,co
33,P27,NA,f,1002.586138,569.4182292,1243.507428,1354.718608,779.3964844,17082.54688,75853.95313,74509.52344,28058.27344,55,91,36,141792.4688,60344.58594,23140.77344,61044.92947,4479.284752,105515.0078,c,s
34,P27,NA,f,1582.267037,640.7135417,1811.266633,1729.67749,1757.849609,5766.421875,56149.26563,55349.67969,14062.79688,32,40,8,143561.9063,50400.44531,7246.40625,50359.99121,14552.88021,71028.73828,c,co
35,P28,NA,m,1351.682897,544.5082465,1370.890625,1659.656749,1382.418199,9801.148438,63060.96875,78003.86719,23501.10938,47,64,17,146727.6953,42675.0625,9885.945313,53943.99954,8536.154018,89675.66797,c,s
36,P28,NA,m,2090.618107,958.4375,1723.190524,2772.920615,432.8554688,1916.875,53418.90625,85960.53906,865.7109375,31,33,2,97364.9375,44484.25,2204.929688,70392.78906,14318.40569,85056.02344,c,co
37,P29,NA,m,1528.034828,958.1464844,1173.147481,2207.209252,1551.908854,11497.75781,57484.22656,112567.6719,18622.90625,51,61,12,89020.625,47570.48438,15265.59375,47641.17383,11465.85417,109414.2578,c,s
38,P29,NA,m,1375.766751,911.9181548,1615.381944,2116.118608,1183.09421,19150.28125,43615.3125,69831.91406,20112.60156,33,48,17,69492.82031,49392.39844,21671.29688,110370.0248,22516.64497,89652.20703,c,co
41,P30,18,f,931.3583813,696.4091283,1130.430963,1440.471023,745.8307292,39695.32031,55391.11719,79225.90625,38037.36719,55,106,51,149766.8281,50964.00781,41219.55469,113023.3681,8186.320938,124843.8906,c,s
42,P30,18,f,977.6312713,732.1888021,1278.580181,1532.516703,1340.116951,30751.92969,24293.02344,44442.98438,44223.85938,29,61,33,84078.83594,36847.91406,33299.95313,113373.0696,12266.43815,97388.09375,c,co
39,P3,0,m,1273.064915,542.2021875,1594.04362,1822.830339,978.606824,27110.10938,95642.61719,109369.8203,47951.73438,60,110,49,184271.9688,79337.96094,25580.92188,127725.011,8434.902344,143099.3281,e,s
40,P3,0,m,1271.004336,674.2523562,2210.976753,1567.460175,1118.788422,42477.89844,90650.04688,64265.86719,68246.09375,41,104,61,211686.9453,83337.32813,39683.48438,173529.5503,15878.13462,150967.0273,e,co
43,P4,NA,m,1703.609553,305.0625,1267.272693,2165.188244,2572.078125,305.0625,26612.72656,45468.95313,2572.078125,21,22,1,41428.59375,15120.60156,593.125,0,8000.876302,81668.72656,e,s
44,P4,NA,m,1897.292969,655.7791941,1905.355239,2914.339732,1472.922656,12459.80469,64782.07813,102001.8906,29458.45313,35,53,20,119075.8438,64039.63281,10312.32031,261915.3238,15083.05035,227649.0859,e,co
45,P5,NA,m,999.8583946,626.0827546,1318.882813,1197.906141,768.2041767,33808.46875,94959.5625,86249.24219,39946.61719,72,126,52,208741.3203,79688.07031,32364.11719,134756.2698,7126.485026,132514.0781,c,s
46,P5,NA,m,1133.998302,629.2481061,1716.865945,1304.378815,862.2328125,20765.1875,75542.10156,56088.28906,30178.14844,43,77,35,85782.16406,75479.92969,23103.71094,158049.9208,7383.606027,105865.2539,c,co
47,P6,NA,m,1156.867476,720.7802973,1031.758333,1560.651953,1181.271984,29551.99219,108334.625,156065.1953,50794.69531,100,146,43,198856.0938,64666.19531,34284.14063,118118.113,8577.378078,225530.457,e,s
48,P6,NA,m,1535.235509,460.3027344,1594.152344,1845.813125,2004.450195,5523.632813,76519.3125,92290.65625,16035.60156,50,60,8,115510.6797,85738.88281,5026.507813,46916.93164,7255.34561,4.29046E+14,e,co
49,P7,26,f,1174.091608,434.4322917,990.7131696,1425.513114,1534.41875,2606.59375,55479.9375,79828.73438,7672.09375,56,62,5,129022.8438,35857.64063,2967.671875,61936.75313,5561.4375,74811.39453,e,s
50,P7,26,f,2009.998915,638.0034722,2113.562863,2445.274826,1157.475694,5742.03125,90883.20313,110037.3672,10417.28125,45,52,9,106376.4375,95893.40625,5486,69311.08681,9780.191146,119354.75,e,co
51,P8,18,m,1906.484992,706.5291193,896.3211806,3574.080829,1999.426563,7771.820313,24200.67188,92926.10156,19994.26563,26,38,10,181529.2422,12612.33594,7302.726563,43340.65469,26833.05804,92594.94922,e,s
52,P8,18,m,1720.050257,658.7734375,1104.4125,2592.955625,2192.37207,5270.1875,27610.3125,64823.89063,17538.97656,25,33,8,168966.5469,19511.85156,3727.835938,107146.1055,21235.71094,69118.20703,e,co
