,Participant,Age,Gender,avgTotalTransferTime,avgTotalTransferTimeReal,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,avgTotalFix,avgViewFix,avgBuildFix,avgPlayFix,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
1,P10,18,f,164.5252899,137.7104744,51.88916016,138.2447077,315.3811384,45.32689145,1032.836974,578.1266447,1248.145413,1073.773112,28,47,22,51541.10938,38692.50781,10984.40625,75406.09943,2501.148438,159869.9453,e,s,752.171875,380.5045573
2,P10,18,f,218.772476,177.1312985,95.921875,214.5213995,347.3694196,50.7125,1558.386955,782.0667614,1760.268342,1680.144775,21,33,11,53764.63281,40486.17188,8602.734375,55149.55895,1933.056424,98951.76953,e,co,641.946875,382.4741587
3,P11,NA,m,197.7234769,255.3975116,101.1169355,271.936481,592.1352163,56.40141369,786.5119141,685.1551339,894.9473505,818.5659091,13,54,52,45021.125,20583.78906,28776.51563,177699.8226,26496.65052,260698.6953,e,s,,
4,P11,NA,m,382.8251096,345.6365289,446.4355469,224.9248047,118.7907986,592.3949653,1136.608665,1139.48763,320.6927083,1722.68625,20,28,9,43067.15625,5772.46875,13673.85156,153129.2326,80200.77344,174906.2813,e,co,,
5,P12,NA,m,189.0119696,206.941154,46.42407227,436.2426215,292.2803819,52.81754032,889.4921152,531.640625,1233.494565,1000.501465,23,50,36,48024.07031,28370.375,19670.70313,87243.45378,2425.897656,131163.082,e,s,628.2919034,419.9921875
6,P12,NA,m,134.0845788,133.8451563,60.94726563,219.9648438,210.2988281,44.1696875,1039.157779,594.5480957,1223.800987,1300.603849,23,40,29,53324.75781,23252.21875,19025.53906,104563.132,18184.86285,119644.6563,e,co,649.578125,826.4367898
7,P13,NA,m,224.5281395,207.6841538,79.97336648,337.6654576,356.4296875,56.66810345,852.449613,540.0568427,1086.145926,900.8321815,23,50,35,46843.27344,30412.08594,15661.64844,51735.99018,7709.096946,109625.125,c,s,356.6069079,415.8014706
8,P13,NA,m,187.8886719,160.1029243,82.63064236,272.5878125,206.4053819,78.78786058,1022.006282,528.1765046,1218.155349,1209.131925,18,43,35,53201.80469,31672.03906,14260.76563,71340.77344,10709.80078,97490.16797,c,co,370.4359375,390.0419408
9,P14,NA,m,282.5143649,247.4850284,55.00954861,577.0171274,282.511875,75.4015625,971.2242697,692.9244792,1273.388021,918.6305043,26,44,23,40419.74219,34381.47656,14551.41406,106649.4535,3069.353125,204124.7578,e,s,428.6201637,396.6766183
10,P14,NA,m,213.3847656,125.0921586,38.0078125,203.416956,236.9360532,22.0078125,1705.489631,867.1953125,1695.701968,1746.325231,27,28,1,47150.78125,45783.95313,867.1953125,0,1949.490954,65176.50391,e,co,705.167352,342.2328125
11,P16,18,m,290.5814394,250.6130511,304.0691964,449.1019531,187.2683594,62.01269531,893.530625,585.9460938,731.5202753,1099.369792,41,47,11,52769.75,30723.85156,5859.460938,45769.18963,5801.07303,90566.66406,e,s,337.6149554,344.9145612
12,P16,18,m,225.3441311,189.6502478,95.26822917,334.3779297,241.5353009,87.41953125,1187.135448,559.0063477,934.0229167,1663.98522,32,36,14,61567.45313,28020.6875,8944.101563,48819.50502,1645.375391,86356.82031,e,co,430.1668527,345.9244792
13,P18,NA,f,165.6103661,131.6142884,49.97760417,251.0966797,191.7195513,33.66331845,705.4595486,492.3171387,845.8098958,720.6372951,49,62,23,43958.875,35524.01563,15754.14844,57509.63281,1276.841734,102687.7305,c,s,158.4446023,349.3462054
14,P18,NA,f,182.7118137,156.6013724,51.23242188,212.539536,256.2837054,106.3498264,845.9546728,404.1214844,1083.226103,860.7515024,36,53,18,44759.07813,36829.6875,8082.429688,198627.4071,12508.32689,101759.75,c,co,446.2421875,346.7513951
15,P19,NA,f,319.2957702,284.5363023,206.438244,379.4840856,513.6459263,38.57695313,838.3138281,542.4673913,712.8617996,1055.867513,30,48,21,50681.64063,20672.99219,12476.75,86878.07366,8520.078516,94439.79688,c,s,422.8822917,371.0301943
16,P19,NA,f,214.678125,205.8062054,130.7592593,232.8808594,396.8712798,62.7134233,952.0823074,650.0597278,1199.08875,1026.211119,30,43,27,44127.07813,29977.21875,20151.85156,105803.9823,8405.557617,104127.1133,c,co,384.803125,415.6792763
17,P2,NA,m,228.4785156,161.2395833,49.01128472,340.390625,205.4348958,50.12152778,1007.673135,524.7742188,861.6591283,1238.284722,37,45,10,55722.8125,32743.04688,5247.742188,105245.8734,7020.90375,213441.8945,e,s,272.6778846,376.6276042
18,P2,NA,m,164.7954314,167.5490443,110.8522418,297.3046875,221.8558239,40.18342391,1017.36996,658.9365625,1329.613451,1056.908507,23,44,25,47560.88281,30581.10938,16473.41406,95148.0125,2698.840745,99835.26172,e,co,597.8899148,277.1416016
19,P20,NA,m,273.1553938,226.0986994,127.9296875,329.001019,389.1565625,58.30752841,1197.712732,847.6177885,1295.873125,1255.968967,26,35,12,45214.88281,32396.82813,11019.03125,80716.10156,13159.90543,188654.6445,c,s,368.2162829,532.797476
20,P20,NA,m,297.1834635,209.1082563,62.953125,249.6559606,378.9919085,144.8320313,1622.163678,947.8125,1617.965402,1693.517188,28,30,2,50805.51563,45303.03125,2843.4375,91207.50391,2581.446094,87607.12891,c,co,435.2250744,470.7544158
21,P21,NA,m,275.2902083,216.6059273,38.496875,297.4330842,318.55625,211.9375,1252.112648,995.0555099,1586.12793,1151.071321,16,33,26,35683.21094,38067.07031,18906.05469,78166.58353,3311.566406,188390.8477,c,s,389.1033654,385.10375
22,P21,NA,m,262.1898717,253.9531325,66.2890625,238.1105769,615.2936198,96.11927083,1496.518415,942.7514648,1818.718192,1663.805889,12,26,18,43258.95313,25462.05469,15084.02344,118236.9253,3511.387153,164062.1914,c,co,581.2210938,521.313101
23,P22,NA,f,167.8756359,160.3364443,38.640625,202.6749321,356.8931108,43.13710938,1200.501011,829.8835565,1685.418478,1118.302591,22,43,21,45850.40625,38764.625,17427.55469,129643.7191,2350.398082,131663.3594,c,s,305.7786458,544.6165082
24,P22,NA,f,218.8196998,208.6246614,43.78092448,296.4010417,430.7634943,63.5531851,930.9594678,634.9107143,1280.973858,913.7039561,24,48,30,42944.08594,33305.32031,17777.5,81719.07057,3304.391085,168801.2852,c,co,526.8085938,632.8355824
25,P23,NA,m,260.9203603,233.3535285,44.00892857,444.4517299,400.0092593,44.94419643,845.2709961,575.2585227,740.6224888,1038.106488,27,49,22,47752.89844,20737.42969,12655.6875,51694.2081,3102.516085,96804.46875,c,s,522.334375,321.5672348
26,P23,NA,m,153.7970121,154.1145513,47.90039063,229.1896552,296.5281808,42.83997845,841.4320652,530.6920797,930.2163254,954.3569079,28,57,29,54398.34375,26976.27344,15390.07031,128922.4582,20389.89219,110295.2383,c,co,410.1059028,510.9665799
27,P24,NA,f,343.3422476,229.6351677,74.33333333,454.3541667,323.853171,66,1158.479708,1146.666667,688.4538352,1568.525288,34,39,5,59603.96094,22718.97656,6880,61069.175,6041.363839,87771.31641,c,s,330.4414063,484.8503906
28,P24,NA,f,294.9547303,196.6567098,37.5,287.7817708,383.9450684,77.4,1285.06155,762.6653646,1019.229335,1592.498733,32,36,5,58922.45313,31596.10938,4575.992188,46429.95156,9146.124589,74309.52344,c,co,510.6761364,576.6825521
29,P25,NA,m,128.660886,144.159353,54.54296875,171.2380515,271.4621394,79.39425223,1085.254416,1077.749748,1731.974609,775.4554116,15,41,35,31793.67188,34639.49219,33410.24219,147963.5016,24303.68025,260480.3516,c,s,503.9231771,653.530231
