"","Participant","Age","Gender","avgTotalTransferTime","avgView2Play","avgBuild2Play","avgPlay2Build","avgPlay2View","totalView2Play","totalBuild2Play","totalPlay2Build","totalPlay2View","totalBuildWallCount","totalPlayWallCount","totalViewWallCount","totalPlayWallGazeTime","totalBuildWallGazeTime","totalViewWallGazeTime","avgTimeBetweenViewWallChecks","avgGrab2Build","avgGameTime","group","condition"
"1","P10","18","f",75.549465880102,51.88916015625,138.24470766129,315.381138392857,45.3268914473684,830.2265625,4285.5859375,8830.671875,861.2109375,28,47,19,51541.109375,40238.859375,10984.40625,87312.3256578947,2501.1484375,159869.9453125,"e","s"
"2","P10","18","f",103.750710227273,95.921875,214.521399456522,347.369419642857,50.7125,959.21875,4933.9921875,7294.7578125,507.125,21,33,10,55089.9296875,40486.171875,8602.734375,60664.51484375,1933.05642361111,98951.76953125,"e","co"
"3","P11",NA,"m",81.0657552083333,101.116935483871,271.936480978261,592.135216346154,56.4014136904762,3134.625,6254.5390625,7697.7578125,2368.859375,13,54,42,45322.1953125,20583.7890625,29368.6484375,220009.304129464,26496.6505208333,260698.6953125,"e","s"
"4","P11",NA,"m",144.086074561404,446.435546875,224.9248046875,118.790798611111,592.394965277778,5357.2265625,3598.796875,2138.234375,5331.5546875,18,28,9,320299.734375,5772.46875,13673.8515625,153129.232638889,80200.7734375,174906.28125,"e","co"
"5","P12",NA,"m",74.4785693807339,46.424072265625,436.242621527778,292.280381944444,52.8175403225806,1485.5703125,7852.3671875,5261.046875,1637.34375,18,50,31,167261.859375,28370.375,19670.703125,101314.978578629,2425.89765625,131163.08203125,"e","s"
"6","P12",NA,"m",47.3931451612903,60.947265625,219.96484375,210.298828125,44.1696875,1706.5234375,2639.578125,3364.78125,1104.2421875,16,40,25,53568.8203125,33622.5703125,19991.7578125,121293.233125,18184.8628472222,119644.65625,"e","co"
"7","P13",NA,"m",96.583966456422,79.9733664772727,337.665457589286,356.4296875,56.6681034482759,1759.4140625,9454.6328125,8197.8828125,1643.375,23,50,29,46843.2734375,31619.359375,15661.6484375,62439.9881465517,7709.09694602273,109625.125,"c","s"
"8","P13",NA,"m",72.504268685567,82.6306423611111,272.5878125,206.405381944444,78.7878605769231,1487.3515625,6814.6953125,3715.296875,2048.484375,18,43,26,53459.859375,32204.1484375,14260.765625,96035.6565504808,10709.80078125,97490.16796875,"c","co"
"9","P14",NA,"m",132.061533938172,55.0095486111111,577.017127403846,282.511875,75.4015625,990.171875,15002.4453125,7062.796875,1508.03125,25,44,20,267541.1875,34579.515625,16417.8359375,122646.871484375,3069.353125,204124.7578125,"e","s"
"10","P14",NA,"m",106.6923828125,38.0078125,203.416956018519,236.936053240741,22.0078125,38.0078125,5492.2578125,6397.2734375,22.0078125,27,28,1,223048.390625,46199.046875,867.1953125,0,1949.49095394737,65176.50390625,"e","co"
"11","P16","18","m",140.3969921875,304.069196428571,449.101953125,187.268359375,62.0126953125,2128.484375,17964.078125,7490.734375,496.1015625,40,47,8,53430.90625,31100.9375,5859.4609375,62932.6357421875,5801.0730298913,90566.6640625,"e","s"
"12","P16","18","m",99.7827560240964,95.2682291666667,334.3779296875,241.535300925926,87.41953125,1143.21875,8025.0703125,6521.453125,874.1953125,27,36,10,61601.4609375,29701.0703125,8944.1015625,68347.30703125,1645.375390625,86356.8203125,"e","co"
"13","P18",NA,"f",65.623755787037,49.9776041666667,251.0966796875,191.719551282051,33.6633184523809,1499.328125,8035.09375,7477.0625,706.9296875,39,62,21,45472.1875,35524.015625,15754.1484375,62986.7406994048,1276.84173387097,102687.73046875,"c","s"
"14","P18",NA,"f",88.4237368574766,51.232421875,212.539535984848,256.283705357143,106.349826388889,1024.6484375,7013.8046875,8969.9296875,1914.296875,35,53,18,238482.078125,37473.359375,8082.4296875,198627.407118056,12508.3268914474,101759.75,"c","co"
"15","P19",NA,"f",148.6744921875,206.438244047619,379.484085648148,513.645926339286,38.576953125,4335.203125,10246.0703125,14382.0859375,771.5390625,28,48,20,53009.9921875,20672.9921875,12476.75,91221.97734375,8520.078515625,94439.796875,"c","s"
"16","P19",NA,"f",84.8529296875,130.759259259259,232.880859375,396.871279761905,62.7134232954545,3530.5,3726.09375,8334.296875,1379.6953125,21,43,22,45220.0859375,29989.1875,157976.4453125,129850.341974432,8405.5576171875,104127.11328125,"c","co"
"17","P2",NA,"m",110.440398185484,49.0112847222222,340.390625,205.434895833333,50.1215277777778,441.1015625,12254.0625,7395.65625,451.09375,36,45,9,59739.6796875,32743.046875,5247.7421875,116939.859375,7020.90375,213441.89453125,"e","s"
"18","P2",NA,"m",78.484122983871,110.852241847826,297.3046875,221.855823863636,40.1834239130435,2549.6015625,6243.3984375,4880.828125,924.21875,22,44,23,47598.890625,39670.7265625,16473.4140625,103421.752717391,2698.84074519231,99835.26171875,"e","co"
"19","P20",NA,"m",131.570787584459,127.9296875,329.001019021739,389.1565625,58.3075284090909,1535.15625,7567.0234375,9728.9140625,641.3828125,25,35,11,45316.609375,42670.7734375,11019.03125,88053.9289772727,13159.9054276316,188654.64453125,"c","s"
"20","P20",NA,"m",146.155801741803,62.953125,249.655960648148,378.991908482143,144.83203125,188.859375,6740.7109375,10611.7734375,289.6640625,28,30,2,52414.75,45303.03125,2843.4375,91207.50390625,2581.44609375,87607.12890625,"c","co"
"21","P21",NA,"m",104.048072916667,38.496875,297.43308423913,318.55625,211.9375,384.96875,6840.9609375,4778.34375,3602.9375,15,33,17,250124.40625,38067.0703125,18906.0546875,119548.892463235,3311.56640625,188390.84765625,"c","s"
