Index,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,group,condition
1,P30,18,f,1156.351288,696.4098136,1130.431282,1440.471591,39695.35938,55391.13281,79225.9375,89335.66406,55,106,52,149766.9297,50964.02344,41219.59375,c,s
2,P30,18,f,1507.150457,732.1899182,5106.617578,1532.515086,30751.97656,102132.3516,44442.9375,44223.85156,29,62,33,84078.80469,36847.88281,33299.99219,c,co
3,P29,26,m,1972.643845,958.1490885,2314.561719,2207.20818,11497.78906,115728.0859,112567.6172,18622.85156,51,62,12,89020.61719,47570.47656,15265.58594,c,s
4,P29,26,m,2203.12493,911.9166667,4837.574498,2116.119792,19150.25,135452.0859,69831.95313,20112.57813,33,49,17,69492.84375,49392.33594,21671.3125,c,co
5,P28,20,m,1825.881601,544.5073785,1370.889436,1659.658078,9801.132813,63060.91406,78003.92969,84672.75,47,64,18,146727.6406,42674.96875,9885.9375,c,s
6,P28,20,m,3558.518612,958.4453125,4112.540283,3362.355469,1916.890625,131601.2891,107595.375,865.7109375,32,34,2,97364.98438,44484.25781,2204.929688,c,co
7,P27,27,f,1278.296915,569.4177083,1243.5073,1354.719176,17082.53125,75853.94531,74509.55469,81821.86719,55,91,37,141792.4844,60344.59375,23140.84375,c,s
8,P27,27,f,2554.721103,640.7170139,1811.266129,1729.678223,5766.453125,56149.25,55349.70313,94776.44531,32,40,9,143561.8906,50400.47656,7246.4375,c,co
9,P26,25,f,1518.923566,614.8162716,2667.611607,1889.764339,35659.34375,224079.375,149291.3828,54241.58594,79,142,64,166034.0703,125290.1406,43866.79688,c,s
10,P26,25,f,2029.674166,540.055,3574.560497,2389.514323,13501.375,139407.8594,86022.51563,31014.91406,36,64,29,101329.1797,67189.88281,16400.5,c,co
11,P25,26,m,1479.503302,967.6658951,2077.327232,1414.126776,78380.9375,145412.9063,93332.36719,179986.8984,66,151,85,248098.7969,166770.0859,99145.14063,c,s
12,P25,26,m,1712.436856,1021.140191,2232.742857,1077.295691,55141.57031,78146,35550.75781,163374.4219,33,89,55,195845.2188,82742.05469,58985.5625,c,co
13,P24,27,f,1712.360343,659.903125,1142.4725,1899.509191,6599.03125,57123.625,96874.96875,46597.97656,51,60,10,126961.9844,37737.90625,9410.984375,c,s
14,P24,27,f,3068.586719,628.7984375,1434.443304,1992.805804,3143.992188,50205.51563,69748.20313,122389.2266,35,40,5,179048.1641,39971,4575.976563,c,co
15,P23,29,m,1580.955,626.0760216,1285.868001,1569.456217,16277.97656,61721.66406,75333.89844,83809.71094,48,74,27,141769.7344,42802.11719,16675.91406,c,s
16,P23,29,m,1259.789813,597.9187769,1234.29827,1283.821449,34679.28906,69120.70313,70610.17969,114081.6953,55,114,59,171411.1875,59949.71094,32729.92188,c,co
17,P22,32,f,1411.233233,643.2157452,2709.682896,1359.02193,33447.21875,151742.2422,77464.25,46406.36719,57,108,52,105347.4219,81192.76563,35678.39063,c,s
18,P22,32,f,1880.631987,625.2091146,5419.410435,1342.390625,18756.27344,151743.4922,36244.54688,24573.42188,27,58,32,49300.78906,42365.88281,21796.25,c,co
