TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, Group
637992794425555450,P28,tut,1,20,m,,looking at Play wall,2.802482,7.035258,-3.316415,c
637992794425764746,P28,tut,1,20,m,,looking at Play wall,2.802482,6.920973,-3.035687,c
637992794425994342,P28,tut,1,20,m,,looking at Play wall,2.802482,6.930407,-3.012243,c
637992794426213563,P28,tut,1,20,m,,looking at Play wall,2.802482,6.915554,-2.992088,c
637992794426432510,P28,tut,1,20,m,,looking at Play wall,2.802482,6.951162,-3.00947,c
637992794426652021,P28,tut,1,20,m,,looking at Play wall,2.802482,7.022295,-3.021088,c
637992794426881274,P28,tut,1,20,m,,looking at Play wall,2.802482,7.044069,-3.024673,c
637992794427110246,P28,tut,1,20,m,,looking at Play wall,2.802482,7.098279,-2.947033,c
637992794427329505,P28,tut,1,20,m,,looking at Play wall,2.802482,8.407627,-1.922256,c
637992794427549017,P28,tut,1,20,m,,looking at Play wall,2.802482,9.313478,-1.168694,c
637992794427768037,P28,tut,1,20,m,,looking at Play wall,2.802482,9.370462,-1.127012,c
637992794427987612,P28,tut,1,20,m,,looking at Play wall,2.802482,9.36099,-1.161119,c
637992794428216539,P28,tut,1,20,m,,looking at Play wall,2.802482,9.385244,-1.117566,c
637992794428435802,P28,tut,1,20,m,,looking at Play wall,2.802482,9.405935,-1.099224,c
637992794428655068,P28,tut,1,20,m,,looking at Play wall,2.802482,9.403672,-1.083857,c
637992794428884303,P28,tut,1,20,m,,looking at Play wall,2.802482,9.391495,-1.050455,c
637992794429103933,P28,tut,1,20,m,,looking at Play wall,2.802482,9.265154,-0.9973549,c
637992794429323071,P28,tut,1,20,m,,looking at Play wall,2.802482,7.210639,-0.4800928,c
637992794429547426,P28,tut,1,20,m,,looking at Play wall,2.802482,5.782764,-0.7240304,c
637992794429766695,P28,tut,1,20,m,,looking at Play wall,2.802482,4.413909,-0.6274164,c
637992794429986266,P28,tut,1,20,m,,looking at Play wall,2.802482,3.237971,-0.9697355,c
637992794430095924,P28,tut,1,20,m,,looking at Play wall,2.802482,0.8947115,-1.026725,c
637992794430215192,P28,tut,1,20,m,,looking at Play wall,2.802482,0.9541035,-0.7577555,c
637992794430324821,P28,tut,1,20,m,,looking at Play wall,2.802482,1.336345,-0.706694,c
637992794430434674,P28,tut,1,20,m,,looking at Play wall,2.802482,1.32925,-0.8420082,c
637992794430544088,P28,tut,1,20,m,,looking at Play wall,2.802482,1.369868,-0.8177371,c
637992794430653721,P28,tut,1,20,m,,looking at Play wall,2.802482,1.339454,-0.8066918,c
637992794430763353,P28,tut,1,20,m,,looking at Play wall,2.802482,1.396764,-0.7953941,c
637992794430872991,P28,tut,1,20,m,,looking at Play wall,2.802482,1.362651,-0.7988274,c
637992794430982613,P28,tut,1,20,m,,looking at Play wall,2.802482,1.419801,-0.8282945,c
637992794431112411,P28,tut,1,20,m,,looking at Play wall,2.802482,1.596772,-0.8062912,c
637992794431211850,P28,tut,1,20,m,,looking at Play wall,2.802482,1.489571,-0.8455189,c
637992794431321483,P28,tut,1,20,m,,looking at Play wall,2.802482,1.568132,-0.8307259,c
637992794431431360,P28,tut,1,20,m,,looking at Play wall,2.802482,1.476162,-0.8398167,c
637992794431550708,P28,tut,1,20,m,,looking at Play wall,2.802482,1.443993,-0.7863896,c
637992794431650709,P28,tut,1,20,m,,looking at Play wall,2.802482,1.529496,-0.7142347,c
637992794431760364,P28,tut,1,20,m,,looking at Play wall,2.802482,1.382814,-0.8165755,c
637992794431879611,P28,tut,1,20,m,,looking at Play wall,2.802482,1.597323,-0.8032248,c
637992794431999210,P28,tut,1,20,m,,looking at Play wall,2.802482,1.298789,-0.7845707,c
637992794432098873,P28,tut,1,20,m,,looking at Play wall,2.802482,1.545717,-0.8339256,c
637992794432208504,P28,tut,1,20,m,,looking at Play wall,2.802482,1.572549,-0.8227519,c
637992794432328110,P28,tut,1,20,m,,looking at Play wall,2.802482,1.468823,-0.8257797,c
637992794432428077,P28,tut,1,20,m,,looking at Play wall,2.802482,1.514519,-0.8348302,c
637992794432547374,P28,tut,1,20,m,,looking at Play wall,2.802482,1.601892,-0.7867211,c
637992794432657045,P28,tut,1,20,m,,looking at Play wall,2.802482,1.526539,-0.7720949,c
637992794432766636,P28,tut,1,20,m,,looking at Play wall,2.802482,1.607104,-0.7748234,c
637992794432926106,P28,tut,1,20,m,,looking at Play wall,2.802482,1.54969,-0.7531906,c
637992794433035741,P28,tut,1,20,m,,looking at Play wall,2.802482,1.290691,-0.3729361,c
637992794433145365,P28,tut,1,20,m,,looking at Play wall,2.802482,1.12743,-0.3200836,c
637992794433264973,P28,tut,1,20,m,,looking at Play wall,2.802482,1.175014,-0.2908636,c
637992794433374601,P28,tut,1,20,m,,looking at Play wall,2.802482,0.9670134,-0.2839866,c
637992794433484238,P28,tut,1,20,m,,looking at Play wall,2.802482,1.012232,-0.1755773,c
637992794433603838,P28,tut,1,20,m,,looking at Play wall,2.802482,1.180865,-0.1646136,c
637992794433703504,P28,tut,1,20,m,,looking at Play wall,2.802482,1.079629,-0.1283289,c
637992794433813136,P28,tut,1,20,m,,looking at Play wall,2.802482,1.089393,-0.09712076,c
637992794433922765,P28,tut,1,20,m,,looking at Play wall,2.802482,1.249434,-0.2415469,c
637992794434032401,P28,tut,1,20,m,,looking at Play wall,2.802482,1.206942,-0.2710286,c
637992794434152000,P28,tut,1,20,m,,looking at Play wall,2.802482,1.238158,-0.2714349,c
637992794434261889,P28,tut,1,20,m,,looking at Play wall,2.802482,1.312402,-0.2882764,c
637992794434371265,P28,tut,1,20,m,,looking at Play wall,2.802482,1.329751,-0.2699495,c
637992794434487929,P28,tut,1,20,m,,looking at Play wall,2.802482,1.393204,-0.2481097,c
637992794434587511,P28,tut,1,20,m,,looking at Play wall,2.802482,1.451276,-0.228026,c
637992794434717071,P28,tut,1,20,m,,looking at Play wall,2.802482,1.525895,-0.1885648,c
637992794434816743,P28,tut,1,20,m,,looking at Play wall,2.802482,1.59394,-0.1536801,c
637992794434926634,P28,tut,1,20,m,,looking at Play wall,2.802482,1.605433,-0.1721485,c
637992794435035999,P28,tut,1,20,m,,looking at Play wall,2.802482,1.64791,-0.1500736,c
