TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, group
637958192525793624,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192525893640,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192525983675,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526073686,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526163708,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526253727,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526353762,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526453784,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526543786,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526663827,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526763840,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526863857,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192526973884,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527083916,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527193935,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527303956,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527403983,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527524006,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527644033,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527744061,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527864087,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192527974112,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192528084131,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192528194156,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192528294179,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192528404205,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192528524236,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192528644262,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958192528734278,P6,s,0,23,m,,looking at Play wall,1.26,11.20539,-0.3032137,e
