"TimeStamp","Participant","Condition","Trial","Age","Gender","Group","areaEvent","targetEvent","xAreaPos","yAreaPos","zAreaPos","xTargetPos","yTargetPos","zTargetPos"
637988485508297039,"P24","s",1,27,"f","","Game Start",NA,"c",NA,NA,NA,NA,NA
637988485511487032,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485511597022,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485511717030,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485511817030,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485511937025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512047032,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512157025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512267027,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512387029,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512487024,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512597022,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512707027,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512817026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485512937029,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513037029,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513157026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513267026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513377027,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513487026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513597025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513717030,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513827025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485513947025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514057026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514187026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514297026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514417031,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514537025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514647025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514757036,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514877028,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485514987026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515097021,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515217029,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515317025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515427028,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515537027,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515647024,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515757026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515877026,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485515987023,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485516097023,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485516207025,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485516317027,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485516427029,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485516547027,"P24","s",1,27,"f","c","looking at Play wall",NA,"1.26",11.20539,-0.3032137,NA,NA,NA
637988485516977029,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517087020,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517197025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517317023,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517427028,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517537025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517647027,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517757024,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517867017,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485517977030,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518087028,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518197026,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518317023,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518427030,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518537027,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518647024,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518757024,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518867024,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485518977021,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519087020,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519207019,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519327027,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519437027,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519547027,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519657025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519767025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519877025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485519987021,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485520107021,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485520197025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485520317016,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485520867023,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485520977018,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521097040,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521217021,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521317020,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521427030,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521537025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521647023,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521757020,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521867023,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485521977019,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485522087025,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485522207020,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485522307021,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485522417015,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485522537023,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485522647023,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
637988485522777027,"P24","s",1,27,"f","c","looking at View wall",NA,"4.97",5,-9.85,NA,NA,NA
