TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637959201236351226,P16,tut,1,18,m,300,Game Start
637959201271389159,P16,tut,1,18,m,,looking at red cube,1.390015,16.78225,-1.813
637959201277360500,P16,tut,1,18,m,,looking at red cube,1.390015,14.99579,-1.813
637959201287672837,P16,tut,1,18,m,,looking at red cube,1.390015,11.89886,-1.813
637959201287892885,P16,tut,1,18,m,,looking at red cube,1.390015,11.83201,-1.813
637959201288112930,P16,tut,1,18,m,,looking at red cube,1.390015,11.76538,-1.813
637959201288332989,P16,tut,1,18,m,,looking at red cube,1.390015,11.69906,-1.813
637959201288483011,P16,tut,1,18,m,,looking at red cube,1.390015,11.65484,-1.813
637959201288633051,P16,tut,1,18,m,,looking at red cube,1.390015,11.6123,-1.813
637959201288773081,P16,tut,1,18,m,,looking at red cube,1.390015,11.5692,-1.813
637959201288913112,P16,tut,1,18,m,,looking at red cube,1.390015,11.52607,-1.813
637959201289043146,P16,tut,1,18,m,,looking at red cube,1.390015,11.4869,-1.813
637959201289173176,P16,tut,1,18,m,,looking at red cube,1.390015,11.44748,-1.813
637959201289313210,P16,tut,1,18,m,,looking at red cube,1.390015,11.40639,-1.813
637959201289443232,P16,tut,1,18,m,,looking at red cube,1.390015,11.36651,-1.813
637959201289583269,P16,tut,1,18,m,,looking at red cube,1.390015,11.32542,-1.813
637959201289723298,P16,tut,1,18,m,,looking at red cube,1.390015,11.28199,-1.813
637959201289853326,P16,tut,1,18,m,,looking at red cube,1.390015,11.24441,-1.813
637959201289983359,P16,tut,1,18,m,,looking at red cube,1.390015,11.20448,-1.813
637959201290113391,P16,tut,1,18,m,,looking at red cube,1.390015,11.16615,-1.813
637959201290223413,P16,tut,1,18,m,,Regular Red Cube(Clone) was picked up,1.390015,11.16615,-1.813
637959201300745787,P16,tut,1,18,m,,looking at blue cube,1.389999,11.0334,0.944
637959201300885822,P16,tut,1,18,m,,looking at blue cube,1.389999,10.99026,0.944
637959201301015856,P16,tut,1,18,m,,looking at blue cube,1.389999,10.95095,0.944
637959201301145887,P16,tut,1,18,m,,looking at blue cube,1.389999,10.91235,0.944
637959201301395936,P16,tut,1,18,m,,looking at blue cube,1.389999,10.83749,0.944
637959201301535971,P16,tut,1,18,m,,looking at blue cube,1.389999,10.7964,0.944
637959201301666004,P16,tut,1,18,m,,looking at blue cube,1.389999,10.7547,0.944
637959201301796037,P16,tut,1,18,m,,looking at blue cube,1.389999,10.71781,0.944
