TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos,group
637980746123893385,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124033015,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124162668,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124252429,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124372104,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124491786,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124601492,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124721175,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124820903,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746124920918,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125040315,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125150020,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125259724,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125379403,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125489111,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125598808,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125698831,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125808256,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746125937907,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126037639,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126147348,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126267023,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126376727,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126486437,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126586169,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126705844,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746126815584,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746147374979,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746147504622,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746147584699,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746147714070,P20,tut,1,25,m,0,looking at View wall,4.97,5,-9.85,c
637980746183804962,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746183914669,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184014401,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184144052,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184243783,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184353490,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184463198,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184572903,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184692583,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184792316,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746184931934,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746185021697,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746185131402,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746185251082,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746185360786,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
637980746185470492,P20,tut,1,25,m,0,looking at Build wall,-6.93,0,-10.9,c
