TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, Group
637989383002541206,P26,tut,1,25,f,300,Game Start,c
637989383043915344,P26,tut,1,25,f,,looking at invis cube,1.453366,14.42241,-1.407319,c
637989383044124400,P26,tut,1,25,f,,looking at invis cube,1.881702,14.35589,-1.338765,c
637989383044348811,P26,tut,1,25,f,,looking at invis cube,1.482546,14.28902,-1.427584,c
637989383044567818,P26,tut,1,25,f,,looking at invis cube,1.62498,14.22262,-1.464647,c
637989383044786824,P26,tut,1,25,f,,looking at invis cube,1.865776,14.15582,-1.326694,c
637989383045025751,P26,tut,1,25,f,,looking at invis cube,1.901515,14.14525,-1.39973,c
637989383045244765,P26,tut,1,25,f,,looking at invis cube,1.901515,14.13555,-1.40315,c
637989383045463775,P26,tut,1,25,f,,looking at invis cube,1.901515,14.18658,-1.403254,c
637989383045682788,P26,tut,1,25,f,,looking at invis cube,1.901515,14.24768,-1.376199,c
637989383045911761,P26,tut,1,25,f,,looking at invis cube,1.901515,14.26361,-1.501666,c
637989383046130762,P26,tut,1,25,f,,looking at invis cube,1.901515,14.32632,-1.492162,c
637989383046349772,P26,tut,1,25,f,,looking at invis cube,1.901515,14.55278,-1.461384,c
637989383046578739,P26,tut,1,25,f,,looking at invis cube,1.901515,14.3929,-1.452321,c
637989383046797758,P26,tut,1,25,f,,looking at invis cube,1.901515,14.50067,-1.570455,c
637989383048081950,P26,tut,1,25,f,,looking at invis cube,1.901515,14.17136,-1.82836,c
637989383048276145,P26,tut,1,25,f,,looking at invis cube,1.901515,14.1071,-1.895309,c
637989383048704228,P26,tut,1,25,f,,looking at invis cube,1.901515,13.94012,-1.855377,c
637989383048843584,P26,tut,1,25,f,,looking at invis cube,1.901515,13.80278,-1.726179,c
637989383049092465,P26,tut,1,25,f,,looking at invis cube,1.901515,13.64827,-1.782945,c
637989383049306572,P26,tut,1,25,f,,looking at invis cube,1.901515,13.59303,-1.776399,c
637989383049525580,P26,tut,1,25,f,,looking at invis cube,1.901515,13.23372,-1.72705,c
637989383049824231,P26,tut,1,25,f,,looking at invis cube,1.901515,13.24362,-1.683663,c
637989383050142794,P26,tut,1,25,f,,looking at invis cube,1.901515,13.31649,-1.732441,c
637989383050406692,P26,tut,1,25,f,,looking at invis cube,1.901515,13.17236,-1.642936,c
637989383050645619,P26,tut,1,25,f,,looking at invis cube,1.901515,13.05596,-1.635072,c
637989383050894492,P26,tut,1,25,f,,looking at invis cube,1.901515,12.94031,-1.689268,c
637989383051143364,P26,tut,1,25,f,,looking at invis cube,1.901515,12.92665,-1.639301,c
637989383051387347,P26,tut,1,25,f,,looking at invis cube,1.901515,12.75673,-1.720149,c
637989383051526718,P26,tut,1,25,f,,looking at invis cube,1.901515,12.83062,-1.672394,c
637989383051666094,P26,tut,1,25,f,,looking at invis cube,1.901515,12.75547,-1.627344,c
