TimeStamp,Participant,Condition,Trial,Age,Gender,Group,areaEvent,targetEvent,xAreaPos,yAreaPos,zAreaPos,xTargetPos,yTargetPos,zTargetPos
6.38E+17,P4,s,1.00E+00,22,m,e,Game Start,NA,NA,NA,NA,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at View wall,,5,NA,-9.85,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
6.38E+17,P4,s,1,22,m,looking at Play wall,,11.20539,NA,-0.3032137,e,NA,NA,NA
