TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, group
637958335620058091,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620158121,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620268137,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620388166,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620488187,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620598224,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620718243,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620838272,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335620938292,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621058322,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621158344,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621278369,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621378390,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621498424,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621608446,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621728470,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621838498,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335621948519,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335622058547,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335622168567,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335625549338,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335625659363,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335627529785,P7,s,tut,26,f,,looking at View wall,4.97,5,-9.85,e
637958335627869867,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335627979891,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628089914,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628199937,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628309962,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628419988,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628530013,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628640037,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628750061,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628870088,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335628980113,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629090140,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629200162,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629310185,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629420206,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629530240,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629650264,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629750287,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629870314,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335629980340,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630100365,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630210393,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630320419,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630430442,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630540462,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630660492,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630770520,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630880544,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335630990570,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631110595,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631220620,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631330646,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631440671,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631550697,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631660720,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631770742,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631880769,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335631990813,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632100819,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632210846,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632320871,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632440896,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632550919,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632660942,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632770970,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335632890990,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633001062,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633101045,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633211071,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633321097,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633441118,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633551148,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633661172,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633761190,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633881220,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335633981243,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335634101272,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335634211298,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335634311322,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335634431350,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335634551372,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
637958335634661398,P7,s,tut,26,f,,looking at Play wall,1.26,11.20539,-0.3032137,e
