,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
45,P5,28,m,2610.152472,7254.191028,1260.694774,1051.33252,224879.9219,36560.14844,33642.64063,23355.89063,32,60,28,50959.64063,33049.375,19530.76563,132802.2305,18217.10938,132514.0742,c,s,326.9433594,450.2885742
33,P27,27,f,1817.630051,646.3797554,1367.133317,1122.034144,14866.73438,42381.13281,30294.92188,123302.2969,27,54,27,148518.4063,35693.60938,19103.85938,53359.73495,11319.86865,105515.0039,c,s,314.6829427,447.056949
29,P25,26,m,4016.526786,1026.137228,2440.692,1125.860577,23601.15625,304357,14636.1875,22909.59375,13,41,28,37170.72656,34639.44531,33410.1875,184954.3783,35259.06406,260480.3555,c,s,503.9251302,945.5910457
14,P18,31,f,2836.859228,429.9601151,1309.912642,1159.372321,8169.242188,43227.11719,40578.03125,208732.6875,35,52,18,238482.0391,37473.40625,8082.492188,198627.4054,21350.20247,101759.7539,c,co,446.240625,346.7516741
6,P12,22,m,2554.419667,616.4872685,2440.692,1232.005859,16645.15625,160567.7188,19712.09375,38081.64063,16,40,25,53568.78125,33622.55469,19991.77344,121293.2338,27705.22005,119644.6563,e,co,1843.78683,826.4375
46,P5,28,m,2494.286784,628.860394,2082.22928,1232.173234,14463.78906,47891.27344,28339.98438,148756.4844,23,46,24,171151.6484,46181.24219,16649.28125,107585.4212,6171.078125,105865.25,c,co,1058.68457,437.6054688
3,P11,22,m,3642.000591,11337.80544,1166.88519,1274.670072,351471.9688,26838.35938,16570.71094,38517.03125,13,54,42,45322.10156,20583.76563,29368.63281,220009.2971,40457.05,260698.6914,e,s,423.5216,445.0476
41,P30,18,f,2139.415596,661.4103009,6239.785938,1298.553125,17858.07813,155994.6484,32463.82813,22600.91406,25,52,28,46286.26563,20108.3125,19547.3125,97415.24609,15362.40745,124843.8906,c,s,423.4404297,564.2525112
42,P30,18,f,2126.53391,711.5384615,1234.358259,1328.259457,18500,17281.01563,25236.92969,138876.2422,19,40,22,158863.2031,21475.96875,21141.03906,99923.86257,5868.991211,97388.08984,c,co,452.3779297,546.3822115
11,P16,18,m,2012.215436,889.0507813,3246.790015,1386.061133,5334.304688,133118.3906,55442.44531,5314.1875,40,47,8,53430.92969,31100.96875,5859.429688,62932.63281,16554.80625,90566.66797,e,s,337.6175595,344.9137301
5,P12,22,m,2049.76794,599.3452621,1683.019965,1437.313368,18579.70313,30294.35938,25871.64063,146629.2344,18,49,31,167261.8828,28370.32031,19670.72656,101314.9768,5407.297476,131163.0742,e,s,628.2919034,419.9925272
53,P9,25,f,1857.304861,694.15625,2438.369978,1440.879836,1388.3125,102411.5391,60516.95313,2840.632813,42,44,3,55173.39844,42096.4375,2206.507813,54408.48438,8258.926042,75886.47656,c,s,425.5080819,341.1826923
7,P13,32,m,1979.315394,5151.091033,1423.811105,1448.40625,118475.0938,39866.71094,33313.34375,22110.91406,23,51,28,46843.26563,31619.30469,15661.63281,61205.20647,13859.19231,109625.125,c,s,356.6081414,415.8039982
12,P16,18,m,2758.29697,667.2386364,5995.104688,1455.912905,7339.625,149877.6172,39309.64844,29653.46094,27,36,10,61601.45313,29701.0625,8944.085938,68347.30625,21362.66753,86356.82813,e,co,568.8604167,345.9241536
49,P7,26,f,1972.071023,434.4296875,952.0161701,1486.80522,2606.578125,40936.69531,65419.42969,86272.32813,44,49,6,139750.2188,25407.23438,2967.648438,73673.10938,13062.07161,74811.39063,e,s,276.3525391,313.8720982
26,P23,29,m,2214.294819,5395.220366,1143.736328,1487.79269,156461.3906,32024.61719,41658.19531,22285.40625,28,57,29,58709.11719,26976.32031,15390.03125,128922.4601,23747.71701,110295.2344,c,co,410.1032986,596.7804276
16,P19,30,f,2298.177794,6058.698017,1009.520996,1512.318452,157526.1484,16152.33594,31758.6875,22082.42969,21,42,22,45220.0625,29989.17188,157976.3906,129850.3434,12385.11458,104127.1094,c,co,829.5556066,415.6809211
30,P25,26,m,3477.427827,9489.112571,1662.596048,1549.078646,208760.4766,28264.13281,23236.17969,31843.14844,15,39,24,55333.35156,27618.16406,23225.13281,157521.8662,8112.21875,140358.918,c,co,847.8515625,1055.605729
35,P28,20,m,2277.351997,523.1847098,1315.522177,1573.421875,7324.585938,40781.1875,48776.07813,108079.8281,31,45,14,148952.2266,27855.15625,7754.210938,34119.25893,11416.76927,89675.67969,c,s,429.6397569,385.2582721
47,P6,23,m,2480.688955,410.9677734,4169.067894,1632.251953,3287.742188,175100.8516,65290.07813,9351.601563,40,50,10,59709.03125,21149.83594,4685.023438,51441.57969,19576.10298,68905.78516,e,s,410.2578125,436.9715909
25,P23,29,m,2179.02231,600.6945313,1185.072266,1650.181424,12013.89063,33182.02344,44554.89844,121614.3516,27,48,21,155085.7734,20737.35156,12655.69531,54155.8378,6408.050781,96804.47266,c,s,522.334375,390.4381893
40,P3,0,m,3934.140137,633.6688179,2853.133732,1655.177849,14574.38281,48503.27344,28138.02344,223515.5313,17,40,23,245988.0469,44935.01563,15408.57813,133701.7877,38211.45536,150967.0313,e,co,680.381,494.1995
19,P20,25,m,4047.878318,920.8153409,2440.692,1709.715938,10128.96875,229780.9375,42742.89844,12842.3125,25,35,11,45316.58594,42670.78906,11019.02344,88053.93679,27463.62344,188654.6328,c,s,368.2158717,532.7977764
8,P13,32,m,2414.182129,573.6305147,6270.927584,1714.577691,9751.71875,163044.1172,30862.39844,28103.25,18,43,26,53459.89844,32204.15625,14260.75781,96035.65775,21637.94271,97490.16797,c,co,370.4395833,390.0431743
15,P19,30,f,2154.237058,5631.289807,1080.629919,1733.397042,118257.0859,29177.00781,48535.11719,17300.25781,28,48,20,53009.97656,20672.90625,12476.70313,91221.9875,17708.97656,94439.80078,c,s,422.8789063,371.029772
54,P9,25,f,2444.990132,1173.879688,1377.818115,1756.808364,5869.398438,44090.17969,59731.48438,76128.1875,34,37,4,128076.8359,40414.03906,4019.007813,41811.7207,5677.164621,66035.76953,c,co,479.1492599,422.2460938
34,P27,27,f,2840.914063,640.7170139,1829.060397,1760.157452,5766.453125,47555.57031,45764.09375,105459.6953,26,35,9,145936.3438,41253.01563,7246.4375,61083.88194,17234.59922,71028.73438,c,co,555.9828869,504.1769832
31,P26,25,f,3358.742852,684.5933594,2440.692,1877.202009,13691.86719,240011.5234,39421.24219,22597.19531,21,43,22,51589.46875,26902.47656,17130.375,145285.6051,26333.27557,202451.8594,c,s,366.8264509,648.1381138
32,P26,25,f,2562.220945,5907.741815,1709.677912,1890.091146,124062.5781,37612.91406,39691.91406,26670.25781,21,43,23,58008.32813,35536.27344,11568.34375,96795.31386,15573.54427,106146.4453,c,co,477.5481771,636.3396577
39,P3,0,m,2780.283773,440.4915365,7765.103516,1959.527669,10571.79688,186362.4844,47028.66406,22944.29688,24,48,24,60234.89063,31430.75781,10335.96094,95355.91471,20660.93892,143099.3281,e,s,423.5216,445.0476
28,P24,27,f,3275.752568,628.7984375,5302.911542,1994.91626,3143.992188,164390.2578,63837.32031,7758.367188,32,36,5,59044.4375,32955.03906,4575.976563,46429.95781,17817.24148,74309.53125,c,co,510.6754261,576.6830729
27,P24,27,f,2416.527293,737.6015625,1142.808002,2031.175322,3688.007813,37712.66406,69059.96094,75611.96875,34,38,5,133825.9609,22933.9375,6879.984375,61069.17344,6977.993924,87771.31641,c,s,330.4407169,484.8507813
50,P7,26,f,4132.311475,539.9631696,2358.715693,2063.978841,3779.742188,54250.46094,49535.49219,144505.3047,24,30,7,188900.8828,51241.125,3591.6875,66576.35603,8984.554688,119354.7461,e,co,1026.385817,526.6676136
20,P20,25,m,4009.997917,1039.269531,6314.79827,2142.184152,2078.539063,176814.3516,59981.15625,1725.828125,28,30,2,52414.78906,45303.01563,2843.429688,91207.50781,20955.70703,87607.12891,c,co,607.0472301,565.8069661
43,P4,22,m,1727.08357,305.0625,1301.442188,2162.187012,305.0625,19521.63281,34594.99219,2572.070313,16,16,1,30848.59375,12671.10938,593.140625,90193.17,7543.789063,81668.72656,e,s,396.5845588,327.78125
38,P29,26,m,2883.41183,1012.973145,1507.412829,2195.107031,16207.57031,28640.84375,43902.14063,133272.1563,20,35,15,160971.2344,26602.46094,18039.66406,104595.4302,33080.98698,89652.20313,c,co,648.9570313,518.5104167
37,P29,26,m,3097.459987,15662.26953,1090.001395,2229.576322,125298.1563,30520.03906,57968.98438,15424.85938,26,36,10,50840.32031,22613.50781,11358.11719,45317.58594,18490.82457,109414.2539,c,s,501.2751116,612.3364763
48,P6,23,m,3323.935106,501.3489583,4630.828962,2550.569754,1504.046875,129663.2109,71415.95313,3500.765625,28,31,3,67921.92969,34638.50781,1773.109375,56130,6059.091619,74047.83203,e,co,436.1410362,434.8671875
52,P8,18,m,3340.348177,658.7724609,5368.110795,2705.149503,5270.179688,118098.4375,59513.28906,17538.98438,22,30,8,75973.77344,17723.66406,3727.84375,107146.1055,10491.16964,69118.20703,e,co,548.290625,488.7050781
36,P28,20,m,3835.296875,958.4453125,1768.804375,2759.78875,1916.890625,44220.10938,68994.71875,91974.3125,25,27,2,152333.6875,37029.875,2204.929688,70392.78516,6902.307528,85056.02344,c,co,533.3787202,379.4026042
44,P4,23,m,7528.279036,664.9863281,1902.579427,2768.881076,7979.835938,34246.42969,49839.85938,359630.6172,18,30,12,405496.6406,27505.96094,6954.585938,205116.2793,69997.88021,227649.0898,e,co,904.6604567,391.8761161
13,P18,31,f,1384.442339,538.1799569,1116.596436,2946.997461,15607.21875,35731.08594,117879.8984,16297.07031,40,61,21,45472.21875,35523.91406,15754.17188,62986.74033,8576.573529,102687.7305,c,s,158.4431818,349.3473214
51,P8,18,m,4475.107846,692.4208984,987.2354167,4556.804167,5539.367188,14808.53125,68352.0625,117155,15,23,8,177016.5625,8197.382813,5203.273438,47428.00586,43838.62891,92594.95703,e,s,512.3442383,454.4898897
1,P10,18,f,2629.276256,650.0268555,1386.390625,6229.124731,10400.42969,42978.10938,180644.6172,21016.64063,29,47,18,51541.14063,40238.83594,10984.4375,89761.46267,4921.15625,159869.9414,e,s,752.1640625,585.7475962
2,P10,18,f,3458.946995,714.140625,1974.790761,7285.738636,6427.265625,45420.1875,160286.25,12697.85156,22,32,10,55089.96094,40486.24219,8602.742188,60664.51406,7257.15625,98951.76563,e,co,641.9421875,382.4705529
4,P11,22,m,6259.367188,1617.394176,583.6391602,2034.745,17791.33594,9338.226563,305825.1328,17569.86719,18,27,9,320299.7344,5772.414063,13673.83594,153129.2335,106411.8333,174906.2852,e,co,680.381,494.1995
