,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
1,P10,18,f,1436.868804,706.3441723,2070.096061,1841.588013,26134.73438,146976.8203,117861.6328,42380.375,64,108,44,138739.1875,138120.6328,33494.21094,154805.6783,7040.699777,159869.9414,e,s,743.4179688,472.3185484
2,P10,18,f,2675.113575,665.13125,3976.023208,2308.83428,6651.3125,135184.7891,76191.53125,30757.92969,33,44,12,94092.16406,129775.875,9922.039063,62096.19271,7548.895996,98951.76563,e,co,641.9421875,429.6259191
3,P11,22,m,1180.523438,823.5900343,1509.453899,1733.224003,67534.38281,152454.8438,100526.9922,171762.0547,58,183,125,244963.7188,115222.1797,109735.2656,250124.8629,10556.81313,260698.6914,e,s,423.5216,445.0476
4,P11,22,m,3247.43085,1597.341875,1038.721591,6092.175987,39933.54688,34277.8125,231502.6875,87225.08594,38,58,20,293478.3281,9850.820313,27238.79688,185388.1023,29307.84288,174906.2852,e,co,680.381,494.1995
5,P12,22,m,1200.047822,569.5829741,1604.830517,1378.733474,33035.8125,78636.69531,71694.14063,93844.39844,52,107,55,152371.9219,73284.49219,33203.61719,122285.2871,6801.540071,131163.0742,e,s,693.1398438,438.728184
6,P12,22,m,1402.866544,658.3173438,1838.661272,1474.860677,32915.86719,51482.51563,53094.98438,117828.3438,36,78,42,158600.5938,71846.17188,36604.71094,142029.8038,14189.10221,119644.6563,e,co,1265.969866,631.9818892
7,P13,32,m,1459.508217,688.6300223,1454.917969,1496.233906,19281.64063,81475.40625,74811.69531,78385.6875,50,84,34,132074.6953,60918.24219,20677.77344,68392.12316,7274.035457,109625.125,c,s,436.9879557,370.6633065
8,P13,32,m,1807.789121,618.5262784,1525.121916,2201.563079,13607.57813,57954.63281,59442.20313,109431.5391,27,60,34,158551.4141,47237.04688,19896.04688,95386.1983,10235.47591,97490.16797,c,co,438.6969401,366.0147569
11,P16,18,m,1537.429525,692.4375,1253.686153,1423.806977,7616.8125,72713.79688,82580.80469,58478.4375,58,69,12,130455.7969,50748.78906,7876.867188,58566.57682,6545.68967,90566.66797,e,s,380.3931588,372.2001488
12,P16,18,m,1868.050013,723.3965993,1443.220947,1415.685045,12297.74219,46183.07031,49548.97656,110532.0625,35,49,15,150048.6719,49416.10156,16939.67969,67532.73073,7752.749349,86356.82813,e,co,622.0951705,325.4411272
13,P18,31,f,1091.933557,537.8952324,995.4899364,1874.109488,20977.91406,58733.90625,129313.5547,20280.67188,69,98,30,89844.10156,51521.89063,20705.02344,66739.53281,4517.412946,102687.7305,c,s,252.8463542,297.4405738
14,P18,31,f,1889.388583,488.0525174,4484.293308,1433.9309,17569.89063,206277.4922,83167.99219,25517.01563,58,82,24,91920.36719,56121.16406,16678.66406,230069.8242,14371.45052,101759.7539,c,co,654.6875,327.5482422
15,P19,30,f,1697.314694,701.9390625,1085.128819,1783.329953,17548.47656,48830.79688,83816.50781,97612.16406,47,70,24,159826.2031,35321.01563,15943.48438,94415.35319,11247.45703,94439.80078,c,s,430.5175781,368.8029057
16,P19,30,f,1412.233752,729.4149709,1019.570313,1678.877604,31364.84375,23450.11719,60439.59375,114939.5469,36,66,30,75489.71875,57678.64844,33920.92188,139211.6393,11935.19609,104127.1094,c,co,895.3960938,354.7845982
19,P20,25,m,2039.343979,825.9048295,2295.582894,1813.467849,18169.90625,176759.8828,141450.4922,81685.23438,78,99,21,192209.7188,155397.0391,21834.25,118974.4025,10482.53125,188654.6328,c,s,430.7816612,567.5714844
20,P20,25,m,3324.099259,1039.269531,1818.240287,2633.062711,2078.539063,67274.89063,97423.32031,92502.99219,37,39,2,177202.4063,57018.78906,2843.429688,91207.50781,14723.58413,87607.12891,c,co,541.4936899,685.7831358
