"","Participant","Age","Gender","avgTotalTransferTime","avgView2Play","avgBuild2Play","avgPlay2Build","avgPlay2View","totalView2Play","totalBuild2Play","totalPlay2Build","totalPlay2View","totalBuildWallCount","totalPlayWallCount","totalViewWallCount","totalPlayWallGazeTime","totalBuildWallGazeTime","totalViewWallGazeTime","avgTimeBetweenViewWallChecks","avgGrab2Build","avgGameTime","group","condition"
"1","P10","18","f",2629.2762564433,650.02685546875,1386.390625,6229.12473060345,1167.59114583333,10400.4296875,42978.109375,180644.6171875,21016.640625,29,47,18,51541.140625,40238.8359375,10984.4375,89761.4626736111,4921.15625,159869.94140625,"e","s"
"2","P10","18","f",3458.94699519231,714.140625,1974.79076086957,7285.73863636364,1269.78515625,6427.265625,45420.1875,160286.25,12697.8515625,22,32,10,55089.9609375,40486.2421875,8602.7421875,60664.5140625,7257.15625,98951.765625,"e","co"
"3","P11",NA,"m",3642.00059086134,11337.8054435484,1166.88519021739,1274.67007211538,917.072172619048,351471.96875,26838.359375,16570.7109375,38517.03125,13,54,42,45322.1015625,20583.765625,29368.6328125,220009.297061012,40457.05,260698.69140625,"e","s"
"4","P11",NA,"m",6259.3671875,1617.39417613636,583.63916015625,16990.28515625,1952.20746527778,17791.3359375,9338.2265625,305825.1328125,17569.8671875,18,27,9,320299.734375,5772.4140625,13673.8359375,153129.233506944,106411.833333333,174906.28515625,"e","co"
"5","P12",NA,"m",2049.76793981481,599.345262096774,1683.01996527778,1437.31336805556,4729.97530241936,18579.703125,30294.359375,25871.640625,146629.234375,18,49,31,167261.8828125,28370.3203125,19670.7265625,101314.976814516,5407.29747596154,131163.07421875,"e","s"
"6","P12",NA,"m",2554.41966711957,616.487268518518,12351.3629807692,1232.005859375,1523.265625,16645.15625,160567.71875,19712.09375,38081.640625,16,40,25,53568.78125,33622.5546875,19991.7734375,121293.23375,27705.2200520833,119644.65625,"e","co"
"7","P13",NA,"m",1979.31539351852,5151.0910326087,1423.81110491071,1448.40625,789.675502232143,118475.09375,39866.7109375,33313.34375,22110.9140625,23,51,28,46843.265625,31619.3046875,15661.6328125,61205.2064732143,13859.1923076923,109625.125,"c","s"
"8","P13",NA,"m",2414.18212890625,573.630514705882,6270.92758413462,1714.57769097222,1080.89423076923,9751.71875,163044.1171875,30862.3984375,28103.25,18,43,26,53459.8984375,32204.15625,14260.7578125,96035.6577524038,21637.9427083333,97490.16796875,"c","co"
"9","P14",NA,"m",3646.83882472826,715.677517361111,1868.01532451923,1166.3509375,12889.4634046053,12882.1953125,48568.3984375,29158.7734375,244899.8046875,25,44,19,267541.2421875,34579.6171875,16417.84375,128117.744243421,6079.72526041667,204124.7578125,"e","s"
"10","P14",NA,"m",5012.80241477273,905.203125,1885.14272836538,1983.26157407407,172237.15625,905.203125,49013.7109375,53548.0625,172237.15625,27,27,1,223048.40625,46199.078125,867.203125,0,7736.66753472222,65176.5,"e","co"
"11","P16","18","m",2012.21543560606,889.05078125,3246.7900152439,1386.0611328125,664.2734375,5334.3046875,133118.390625,55442.4453125,5314.1875,40,47,8,53430.9296875,31100.96875,5859.4296875,62932.6328125,16554.80625,90566.66796875,"e","s"
"12","P16","18","m",2758.29697027439,667.238636363636,5995.1046875,1455.91290509259,2965.34609375,7339.625,149877.6171875,39309.6484375,29653.4609375,27,36,10,61601.453125,29701.0625,8944.0859375,68347.30625,21362.6675347222,86356.828125,"e","co"
"13","P18",NA,"f",1384.44233908582,538.179956896552,1116.59643554688,2946.9974609375,776.050967261905,15607.21875,35731.0859375,117879.8984375,16297.0703125,40,61,21,45472.21875,35523.9140625,15754.171875,62986.740327381,8576.57352941176,102687.73046875,"c","s"
"14","P18",NA,"f",2836.85922759434,429.960115131579,1309.91264204545,1159.37232142857,11596.2604166667,8169.2421875,43227.1171875,40578.03125,208732.6875,35,52,18,238482.0390625,37473.40625,8082.4921875,198627.405381944,21350.2024739583,101759.75390625,"c","co"
"15","P19",NA,"f",2154.23705808081,5631.28980654762,1080.62991898148,1733.39704241071,865.012890625,118257.0859375,29177.0078125,48535.1171875,17300.2578125,28,48,20,53009.9765625,20672.90625,12476.703125,91221.9875,17708.9765625,94439.80078125,"c","s"
"16","P19",NA,"f",2298.17779356061,6058.69801682692,1009.52099609375,1512.31845238095,1003.74680397727,157526.1484375,16152.3359375,31758.6875,22082.4296875,21,42,22,45220.0625,29989.171875,157976.390625,129850.343394886,12385.1145833333,104127.109375,"c","co"
"17","P2",NA,"m",2400.86345108696,541.071180555556,4120.00401182432,1511.61024305556,1016.85329861111,4869.640625,152440.1484375,54417.96875,9151.6796875,36,46,9,59739.6953125,32742.984375,5247.75,116939.859375,13900.9252232143,213441.890625,"e","s"
"18","P2",NA,"m",2441.20669157609,741.530894886364,7041.42720170455,1129.31498579545,1240.04381793478,16313.6796875,154911.3984375,24844.9296875,28521.0078125,22,44,23,47598.8671875,39670.6875,16473.4609375,103421.75169837,4586.65078125,99835.26171875,"e","co"
"19","P20",NA,"m",4047.87831763699,920.815340909091,9574.20572916667,1709.7159375,1167.48295454545,10128.96875,229780.9375,42742.8984375,12842.3125,25,35,11,45316.5859375,42670.7890625,11019.0234375,88053.9367897727,27463.6234375,188654.6328125,"c","s"
"20","P20",NA,"m",4009.99791666667,1039.26953125,6314.79827008929,2142.18415178571,862.9140625,2078.5390625,176814.3515625,59981.15625,1725.828125,28,30,2,52414.7890625,45303.015625,2843.4296875,91207.5078125,20955.70703125,87607.12890625,"c","co"
