,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition
1,P10,18,f,1177.375644,650.0273438,1386.390121,1421.79548,1167.590712,10400.4375,42978.09375,39810.27344,21016.63281,28,47,18,51541.10938,40238.85938,10984.40625,89761.46354,4921.15579,159869.9453,e,s
2,P10,18,f,1630.619111,714.1380208,1974.789742,1973.56994,1269.786719,6427.242188,45420.16406,41444.96875,12697.86719,21,32,10,55089.92969,40486.17188,8602.734375,60664.51484,7257.155469,98951.76953,e,co
3,P11,NA,m,873.2532169,733.0354167,1166.883832,1274.66887,917.0725446,21991.0625,26838.32813,16570.69531,38517.04688,13,53,42,45322.19531,20583.78906,29368.64844,220009.3041,40457.05,260698.6953,e,s
4,P11,NA,m,1384.309152,1617.395597,583.640625,2051.366211,1952.205729,17791.35156,9338.25,32821.85938,17569.85156,16,27,9,320299.7344,5772.46875,13673.85156,153129.2326,106411.8438,174906.2813,e,co
5,P12,NA,m,959.6898872,599.3447581,1683.021701,1437.311198,963.3609375,18579.6875,30294.39063,25871.60156,28900.82813,18,49,30,167261.8594,28370.375,19670.70313,98960.35443,5407.298077,131163.082,e,s
6,P12,NA,m,963.7308933,616.4858218,1293.122159,1232.008301,1523.265938,16645.11719,14224.34375,19712.13281,38081.64844,16,38,25,53568.82031,33622.57031,19991.75781,121293.2331,27705.22005,119644.6563,e,co
7,P13,NA,m,1002.268736,588.8206676,1423.811384,1448.40591,789.6755022,12954.05469,39866.71875,33313.33594,22110.91406,23,50,28,46843.27344,31619.35938,15661.64844,61205.19866,13859.19471,109625.125,c,s
8,P13,NA,m,1095.881755,573.6341912,1459.49125,1714.576389,1080.892728,9751.78125,36487.28125,30862.375,28103.21094,18,42,26,53459.85938,32204.14844,14260.76563,96035.65655,21637.9375,97490.16797,c,co
11,P16,18,m,1150.986585,889.0572917,1196.418555,1386.061133,664.2675781,5334.34375,47856.74219,55442.44531,5314.140625,40,46,8,53430.90625,31100.9375,5859.460938,62932.63574,16554.80313,90566.66406,e,s
12,P16,18,m,1280.838796,667.2386364,1196.918945,1455.912616,2965.346094,7339.625,28726.05469,39309.64063,29653.46094,27,35,10,61601.46094,29701.07031,8944.101563,68347.30703,21362.66753,86356.82031,e,co
13,P18,NA,f,767.1045942,538.1807651,1116.598145,901.4503205,776.0509673,15607.24219,35731.14063,35156.5625,16297.07031,39,61,21,45472.1875,35524.01563,15754.14844,62986.7407,8576.57307,102687.7305,c,s
14,P18,NA,f,1008.772848,429.9568257,1309.913589,1159.372098,879.7394301,8169.179688,43227.14844,40578.02344,14955.57031,35,52,17,238482.0781,37473.35938,8082.429688,195910.2509,21350.19792,101759.75,c,co
