,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
1,P10,18,f,75.54946588,51.88916016,138.2447077,315.3811384,45.32689145,830.2265625,4285.585938,8830.671875,861.2109375,28,47,19,51541.10938,40238.85938,10984.40625,87312.32566,2501.148438,159869.9453,e,s,752.171875,380.5045573
2,P10,18,f,103.7507102,95.921875,214.5213995,347.3694196,50.7125,959.21875,4933.992188,7294.757813,507.125,21,33,10,55089.92969,40486.17188,8602.734375,60664.51484,1933.056424,98951.76953,e,co,641.946875,382.4741587
3,P11,NA,m,81.06575521,101.1169355,271.936481,592.1352163,56.40141369,3134.625,6254.539063,7697.757813,2368.859375,13,54,42,45322.19531,20583.78906,29368.64844,220009.3041,26496.65052,260698.6953,e,s,446.1019,383.5365
4,P11,NA,m,144.0860746,446.4355469,224.9248047,118.7907986,592.3949653,5357.226563,3598.796875,2138.234375,5331.554688,18,28,9,320299.7344,5772.46875,13673.85156,153129.2326,80200.77344,174906.2813,e,co,572.7558,446.2589
5,P12,NA,m,74.47856938,46.42407227,436.2426215,292.2803819,52.81754032,1485.570313,7852.367188,5261.046875,1637.34375,18,50,31,167261.8594,28370.375,19670.70313,101314.9786,2425.897656,131163.082,e,s,628.2919034,419.9921875
6,P12,NA,m,47.39314516,60.94726563,219.9648438,210.2988281,44.1696875,1706.523438,2639.578125,3364.78125,1104.242188,16,40,25,53568.82031,33622.57031,19991.75781,121293.2331,18184.86285,119644.6563,e,co,649.578125,826.4367898
7,P13,NA,m,96.58396646,79.97336648,337.6654576,356.4296875,56.66810345,1759.414063,9454.632813,8197.882813,1643.375,23,50,29,46843.27344,31619.35938,15661.64844,62439.98815,7709.096946,109625.125,c,s,356.6069079,415.8014706
8,P13,NA,m,72.50426869,82.63064236,272.5878125,206.4053819,78.78786058,1487.351563,6814.695313,3715.296875,2048.484375,18,43,26,53459.85938,32204.14844,14260.76563,96035.65655,10709.80078,97490.16797,c,co,370.4359375,390.0419408
9,P14,NA,m,132.0615339,55.00954861,577.0171274,282.511875,75.4015625,990.171875,15002.44531,7062.796875,1508.03125,25,44,20,267541.1875,34579.51563,16417.83594,122646.8715,3069.353125,204124.7578,e,s,428.6201637,396.6766183
10,P14,NA,m,106.6923828,38.0078125,203.416956,236.9360532,22.0078125,38.0078125,5492.257813,6397.273438,22.0078125,27,28,1,223048.3906,46199.04688,867.1953125,0,1949.490954,65176.50391,e,co,705.167352,342.2328125
11,P16,18,m,140.3969922,304.0691964,449.1019531,187.2683594,62.01269531,2128.484375,17964.07813,7490.734375,496.1015625,40,47,8,53430.90625,31100.9375,5859.460938,62932.63574,5801.07303,90566.66406,e,s,337.6149554,344.9145612
12,P16,18,m,99.78275602,95.26822917,334.3779297,241.5353009,87.41953125,1143.21875,8025.070313,6521.453125,874.1953125,27,36,10,61601.46094,29701.07031,8944.101563,68347.30703,1645.375391,86356.82031,e,co,430.1668527,345.9244792
13,P18,NA,f,65.62375579,49.97760417,251.0966797,191.7195513,33.66331845,1499.328125,8035.09375,7477.0625,706.9296875,39,62,21,45472.1875,35524.01563,15754.14844,62986.7407,1276.841734,102687.7305,c,s,158.4446023,349.3462054
14,P18,NA,f,88.42373686,51.23242188,212.539536,256.2837054,106.3498264,1024.648438,7013.804688,8969.929688,1914.296875,35,53,18,238482.0781,37473.35938,8082.429688,198627.4071,12508.32689,101759.75,c,co,446.2421875,346.7513951
15,P19,NA,f,148.6744922,206.438244,379.4840856,513.6459263,38.57695313,4335.203125,10246.07031,14382.08594,771.5390625,28,48,20,53009.99219,20672.99219,12476.75,91221.97734,8520.078516,94439.79688,c,s,422.8822917,371.0301943
16,P19,NA,f,84.85292969,130.7592593,232.8808594,396.8712798,62.7134233,3530.5,3726.09375,8334.296875,1379.695313,21,43,22,45220.08594,29989.1875,157976.4453,129850.342,8405.557617,104127.1133,c,co,384.803125,415.6792763
17,P2,NA,m,110.4403982,49.01128472,340.390625,205.4348958,50.12152778,441.1015625,12254.0625,7395.65625,451.09375,36,45,9,59739.67969,32743.04688,5247.742188,116939.8594,7020.90375,213441.8945,e,s,272.6778846,376.6276042
