TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, Group
637988483516030044,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483516120347,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483516510042,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483516590043,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483516660048,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483516750047,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483516830046,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483516940042,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483517420047,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483517760043,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483518100040,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483518200040,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483518290044,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483518400043,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483518500041,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483518730042,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483518950042,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483519180045,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483519400043,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483519620044,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483519840046,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483520070045,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483520300044,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483520510042,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483520730046,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483520960044,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483521180046,P24,tut,1,27,f,,looking at View wall,4.97,5,-9.85,c
637988483521390037,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483521640040,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483521840044,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483522060046,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483522280043,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483522510039,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483522730040,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483522950042,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483523180039,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483523400042,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483523610038,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483523730046,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483523840046,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483523950045,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524060042,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524180037,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524290038,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524400045,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524510045,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524620046,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524730041,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524840036,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483524950045,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483525070042,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483525160038,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483525280039,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
637988483525390036,P24,tut,1,27,f,,looking at Play wall,1.26,11.20539,-0.3032137,c
