TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637958192561640183,P6,s,tut,23,m,,HeadPos,-0.0252232,0.8623577,-0.09468063,12.9351,7.208154,0.3632258
637958192561790218,P6,s,tut,23,m,,HeadPos,-0.02548339,0.8625531,-0.09438112,12.93475,7.208201,0.3631927
637958192561900232,P6,s,tut,23,m,,HeadPos,-0.02583267,0.8626279,-0.09407166,12.9345,7.208224,0.3630971
637958192562010261,P6,s,tut,23,m,,HeadPos,-0.02699353,0.8626146,-0.09375873,12.93402,7.20821,0.3628777
637958192562110284,P6,s,tut,23,m,,HeadPos,-0.02790682,0.8624313,-0.09380052,12.93382,7.208093,0.3627321
637958192562220307,P6,s,tut,23,m,,HeadPos,-0.02914325,0.862095,-0.09392608,12.93364,7.207889,0.362547
637958192562320340,P6,s,tut,23,m,,HeadPos,-0.03041864,0.861734,-0.09410376,12.93355,7.207672,0.3623042
637958192562430355,P6,s,tut,23,m,,HeadPos,-0.03181718,0.8612311,-0.0942405,12.93352,7.207488,0.3620533
637958192562540385,P6,s,tut,23,m,,HeadPos,-0.03308323,0.8607335,-0.09434715,12.93355,7.207265,0.3618135
637958192562650408,P6,s,tut,23,m,,HeadPos,-0.03523319,0.8597365,-0.09435877,12.93359,7.206914,0.3613298
637958192562750425,P6,s,tut,23,m,,HeadPos,-0.03641374,0.8584632,-0.09425654,12.93385,7.206749,0.3606731
637958192562970473,P6,s,tut,23,m,,HeadPos,-0.03700552,0.8569265,-0.09343182,12.93434,7.206947,0.3600087
637958192563190522,P6,s,tut,23,m,,HeadPos,-0.03791451,0.855284,-0.09159953,12.93502,7.207446,0.3593012
637958192563410588,P6,s,tut,23,m,,HeadPos,-0.03855776,0.8536557,-0.09036571,12.93586,7.208514,0.3584735
637958192563640629,P6,s,tut,23,m,,HeadPos,-0.03783466,0.8533832,-0.08867856,12.93679,7.209724,0.3573321
637958192563850670,P6,s,tut,23,m,,HeadPos,-0.03692927,0.8546578,-0.08583485,12.93819,7.210522,0.3558519
637958192564080728,P6,s,tut,23,m,,HeadPos,-0.03705148,0.8562968,-0.08339611,12.93979,7.210953,0.3542787
