TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637959031217703997,P10,tut,1,18,f,300,Game Start
637959031277555468,P10,tut,1,18,f,,looking at blue cube,1.389999,9.335796,-0.46
637959031277935551,P10,tut,1,18,f,,looking at blue cube,1.389999,9.225567,-0.46
637959031278065575,P10,tut,1,18,f,,looking at blue cube,1.389999,9.185511,-0.46
637959031278185606,P10,tut,1,18,f,,looking at blue cube,1.389999,9.148861,-0.46
637959031278315635,P10,tut,1,18,f,,looking at blue cube,1.389999,9.109335,-0.46
637959031278435657,P10,tut,1,18,f,,looking at blue cube,1.389999,9.073165,-0.46
637959031278555692,P10,tut,1,18,f,,looking at blue cube,1.389999,9.037045,-0.46
637959031278675712,P10,tut,1,18,f,,looking at blue cube,1.389999,9.002031,-0.46
637959031278795748,P10,tut,1,18,f,,looking at blue cube,1.389999,8.965325,-0.46
637959031278925769,P10,tut,1,18,f,,looking at blue cube,1.389999,8.928932,-0.46
637959031279045801,P10,tut,1,18,f,,looking at blue cube,1.389999,8.890254,-0.46
637959031279165827,P10,tut,1,18,f,,looking at blue cube,1.389999,8.85297,-0.46
637959031279285854,P10,tut,1,18,f,,looking at blue cube,1.389999,8.818206,-0.46
637959031279405882,P10,tut,1,18,f,,looking at blue cube,1.389999,8.781054,-0.46
637959031279535910,P10,tut,1,18,f,,looking at blue cube,1.389999,8.745284,-0.46
637959031279705948,P10,tut,1,18,f,,looking at blue cube,1.389999,8.70498,-0.46
637959031279825980,P10,tut,1,18,f,,looking at blue cube,1.389999,8.656982,-0.46
637959031279946004,P10,tut,1,18,f,,looking at blue cube,1.389999,8.620507,-0.46
637959031280066035,P10,tut,1,18,f,,looking at blue cube,1.389999,8.583749,-0.46
637959031280186057,P10,tut,1,18,f,,looking at blue cube,1.389999,8.546501,-0.46
637959031280286078,P10,tut,1,18,f,,Regular Blue Cube(Clone) was picked up,1.389999,8.546501,-0.46
637959031298710253,P10,tut,1,18,f,,looking at gold cube,1.389999,9.174822,-0.46
637959031298940306,P10,tut,1,18,f,,looking at gold cube,1.389999,9.105613,-0.46
637959031299070336,P10,tut,1,18,f,,looking at gold cube,1.389999,9.067146,-0.46
637959031299200362,P10,tut,1,18,f,,looking at gold cube,1.389999,9.02687,-0.46
637959031299320385,P10,tut,1,18,f,,looking at gold cube,1.389999,8.989811,-0.46
637959031299440412,P10,tut,1,18,f,,looking at gold cube,1.389999,8.954531,-0.46
637959031299560442,P10,tut,1,18,f,,looking at gold cube,1.389999,8.917797,-0.46
637959031299690468,P10,tut,1,18,f,,looking at gold cube,1.389999,8.87987,-0.46
637959031299820499,P10,tut,1,18,f,,looking at gold cube,1.389999,8.840561,-0.46
637959031299960525,P10,tut,1,18,f,,looking at gold cube,1.389999,8.799965,-0.46
637959031300100566,P10,tut,1,18,f,,looking at gold cube,1.389999,8.757746,-0.46
637959031300230598,P10,tut,1,18,f,,looking at gold cube,1.389999,8.717089,-0.46
637959031300360621,P10,tut,1,18,f,,looking at gold cube,1.389999,8.678456,-0.46
637959031300490649,P10,tut,1,18,f,,looking at gold cube,1.389999,8.640061,-0.46
637959031300610687,P10,tut,1,18,f,,looking at gold cube,1.389999,8.602319,-0.46
637959031300740709,P10,tut,1,18,f,,looking at gold cube,1.389999,8.563937,-0.46
637959031300810751,P10,tut,1,18,f,,Regular Gold Cube(Clone) was picked up,1.389999,8.563937,-0.46
