TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, Group
638001378552554272,P29,tut,1,26,m,300,Game Start,c
638001378565154334,P29,tut,1,26,m,,looking at Drop Zone,11.08122,6.782552,10.16,c
638001378565692534,P29,tut,1,26,m,,looking at Drop Zone,11.25,6.763678,10.65423,c
638001378566141036,P29,tut,1,26,m,,looking at Drop Zone,11.02059,6.762565,10.16,c
638001378566260637,P29,tut,1,26,m,,looking at Drop Zone,10.92493,6.853013,10.16,c
638001378566360295,P29,tut,1,26,m,,looking at Drop Zone,11.02394,6.840381,10.16,c
638001378566479894,P29,tut,1,26,m,,looking at Drop Zone,11.03297,6.775269,10.16,c
638001378614339551,P29,tut,1,26,m,,looking at red cube,1.808499,8.611893,0.5489991,c
638001378614459155,P29,tut,1,26,m,,looking at red cube,1.808499,8.884048,0.6950127,c
638001378618462453,P29,tut,1,26,m,,looking at red cube,1.808499,7.990309,0.6559356,c
638001378618681715,P29,tut,1,26,m,,looking at red cube,1.808499,7.639653,0.9218226,c
638001378618781377,P29,tut,1,26,m,,looking at red cube,1.808499,7.827383,0.7564435,c
638001378619229878,P29,tut,1,26,m,,looking at red cube,1.808499,7.650913,0.61386,c
638001378619339510,P29,tut,1,26,m,,looking at red cube,1.808499,7.706244,0.5951255,c
638001378619449146,P29,tut,1,26,m,,looking at red cube,1.808499,7.641096,0.6228355,c
638001378619558780,P29,tut,1,26,m,,looking at red cube,1.808499,7.601917,0.5974955,c
638001378619668414,P29,tut,1,26,m,,looking at red cube,1.808499,7.585533,0.599246,c
638001378619778045,P29,tut,1,26,m,,looking at red cube,1.808499,7.567419,0.5962638,c
638001378619897644,P29,tut,1,26,m,,looking at red cube,1.808499,7.530214,0.6061936,c
638001378620015084,P29,tut,1,26,m,,looking at red cube,1.808499,7.534516,0.6028752,c
638001378624685339,P29,tut,1,26,m,,looking at gold cube,1.901499,8.350315,2.096192,c
638001378624794975,P29,tut,1,26,m,,looking at gold cube,1.901499,8.476358,2.221308,c
638001378624904609,P29,tut,1,26,m,,looking at gold cube,1.901499,8.486087,2.217134,c
638001378625004277,P29,tut,1,26,m,,looking at gold cube,1.901499,8.527539,2.18344,c
638001378625123878,P29,tut,1,26,m,,looking at gold cube,1.901499,8.500916,2.189429,c
638001378625233511,P29,tut,1,26,m,,looking at gold cube,1.901499,8.493526,2.192101,c
638001378625343143,P29,tut,1,26,m,,looking at gold cube,1.901499,8.520058,2.200313,c
638001378625452782,P29,tut,1,26,m,,looking at gold cube,1.901499,8.535604,2.20225,c
638001378625562400,P29,tut,1,26,m,,looking at gold cube,1.901499,8.545518,2.208224,c
638001378625672043,P29,tut,1,26,m,,looking at gold cube,1.901499,8.525264,2.207939,c
638001378625781671,P29,tut,1,26,m,,looking at gold cube,1.901499,8.51091,2.201838,c
638001378625891304,P29,tut,1,26,m,,looking at gold cube,1.901499,8.526888,2.199254,c
638001378626000939,P29,tut,1,26,m,,looking at gold cube,1.901499,8.438321,2.198426,c
638001378626110576,P29,tut,1,26,m,,looking at gold cube,1.901499,8.419254,2.21451,c
638001378626240141,P29,tut,1,26,m,,looking at gold cube,1.901499,8.420218,2.224269,c
638001378626349770,P29,tut,1,26,m,,looking at gold cube,1.901499,8.44231,2.228649,c
638001378626449441,P29,tut,1,26,m,,looking at gold cube,1.901499,8.439548,2.208542,c
638001378626559073,P29,tut,1,26,m,,looking at gold cube,1.073922,8.608509,1.8245,c
638001378632558994,P29,tut,1,26,m,,looking at invis cube,0.9727173,12.00836,-0.2070727,c
638001378632668633,P29,tut,1,26,m,,looking at invis cube,0.9494867,11.97497,-0.4102727,c
638001378632887899,P29,tut,1,26,m,,looking at invis cube,0.9496212,11.90795,-0.5066432,c
638001378633107165,P29,tut,1,26,m,,looking at invis cube,1.013702,11.84038,-0.4259393,c
638001378633216799,P29,tut,1,26,m,,looking at invis cube,0.8938532,11.84038,-0.3739857,c
638001378633346370,P29,tut,1,26,m,,looking at invis cube,0.9217596,11.7751,-0.3649839,c
638001378633456008,P29,tut,1,26,m,,looking at invis cube,0.9271841,11.7751,-0.3579024,c
638001378633555662,P29,tut,1,26,m,,looking at invis cube,1.027267,11.70755,-0.3630838,c
638001378633665299,P29,tut,1,26,m,,looking at invis cube,1.009781,11.67505,-0.3628884,c
638001378633774930,P29,tut,1,26,m,,looking at invis cube,1.032239,11.67505,-0.3337444,c
638001378633894534,P29,tut,1,26,m,,looking at invis cube,1.190894,11.60811,-0.3286848,c
638001378634116319,P29,tut,1,26,m,,looking at invis cube,0.9738855,11.54155,-0.467552,c
638001378634345550,P29,tut,1,26,m,,looking at invis cube,0.9209719,11.47479,-0.5137168,c
638001378634445216,P29,tut,1,26,m,,looking at invis cube,0.9402504,11.47479,-0.5227268,c
638001378690415797,P29,tut,1,26,m,,looking at red cube,1.808515,7.87089,-3.296903,c
638001378693082349,P29,tut,1,26,m,,looking at gold cube,1.901515,9.250027,-3.146101,c
638001378693191982,P29,tut,1,26,m,,looking at gold cube,1.901515,9.21303,-3.134575,c
638001378693301616,P29,tut,1,26,m,,looking at gold cube,1.845342,9.10981,-3.210049,c
638001378693430088,P29,tut,1,26,m,,looking at gold cube,1.901515,9.125844,-3.147401,c
638001378693549689,P29,tut,1,26,m,,looking at gold cube,1.901515,9.173962,-3.210094,c
638001378693649353,P29,tut,1,26,m,,looking at gold cube,1.901515,9.184742,-3.186343,c
638001378693768955,P29,tut,1,26,m,,looking at gold cube,1.901515,9.145167,-3.211739,c
638001378693898526,P29,tut,1,26,m,,looking at gold cube,1.901515,9.119176,-3.18924,c
638001378694008162,P29,tut,1,26,m,,looking at gold cube,1.901515,9.112537,-3.258009,c
638001378694107827,P29,tut,1,26,m,,looking at gold cube,1.901515,9.102452,-3.20694,c
638001378694217452,P29,tut,1,26,m,,looking at gold cube,1.901515,8.987625,-3.20858,c
638001378694327089,P29,tut,1,26,m,,looking at gold cube,1.901515,9.001328,-3.217139,c
638001378694431809,P29,tut,1,26,m,,looking at gold cube,1.901515,9.050658,-3.228653,c
638001378694541446,P29,tut,1,26,m,,looking at gold cube,1.901515,9.020554,-3.233093,c
638001378694631145,P29,tut,1,26,m,,looking at gold cube,1.901515,8.986791,-3.207492,c
638001378694740782,P29,tut,1,26,m,,looking at gold cube,1.901515,8.981249,-3.222701,c
638001378694860385,P29,tut,1,26,m,,looking at gold cube,1.901515,8.917371,-3.203645,c
638001378694970012,P29,tut,1,26,m,,looking at gold cube,1.901515,8.892958,-3.206837,c
638001378695069681,P29,tut,1,26,m,,looking at gold cube,1.901515,8.872361,-3.209602,c
638001378695179315,P29,tut,1,26,m,,looking at gold cube,1.901515,8.909507,-3.224762,c
638001378695288949,P29,tut,1,26,m,,looking at gold cube,1.901515,8.914445,-3.237358,c
638001378695398584,P29,tut,1,26,m,,looking at gold cube,1.901515,8.933489,-3.229336,c
638001378695518179,P29,tut,1,26,m,,looking at gold cube,1.901515,8.899805,-3.22637,c
638001378695637778,P29,tut,1,26,m,,looking at gold cube,1.901515,8.841719,-3.216194,c
638001378695747411,P29,tut,1,26,m,,looking at gold cube,1.901515,8.832735,-3.19958,c
638001378695847082,P29,tut,1,26,m,,looking at gold cube,1.901515,8.765038,-3.200341,c
638001378695966682,P29,tut,1,26,m,,looking at gold cube,1.901515,8.766118,-3.42849,c
638001378696076315,P29,tut,1,26,m,,looking at gold cube,1.901515,8.719356,-3.450574,c
638001378696175985,P29,tut,1,26,m,,looking at gold cube,1.901515,8.729298,-3.441268,c
638001378696315510,P29,tut,1,26,m,,looking at gold cube,1.901515,8.790584,-3.437341,c
638001378696415182,P29,tut,1,26,m,,looking at gold cube,1.901515,8.769868,-3.468695,c
638001378696534779,P29,tut,1,26,m,,looking at gold cube,1.901515,8.773957,-3.475383,c
638001378696654382,P29,tut,1,26,m,,looking at gold cube,1.901515,8.770036,-3.499453,c
638001378696764009,P29,tut,1,26,m,,looking at gold cube,1.901515,8.754311,-3.483937,c
638001378696863675,P29,tut,1,26,m,,looking at gold cube,1.901515,8.714639,-3.47369,c
638001378696963349,P29,tut,1,26,m,,looking at gold cube,1.901515,8.692379,-3.46407,c
638001378697072979,P29,tut,1,26,m,,looking at gold cube,1.901515,8.681463,-3.472192,c
638001378697202544,P29,tut,1,26,m,,looking at gold cube,1.901515,8.672268,-3.479257,c
638001378697302210,P29,tut,1,26,m,,looking at gold cube,1.901515,8.615947,-3.469408,c
638001378697401878,P29,tut,1,26,m,,looking at gold cube,1.901515,8.561749,-3.482816,c
638001378697511511,P29,tut,1,26,m,,looking at gold cube,1.901515,8.501318,-3.480062,c
638001378697631111,P29,tut,1,26,m,,looking at gold cube,1.901515,8.568813,-3.475918,c
638001378697740746,P29,tut,1,26,m,,looking at gold cube,1.901515,8.557516,-3.476747,c
638001378697850379,P29,tut,1,26,m,,looking at gold cube,1.901515,8.525657,-3.471479,c
638001378697969977,P29,tut,1,26,m,,looking at gold cube,1.901515,8.44657,-3.484359,c
638001378698079615,P29,tut,1,26,m,,looking at gold cube,1.901515,8.421215,-3.489164,c
638001378698189242,P29,tut,1,26,m,,looking at gold cube,1.901515,8.383592,-3.498271,c
638001378698308841,P29,tut,1,26,m,,looking at gold cube,1.901515,8.348738,-3.486689,c
638001378705968316,P29,tut,1,26,m,,looking at gold cube,0.9408007,11.4752,-3.528221,c
638001378706077947,P29,tut,1,26,m,,looking at gold cube,1.052423,11.40852,-3.591915,c
638001378706187578,P29,tut,1,26,m,,looking at gold cube,1.121895,11.40852,-3.387512,c
638001378706307175,P29,tut,1,26,m,,looking at gold cube,1.33233,11.34175,-3.484713,c
638001378706406850,P29,tut,1,26,m,,looking at gold cube,1.185568,11.34175,-3.570688,c
638001378706546379,P29,tut,1,26,m,,looking at gold cube,1.405088,11.27508,-3.456294,c
638001378706646044,P29,tut,1,26,m,,looking at gold cube,1.272067,11.27508,-3.580521,c
638001378706755680,P29,tut,1,26,m,,looking at gold cube,1.396896,11.20805,-3.490568,c
638001378706865311,P29,tut,1,26,m,,looking at gold cube,1.358573,11.17328,-3.323137,c
638001378706964978,P29,tut,1,26,m,,looking at gold cube,1.427649,11.17328,-3.320223,c
