,PerceptionActionDF.5..2.,pacStay,pacMove,condition,partGroup
1,P10,743.4179688,472.3185484,s,e
2,P10,641.9421875,429.6259191,co,e
3,P12,693.1398438,438.728184,s,e
4,P12,1265.969866,631.9818892,co,e
5,P13,436.9879557,370.6633065,s,c
6,P13,438.6969401,366.0147569,co,c
7,P14,382.2084961,460.6642219,s,e
8,P14,666.3366477,344.9012784,co,e
9,P16,380.3931588,372.2001488,s,e
10,P16,622.0951705,325.4411272,co,e
11,P18,252.8463542,297.4405738,s,c
12,P18,654.6875,327.5482422,co,c
13,P19,430.5175781,368.8029057,s,c
14,P19,895.3960938,354.7845982,co,c
17,P20,430.7816612,567.5714844,s,c
18,P20,541.4936899,685.7831358,co,c
19,P21,407.171317,440.2364005,s,c
20,P21,586.5945871,642.3341518,co,c
21,P22,334.2924107,650.1163031,s,c
22,P22,502.8740234,617.688151,co,c
23,P23,483.8432617,372.5977248,s,c
24,P23,524.4973214,552.5995464,co,c
25,P24,347.01875,499.8756975,s,c
26,P24,484.0697115,608.8543199,co,c
27,P25,651.6979167,727.6800185,s,c
28,P25,700,918.25875,co,c
29,P26,381.6745855,578.1887019,s,c
30,P26,519.483631,592.6982143,co,c
31,P27,376.226262,446.7485577,s,c
32,P27,594.875625,480.953881,co,c
33,P28,419.8641183,380.1449653,s,c
34,P28,525.3449519,442.3429688,co,c
35,P29,471.4185697,522.8605114,s,c
36,P29,554.5524554,494.2333984,co,c
37,P30,424.8929398,503.9753224,s,c
38,P30,425.5408654,589.043679,co,c
39,P4,373.8733724,348.1640625,s,e
40,P4,856.7519985,386.6805556,co,e
41,P5,374.1870888,431.6891325,s,c
42,P5,950.7481971,471.0694111,co,c
43,P6,407.0730903,423.0402344,s,e
44,P6,463.5504261,442.4747396,co,e
45,P7,261.1572917,318.6638849,s,e
46,P7,890.6559245,479.3097656,co,e
47,P9,534.4641263,433.3654186,s,e
48,P9,550.1651401,492.3820801,co,e
49,P9,440.6578585,346.8748302,s,c
50,P9,479.1492599,422.2460938,co,c
