"","X","Participant","Age","pacStay","pacMove","condition","partGroup"
"1",1,"P10",18,752.171875,380.504557291667,"s","e"
"3",3,"P12",22,628.291903409091,419.9921875,"s","e"
"5",5,"P13",32,356.606907894737,415.801470588235,"s","c"
"7",7,"P14",22,428.620163690476,396.676618303571,"s","e"
"9",9,"P16",18,337.614955357143,344.914561170213,"s","e"
"11",11,"P18",31,158.444602272727,349.346205357143,"s","c"
"13",13,"P19",30,422.882291666667,371.030194256757,"s","c"
"15",15,"P2",19,272.677884615385,376.627604166667,"s","e"
"17",17,"P20",25,368.216282894737,532.797475961538,"s","c"
"19",19,"P21",25,389.103365384615,385.10375,"s","c"
"21",21,"P22",32,305.778645833333,544.616508152174,"s","c"
"23",23,"P23",29,522.334375,321.567234848485,"s","c"
"25",25,"P24",27,330.44140625,484.850390625,"s","c"
"27",27,"P25",26,503.923177083333,653.530230978261,"s","c"
"29",29,"P26",25,366.829241071429,535.846454326923,"s","c"
"31",31,"P27",27,314.68359375,447.057771381579,"s","c"
"33",33,"P28",20,429.644097222222,385.256433823529,"s","c"
"35",35,"P29",26,501.278738839286,539.866629464286,"s","c"
"37",37,"P30",18,423.44287109375,564.253627232143,"s","c"
"39",39,"P4",22,396.583639705882,327.779119318182,"s","e"
"41",41,"P5",28,326.94140625,450.2890625,"s","c"
"43",43,"P6",23,410.257575757576,436.971590909091,"s","e"
"45",45,"P7",26,276.3525390625,313.871875,"s","e"
"47",47,"P9",18,512.346435546875,454.490579044118,"s","e"
"49",49,"P9",25,425.508081896552,341.182892628205,"s","c"
