"Participant","Condition","Trial","Age","Gender","Group","MovementTime","grabTime","TimeStamp","currentColor"
"P10","s",1,18,"f","e",1582.2246,637959032345926784,637959032361748969,"red"
"P10","s",1,18,"f","e",1472.6961,637959032392896000,637959032407622966,"red"
"P10","s",1,18,"f","e",1162.2624,637959032437244160,637959032448866803,"blue"
"P10","s",1,18,"f","e",1704.3863,637959032500528512,637959032517572359,"red"
"P10","s",1,18,"f","e",1796.4058,637959032534206080,637959032552170171,"red"
"P10","s",1,18,"f","e",1766.364,637959032763304448,637959032780968029,"blue"
"P10","s",1,18,"f","e",1565.8383,637959032831721600,637959032847380001,"gray"
"P10","s",1,18,"f","e",1914.4337,637959032881267712,637959032900412006,"gold"
"P10","s",1,18,"f","e",1726.3901,637959032923127168,637959032940391051,"gray"
"P10","s",1,18,"f","e",1510.343,637959032958685184,637959032973788608,"gray"
"P10","s",1,18,"f","e",1359.3084,637959033052746496,637959033066339543,"gray"
"P10","s",1,18,"f","e",1242.2819,637959033079602560,637959033092025358,"gray"
"P10","s",1,18,"f","e",1730.3924,637959033124122624,637959033141426529,"gray"
"P10","s",1,18,"f","e",1323.2988,637959033154569472,637959033167802495,"gray"
"P10","s",1,18,"f","e",1015.231,637959033216885376,637959033227037699,"blue"
"P10","s",1,18,"f","e",944.1624,637959033235996800,637959033245438375,"red"
"P10","s",1,18,"f","e",736.1681,637959033413580288,637959033420941991,"blue"
"P10","s",1,18,"f","e",1030.233,637959033441686656,637959033451989012,"blue"
"P10","s",1,18,"f","e",1250.2822,637959033463451648,637959033475954424,"red"
"P10","s",1,18,"f","e",1116.2515,637959033486466816,637959033497629326,"blue"
"P10","s",1,18,"f","e",767.1727,637959033522314880,637959033529986648,"blue"
"P10","s",1,18,"f","e",936.7246,637959033548190720,637959033557558021,"blue"
"P10","s",1,18,"f","e",939.2119,637959033579621504,637959033589013621,"blue"
"P10","s",1,18,"f","e",1167.0295,637959033612769024,637959033624439290,"blue"
"P10","s",1,18,"f","e",1659.3741,637959033655152128,637959033671745877,"blue"
"P10","s",1,18,"f","e",1375.3108,637959033687469440,637959033701222549,"red"
"P10","s",1,18,"f","e",1359.3081,637959033727558528,637959033741151584,"blue"
"P10","s",1,18,"f","e",1514.3415,637959033805656192,637959033820799607,"red"
"P10","co",2,18,"f","e",1837.738,637959034291031680,637959034309409075,"red"
"P10","co",2,18,"f","e",1707.3837,637959034320161536,637959034337235363,"red"
"P10","co",2,18,"f","e",982.8786,637959034349628160,637959034359456950,"blue"
"P10","co",2,18,"f","e",1272.2861,637959034381701760,637959034394424661,"blue"
"P10","co",2,18,"f","e",1224.2781,637959034460609664,637959034472852411,"red"
"P10","co",2,18,"f","e",1200.272,637959034500698752,637959034512701423,"red"
"P10","co",2,18,"f","e",1603.3618,637959034587618432,637959034603651989,"red"
"P10","co",2,18,"f","e",1709.3874,637959034617945216,637959034635039098,"blue"
"P10","co",2,18,"f","e",1682.653,637959034646281600,637959034663108163,"blue"
"P10","co",2,18,"f","e",1537.3481,637959034681483648,637959034696857171,"gray"
"P10","co",2,18,"f","e",1324.3005,637959034716809472,637959034730052488,"gray"
"P10","co",2,18,"f","e",1354.3066,637959034780103808,637959034793646872,"gray"
"P10","co",2,18,"f","e",1299.2942,637959034810100608,637959034823093532,"gold"
"P10","co",2,18,"f","e",1421.3237,637959034841807744,637959034856021003,"gray"
"P10","co",2,18,"f","e",1430.3248,637959034873404928,637959034887708156,"gray"
"P10","co",2,18,"f","e",1824.4162,637959034927467136,637959034945711303,"gray"
"P10","co",2,18,"f","e",1146.1257,637959035046979072,637959035058440309,"blue"
"P10","co",2,18,"f","e",1218.2749,637959035076849280,637959035089032040,"red"
"P10","co",2,18,"f","e",1355.3862,637959035134068096,637959035147621933,"red"
"P10","co",2,18,"f","e",1470.3323,637959035223130880,637959035237834225,"gray"
"P10","co",2,18,"f","e",1796.4072,637959035329314944,637959035347278983,"gold"
"P10","co",2,18,"f","e",1629.3675,637959035372934784,637959035389228478,"gray"
"P10","co",2,18,"f","e",1540.3481,637959035416204544,637959035431608054,"gray"
"P10","co",2,18,"f","e",1533.3453,637959035457363840,637959035472697344,"gray"
"P10","co",2,18,"f","e",1770.4019,637959035486590464,637959035504294519,"gray"
"P10","co",2,18,"f","e",1428.0551,637959035580960256,637959035595240844,"blue"
"P10","co",2,18,"f","e",1632.3678,637959035628306176,637959035644629868,"blue"
"P10","co",2,18,"f","e",1925.4376,637959035659403264,637959035678657582,"red"
"P10","co",2,18,"f","e",1717.3894,637959035693050880,637959035710224713,"blue"
"P10","co",2,18,"f","e",1578.3567,637959035826481024,637959035842264576,"red"
"P10","co",2,18,"f","e",1610.2966,637959040079641984,637959040095744986,"red"
"P10","co",2,18,"f","e",1415.3209,637959040143040256,637959040157193490,"red"
"P10","co",2,18,"f","e",1871.4258,637959040180418688,637959040199132999,"gray"
"P10","co",2,18,"f","e",1552.3504,637959040215836800,637959040231360270,"gray"
"P10","co",2,18,"f","e",1781.4026,637959040303079936,637959040320893942,"gray"
"P10","co",2,18,"f","e",1352.3038,637959040336627584,637959040350150564,"gray"
"P10","co",2,18,"f","e",1242.2808,637959040370955264,637959040383378087,"gray"
"P10","co",2,18,"f","e",1352.3083,637959040400481920,637959040414005024,"gray"
"P10","co",2,18,"f","e",1374.3002,637959040433583744,637959040447326749,"gray"
"P10","co",2,18,"f","e",1337.2181,637959040461609984,637959040474982174,"red"
"P10","co",2,18,"f","e",1818.411,637959040505805824,637959040523989926,"red"
"P10","co",2,18,"f","e",1889.4274,637959040556807424,637959040575701639,"red"
