"Participant","Condition","Trial","Age","Gender","Group","BlinkRate","BlinkCount","TotalTime"
"P10","s","1","18","f","e",0.479171367038295,76,158.6071398
"P10","co","2","18","f","e",0.4223370013304,67,158.6410847
"P10","co","2","18","f","e",0.166670162727654,108,647.9864076
"P12","s","1","2","m","e",0.402785087513409,55,136.549246
"P12","s","2","22","m","e",0.484997213857973,61,125.7739184
"P12","co","1","22","m","e",0.332032980030173,45,135.5287056
"P12","co","2","22","m","e",0.472259068147794,49,103.7566101
"P13","s","1","32","m","c",0.40124184350565,47,117.1363375
"P13","co","2","32","m","c",0.421114854726412,43,102.1099102
"P13","co","1","32","m","c",0.467487111611989,56,119.7893987
"P13","co","2","32","m","c",0.532007326352692,40,75.1869345
"P14","s","1","22","m","e",0.388317328154395,92,236.9196359
"P14","s","2","22","m","e",0.513641039714551,88,171.3258739
"P14","co","1","22","m","e",0.329566248303187,23,69.7886999
"P14","co","2","22","m","e",0.429309995324269,26,60.5622983
"P16","s","1","18","m","e",0.379026456879496,36,94.9801771
"P16","s","2","18","m","e",0.336621591166779,29,86.1501483
"P16","co","1","18","m","e",0.332731272424361,36,108.1954207
"P18","s","31","31","f","c",0.386134782384176,38,98.4112329
"P18","s","2","31","f","c",0.350751620908558,37,105.487752
"P18","co","1","31","f","c",0.361453167353226,35,96.8313551
"P18","co","2","31","f","c",0.468664487331184,50,106.6861291
"P19","s","1","30","f","c",0.567569312858544,50,88.0949672
"P19","s","2","30","f","c",0.516548805759418,51,98.7322
"P19","co","1","30","f","c",0.524694817617922,59,112.4463174
"P19","co","2","30","f","c",0.42794984841531,41,95.8056187
"P2","s","1","19","m","e",0.649532499781887,61,93.9136995
"P2","s","2","19","m","e",0.522577133691376,57,109.074807
"P2","co","1","19","m","e",0.392234153434619,49,124.9253783
"P2","co","2","19","m","e",0.401363805849233,30,74.7451553
"P20","s","1","25","m","c",0.462124091730014,90,194.7528848
"P20","s","2","25","m","c",0.4491811699246,82,182.5544023
"P20","co","1","25","m","c",0.352802787684924,34,96.3711206
"P20","co","2","25","m","c",0.393188406082388,31,78.8426096
"P21","s","1","25","m","c",0.38807033519178,162,417.4500994
"P21","s","1","25","m","c",0.418274754167797,60,143.4463816
"P21","co","1","25","m","c",0.333426047106526,62,185.9482801
"P21","co","2","25","m","c",0.365746165789925,52,142.1751063
"P22","s","1","32","f","c",0.302496681592497,44,145.4561411
"P22","s","2","32","f","c",0.415717237429084,49,117.8685789
"P22","co","1","32","f","c",0.384730509794754,30,77.9766596
"P22","co","1","32","f","c",0.23243425520001,45,193.6031329
"P23","s","1","29","m","c",0.065978695995582,7,106.0948522
"P23","s","2","29","m","c",0.171404872501171,15,87.512098
"P23","co","1","29","m","c",0.114494190260968,14,122.2769467
"P23","co","2","29","m","c",0.152576205129081,15,98.3115289
"P24","s","1","27","f","c",0.333211701388438,31,93.0339477
"P24","s","2","27","f","c",0.399972540067067,33,82.505664
"P24","s","1","27","f","c",0.406850313920437,34,83.5688184
"P24","co","2","27","f","c",0.476584114903225,31,65.0462301
"P25","s","1","26","m","c",0.362635836113176,99,273.0011492
"P25","s","1","26","m","c",0.366998300957571,91,247.9575512
"P25","co","1","26","m","c",0.311454164967814,51,163.7480109
"P25","co","2","26","m","c",0.376168639800419,44,116.9688149
"P26","s","1","25","f","c",0.263344238072593,48,182.2709331
"P26","s","2","25","f","c",0.314424733177386,70,222.6287967
"P26","co","1","25","f","c",0.2147199184375,23,107.1162851
"P26","co","2","25","f","c",0.275737182120335,29,105.1726132
"P27","s","1","27","f","c",0.553314643034817,60,108.4373977
"P27","s","2","27","f","c",0.497131089623853,51,102.5886352
"P27","co","1","27","f","c",0.363531734118924,26,71.5205787
"P27","co","2","27","f","c",0.496229328431313,35,70.5319053
"P28","s","1","20","m","c",0.411299568573431,37,89.958762
"P28","s","2","20","m","c",0.290855108851753,26,89.3915878
"P28","co","1","20","m","c",0.201857592340365,15,74.3098133
"P28","co","2","20","m","c",0.156575810939293,15,95.8002383
"P29","s","1","26","m","c",0.436037293308769,53,121.5492363
"P29","s","1","26","m","c",0.483154961602082,47,97.277279
"P29","co","1","26","m","c",0.371985473172154,32,86.0248647
"P29","co","2","26","m","c",0.460984859954649,43,93.2785515
"P30","s","1","18","f","c",0.387629875081304,55,141.8879285
"P30","s","2","18","f","c",0.491661016809028,53,107.7978489
"P30","co","1","18","f","c",0.306163512067207,30,97.9868561
"P30","co","2","18","f","c",0.361613833234261,35,96.7883327
"P4","s","1","22HeadPos","-0.08228806","",0,0,85.1492437
"P4","s","2","22","m","",0.127898153615699,10,78.1872116
"P4","co","1","23","m","",0.13839379112964,22,158.9666691
"P5","s","1","28","m","e",0.22068608929107,36,163.1276358
"P5","s","2","28","m","e",0.264969512210471,27,101.8985157
"P5","co","1","28","m","e",0.211131047277545,19,89.9915017
"P5","co","2","28","m","e",0.205360728066736,25,121.7370051
"P6","s","1","23","m","e",0.320682331880996,26,81.0771203
"P6","s","2","26","m","e",0.0712891596210372,6,84.1642689
"P6","co","1","23","m","e",0.230241159166154,24,104.2385301
"P6","co","2","23","m","e",0.099660773165388,8,80.2723052
"P7","s","1","26","f","e",0.048466906447316,4,82.5305408
"P7","s","2","26","f","e",0.134149683444682,9,67.0892377
"P7","co","1","26","f","e",0.0654774562664979,8,122.1794562
"P7","co","2","26","f","e",0.0429081268205881,5,116.5280419
"P8","s","1","18","m","e",0.228256138663529,22,96.38295
"P8","s","2","18","m","e",0.293612905748225,25,85.146121
"P8","co","1","18","m","e",0.394927634095034,28,70.899065
"P8","co","2","18","m","e",0.356435594510349,24,67.3333426
"P9","tut","1","25","f","e",0.0223005163540614,71,3183.7827821
"P9","tut","1","25","f","e",0.0351285498619087,111,3159.8230054
"P9","co","1","25","f","e",0.524899299807174,37,70.4897111
"P9","co","2","25","f","e",0.454701674096589,28,61.5788364
