"Participant","Condition","Trial","Age","Gender","Group","BlinkRate","BlinkCount","TotalTime"
"P10","s","1","18","f","e",0.517000685488687,82,158.6071398
"P10","co","2","18","f","e",0.485372374663296,77,158.6410847
"P10","co","2","18","f","e",0.18827555419235,122,647.9864076
"P12","s","1","2","m","e",0.519958931153673,71,136.549246
"P12","s","2","22","m","e",0.516800309848659,65,125.7739184
"P12","co","1","22","m","e",0.427953618705556,58,135.5287056
"P12","co","2","22","m","e",0.462621127981513,48,103.7566101
"P13","s","1","32","m","c",0.461001267006491,54,117.1363375
"P13","co","2","32","m","c",0.479875067013819,49,102.1099102
"P13","co","1","32","m","c",0.525923000563488,63,119.7893987
"P13","co","2","32","m","c",0.532007326352692,40,75.1869345
"P14","s","1","22","m","e",0.405200690248064,96,236.9196359
"P14","s","2","22","m","e",0.548662019695088,94,171.3258739
"P14","co","1","22","m","e",0.343895215620717,24,69.7886999
"P14","co","2","22","m","e",0.478845764015531,29,60.5622983
"P16","s","1","18","m","e",0.494840096481564,47,94.9801771
"P16","s","2","18","m","e",0.615204976959976,53,86.1501483
"P16","co","1","18","m","e",0.443641696565814,48,108.1954207
"P18","s","31","31","f","c",0.467426315517687,46,98.4112329
"P18","s","2","31","f","c",0.492948223979595,52,105.487752
"P18","co","1","31","f","c",0.433743800823872,42,96.8313551
"P18","co","2","31","f","c",0.515530936064302,55,106.6861291
"P19","s","1","30","f","c",0.647029016658741,57,88.0949672
"P19","s","2","30","f","c",0.638089701232222,63,98.7322
"P19","co","1","30","f","c",0.569160480127916,64,112.4463174
"P19","co","2","30","f","c",0.5114522578622,49,95.8056187
"P2","s","1","19","m","e",0.777309384984882,73,93.9136995
"P2","s","2","19","m","e",0.660097432031211,72,109.074807
"P2","co","1","19","m","e",0.512305833057461,64,124.9253783
"P2","co","2","19","m","e",0.495015360547388,37,74.7451553
"P20","s","1","25","m","c",0.487797652381681,95,194.7528848
"P20","s","2","25","m","c",0.498481542233397,91,182.5544023
"P20","co","1","25","m","c",0.415062103158734,40,96.3711206
"P20","co","2","25","m","c",0.431238896993587,34,78.8426096
"P21","s","1","25","m","c",0.371301863918061,155,417.4500994
"P21","s","1","25","m","c",0.418274754167797,60,143.4463816
"P21","co","1","25","m","c",0.333426047106526,62,185.9482801
"P21","co","2","25","m","c",0.351679005567235,50,142.1751063
"P22","s","1","32","f","c",0.43999517322545,64,145.4561411
"P22","s","2","32","f","c",0.492073464711977,58,117.8685789
"P22","co","1","32","f","c",0.397554860121246,31,77.9766596
"P22","co","1","32","f","c",0.2737559005689,53,193.6031329
"P23","s","1","29","m","c",0.122531863991795,13,106.0948522
"P23","s","2","29","m","c",0.29710177900203,26,87.512098
"P23","co","1","29","m","c",0.245344693416359,30,122.2769467
"P23","co","2","29","m","c",0.233950181197925,23,98.3115289
"P24","s","1","27","f","c",0.40845305331486,38,93.0339477
"P24","s","2","27","f","c",0.521176340087391,43,82.505664
"P24","s","1","27","f","c",0.490613613845233,41,83.5688184
"P24","co","2","27","f","c",0.461210433777314,30,65.0462301
"P25","s","1","26","m","c",0.388276753818148,106,273.0011492
"P25","s","1","26","m","c",0.358932404233229,89,247.9575512
"P25","co","1","26","m","c",0.311454164967814,51,163.7480109
"P25","co","2","26","m","c",0.384717927068611,45,116.9688149
"P26","s","1","25","f","c",0.257857899779414,47,182.2709331
