"Participant","Condition","Trial","Age","Gender","Group","BlinkTime","BlinkStartTime","BlinkEndTime","blinkRowCounter"
"P10","s","1","18","f","e",45.0098,637959032262844565,637959032263294663,3
"P10","s","1","18","f","e",190.0431,637959032267275566,637959032269175997,16
"P10","s","1","18","f","e",75.0166,637959032279008218,637959032279758384,6
"P10","s","1","18","f","e",99.0237,637959032296792236,637959032297782473,8
"P10","s","1","18","f","e",121.0279,637959032302343492,637959032303553771,10
"P10","s","1","18","f","e",177.0404,637959032317436906,637959032319207310,10
"P10","s","1","18","f","e",154.0355,637959032379913065,637959032381453420,13
"P10","s","1","18","f","e",197.0443,637959032412098480,637959032414068923,17
"P10","s","1","18","f","e",82.0187,637959032426061637,637959032426881824,6
"P10","s","1","18","f","e",57.0134,637959032453497849,637959032454067983,4
"P10","s","1","18","f","e",125.0308,637959032454408052,637959032455658360,10
"P10","s","1","18","f","e",145.0321,637959032489636025,637959032491086346,12
"P10","s","1","18","f","e",78.0176,637959032500808550,637959032501588726,5
"P10","s","1","18","f","e",155.0351,637959032506029731,637959032507580082,14
"P10","s","1","18","f","e",140.0318,637959032521173156,637959032522573474,12
"P10","s","1","18","f","e",147.0335,637959032559241770,637959032560712105,12
"P10","s","1","18","f","e",159.036,637959032574995333,637959032576585693,13
"P10","s","1","18","f","e",155.0356,637959032583437239,637959032584987595,6
"P10","s","1","18","f","e",102.0224,637959032600231044,637959032601251268,7
"P10","s","1","18","f","e",269.061,637959032607312644,637959032610003254,23
"P10","s","1","18","f","e",133.03,637959032616354690,637959032617684990,11
"P10","s","1","18","f","e",155.0359,637959032626977092,637959032628527451,6
"P10","s","1","18","f","e",43.0092,637959032634808864,637959032635238956,3
"P10","s","1","18","f","e",50.0114,637959032636659282,637959032637159396,3
"P10","s","1","18","f","e",350.08,637959032648021853,637959032651522653,27
"P10","s","1","18","f","e",70.0166,637959032658194152,637959032658894318,5
"P10","s","1","18","f","e",34.0074,637959032659664489,637959032660004563,2
"P10","s","1","18","f","e",66.0148,637959032661884991,637959032662545139,5
"P10","s","1","18","f","e",241.054,637959032667726316,637959032670136856,20
"P10","s","1","18","f","e",189.0425,637959032680659239,637959032682549664,16
"P10","s","1","18","f","e",226.0516,637959032698153190,637959032700413706,20
"P10","s","1","18","f","e",104.0234,637959032704644662,637959032705684896,8
"P10","s","1","18","f","e",155.0355,637959032715607139,637959032717157494,13
"P10","s","1","18","f","e",256.0582,637959032720088158,637959032722648740,22
"P10","s","1","18","f","e",45.0102,637959032731545845,637959032731995947,3
"P10","s","1","18","f","e",204.0463,637959032736488324,637959032738528787,16
"P10","s","1","18","f","e",56.0126,637959032747810887,637959032748371013,4
"P10","s","1","18","f","e",77.0178,637959032754402376,637959032755172554,6
"P10","s","1","18","f","e",44.0098,637959032783476692,637959032783916790,3
"P10","s","1","18","f","e",161.0368,637959032788808323,637959032790418691,13
"P10","s","1","18","f","e",194.9098,637959032804320622,637959032806269720,16
"P10","s","1","18","f","e",127.0136,637959032822811118,637959032824081254,10
"P10","s","1","18","f","e",46.4892,637959032837933070,637959032838397962,3
"P10","s","1","18","f","e",253.0573,637959032851500926,637959032854031499,21
"P10","s","1","18","f","e",255.0571,637959032863063542,637959032865614113,18
"P10","s","1","18","f","e",33.0074,637959032882287891,637959032882617965,2
"P10","s","1","18","f","e",272.0613,637959032886528849,637959032889249462,23
"P10","s","1","18","f","e",33.0082,637959032902862543,637959032903192625,2
"P10","s","1","18","f","e",255.058,637959032908893906,637959032911444486,22
"P10","s","1","18","f","e",123.0273,637959032925407647,637959032926637920,10
"P10","s","1","18","f","e",167.038,637959032929618599,637959032931288979,15
"P10","s","1","18","f","e",57.0125,637959032931619052,637959032932189177,4
"P10","s","1","18","f","e",291.0658,637959032948192805,637959032951103463,25
"P10","s","1","18","f","e",219.0485,637959032962436035,637959032964626520,19
"P10","s","1","18","f","e",234.0526,637959032983510794,637959032985851320,20
"P10","s","1","18","f","e",67.0148,637959033001474859,637959033002145007,2
"P10","s","1","18","f","e",112.0257,637959033015017920,637959033016138177,8
"P10","s","1","18","f","e",89.0199,637959033040233626,637959033041123825,3
"P10","s","1","18","f","e",80.0187,637959033044454572,637959033045254759,6
"P10","s","1","18","f","e",122.0278,637959033056347271,637959033057567549,6
"P10","s","1","18","f","e",172.0394,637959033072280869,637959033074001263,15
"P10","s","1","18","f","e",45.0104,637959033094105809,637959033094555913,3
"P10","s","1","18","f","e",212.049,637959033100817334,637959033102937824,18
"P10","s","1","18","f","e",112.0251,637959033127853448,637959033128973699,4
"P10","s","1","18","f","e",35.0078,637959033132674536,637959033133024614,2
"P10","s","1","18","f","e",168.0382,637959033145557449,637959033147237831,14
"P10","s","1","18","f","e",279.0688,637959033175548574,637959033178339262,24
"P10","s","1","18","f","e",311.0709,637959033196620812,637959033199731521,13
"P10","s","1","18","f","e",236.0538,637959033204192519,637959033206553057,20
"P10","s","1","18","f","e",267.0601,637959033219165906,637959033221836507,23
"P10","s","1","18","f","e",135.2697,637959033231191252,637959033232543949,11
"P10","s","1","18","f","e",112.0248,637959033240478305,637959033241598553,4
"P10","s","1","18","f","e",175.0396,637959033248763027,637959033250513423,15
"P10","s","1","18","f","e",258.0588,637959033270557953,637959033273138541,23
"P10","s","1","18","f","e",104.0231,637959033273248565,637959033274288796,8
"P10","s","1","18","f","e",413.0946,637959033281940532,637959033286071478,36
"P10","s","1","18","f","e",326.0747,637959033300354695,637959033303615442,26
"P10","s","1","18","f","e",295.0667,637959033322109620,637959033325060287,25
"P10","s","1","18","f","e",122.0276,637959033332832048,637959033334052324,10
"P10","s","1","18","f","e",272.0616,637959033364649244,637959033367369860,23
"P10","s","1","18","f","e",178.0404,637959033373481240,637959033375261644,15
"P10","s","1","18","f","e",40.0089,637959033402027700,637959033402427789,3
"P10","s","1","18","f","e",133.0302,637959033407558950,637959033408889252,11
"P10","s","1","18","f","e",56.0127,637959033418301382,637959033418861509,4
"P10","s","1","18","f","e",189.0427,637959033430554153,637959033432444580,16
"P10","s","1","18","f","e",191.0432,637959033445397514,637959033447307946,16
"P10","s","1","18","f","e",201.0462,637959033456420003,637959033458430465,16
"P10","s","1","18","f","e",34.0074,637959033469402944,637959033469743018,2
"P10","s","1","18","f","e",178.0402,637959033479385200,637959033481165602,7
"P10","s","1","18","f","e",34.0078,637959033492728220,637959033493068298,2
"P10","s","1","18","f","e",234.0525,637959033515423352,637959033517763877,20
"P10","s","1","18","f","e",71.016,637959033527035980,637959033527746140,5
"P10","s","1","18","f","e",169.0382,637959033538168498,637959033539858880,14
"P10","s","1","18","f","e",223.0498,637959033550801358,637959033553031856,19
"P10","s","1","18","f","e",391.0892,637959033569929288,637959033573840180,34
"P10","s","1","18","f","e",256.0579,637959033603266835,637959033605827414,22
"P10","s","1","18","f","e",245.0555,637959033633819362,637959033636269917,21
"P10","s","1","18","f","e",33.0074,637959033641431525,637959033641761599,2
"P10","s","1","18","f","e",133.0299,637959033648425613,637959033649755912,5
"P10","s","1","18","f","e",278.0628,637959033678077309,637959033680857937,24
"P10","s","1","18","f","e",210.0477,637959033719336639,637959033721437116,18
"P10","s","1","18","f","e",178.0393,637959033748323205,637959033750103598,15
"P10","s","1","18","f","e",189.0427,637959033762036302,637959033763926729,16
"P10","s","1","18","f","e",109.0236,637959033768387746,637959033769477982,4
"P10","s","1","18","f","e",102.0225,637959033781330669,637959033782350894,5
"P10","s","1","18","f","e",223.051,637959033791362938,637959033793593448,19
"P10","s","1","18","f","e",89.0208,637959033793693459,637959033794583667,7
"P10","s","1","18","f","e",233.0528,637959033797634355,637959033799964883,20
"P10","s","1","18","f","e",67.0153,637959033827831186,637959033828501339,5
"P10","co","2","18","f","e",55.0121,637959034262385211,637959034262935332,4
"P10","co","2","18","f","e",154.035,637959034266286100,637959034267826450,13
"P10","co","2","18","f","e",31.0069,637959034276178336,637959034276488405,2
"P10","co","2","18","f","e",88.0203,637959034278258804,637959034279139007,7
"P10","co","2","18","f","e",176.0392,637959034313029893,637959034314790285,7
"P10","co","2","18","f","e",254.0582,637959034341066229,637959034343606811,22
"P10","co","2","18","f","e",146.0325,637959034363696619,637959034365156944,12
"P10","co","2","18","f","e",44.0107,637959034387893175,637959034388333282,3
"P10","co","2","18","f","e",189.0432,637959034400035923,637959034401926355,16
"P10","co","2","18","f","e",67.0141,637959034408317810,637959034408987951,2
"P10","co","2","18","f","e",146.0333,637959034417859957,637959034419320290,12
"P10","co","2","18","f","e",278.0631,637959034445636240,637959034448416871,19
"P10","co","2","18","f","e",214.0489,637959034453127938,637959034455268427,17
"P10","co","2","18","f","e",282.0635,637959034463410264,637959034466230899,24
"P10","co","2","18","f","e",168.0381,637959034476073126,637959034477753507,14
"P10","co","2","18","f","e",188.0426,637959034489956268,637959034491836694,16
"P10","co","2","18","f","e",289.0659,637959034495227457,637959034498118116,25
"P10","co","2","18","f","e",242.0545,637959034517642534,637959034520063079,20
"P10","co","2","18","f","e",66.0151,637959034531715715,637959034532375866,5
"P10","co","2","18","f","e",45.0107,637959034545058734,637959034545508841,3
"P10","co","2","18","f","e",45.0103,637959034547609313,637959034548059416,3
"P10","co","2","18","f","e",130.0289,637959034551010082,637959034552310371,11
"P10","co","2","18","f","e",91.0204,637959034556951422,637959034557861626,7
"P10","co","2","18","f","e",46.0102,637959034571324678,637959034571784780,3
"P10","co","2","18","f","e",32.0072,637959034571894807,637959034572214879,2
"P10","co","2","18","f","e",100.0229,637959034575585644,637959034576585873,8
"P10","co","2","18","f","e",99.0217,637959034591359211,637959034592349428,8
"P10","co","2","18","f","e",45.0103,637959034594719972,637959034595170075,3
"P10","co","2","18","f","e",45.0106,637959034607912952,637959034608363058,3
"P10","co","2","18","f","e",212.0486,637959034609673352,637959034611793838,18
"P10","co","2","18","f","e",78.0187,637959034624226641,637959034625006828,6
