"TimeStamp","Participant","Condition","Trial","Age","Gender","Group","DurationEvent","DurationTime","StartTime","EndTime"
637959032269296023,"P10","s","1",18,"f","e","Build",633.1434,637959032262964589,637959032269296023
637959032272546753,"P10","s","1",18,"f","e","Play",325.073,637959032269296023,637959032272546753
637959032279448314,"P10","s","1",18,"f","e","View",690.1561,637959032272546753,637959032279448314
637959032296562196,"P10","s","1",18,"f","e","Play",1711.3882,637959032279448314,637959032296562196
637959032303353726,"P10","s","1",18,"f","e","View",679.153,637959032296562196,637959032303353726
637959032319217312,"P10","s","1",18,"f","e","Build",1265.2856,637959032306564456,637959032319217312
637959032327669226,"P10","s","1",18,"f","e","Play",845.1914,637959032319217312,637959032327669226
637959032333445589,"P10","s","1",18,"f","e","View",577.6363,637959032327669226,637959032333445589
637959032358698264,"P10","s","1",18,"f","e","Play",2525.2675,637959032333445589,637959032358698264
637959032382123560,"P10","s","1",18,"f","e","Build",2342.5296,637959032358698264,637959032382123560
637959032402901884,"P10","s","1",18,"f","e","Play",2077.8324,637959032382123560,637959032402901884
637959032413968905,"P10","s","1",18,"f","e","Build",1106.7021,637959032402901884,637959032413968905
637959032419220090,"P10","s","1",18,"f","e","Play",525.1185,637959032413968905,637959032419220090
637959032426531754,"P10","s","1",18,"f","e","View",731.1664,637959032419220090,637959032426531754
637959032445726088,"P10","s","1",18,"f","e","Play",1919.4334,637959032426531754,637959032445726088
637959032455778364,"P10","s","1",18,"f","e","Build",1005.2276,637959032445726088,637959032455778364
637959032466280744,"P10","s","1",18,"f","e","Play",1050.238,637959032455778364,637959032466280744
637959032473532384,"P10","s","1",18,"f","e","View",725.164,637959032466280744,637959032473532384
637959032476873139,"P10","s","1",18,"f","e","Play",334.0755,637959032473532384,637959032476873139
637959032491206377,"P10","s","1",18,"f","e","Build",1433.3238,637959032476873139,637959032491206377
637959032500628514,"P10","s","1",18,"f","e","Play",942.2137,637959032491206377,637959032500628514
637959032506739891,"P10","s","1",18,"f","e","View",611.1377,637959032500628514,637959032506739891
637959032509590536,"P10","s","1",18,"f","e","Play",285.0645,637959032506739891,637959032509590536
637959032522693497,"P10","s","1",18,"f","e","Build",1310.2961,637959032509590536,637959032522693497
637959032543518214,"P10","s","1",18,"f","e","Play",2082.4717,637959032522693497,637959032543518214
637959032560722103,"P10","s","1",18,"f","e","Build",1720.3889,637959032543518214,637959032560722103
637959032570344284,"P10","s","1",18,"f","e","Play",962.2181,637959032560722103,637959032570344284
637959032576595695,"P10","s","1",18,"f","e","View",625.1411,637959032570344284,637959032576595695
637959032610013257,"P10","s","1",18,"f","e","Play",3341.7562,637959032576595695,637959032610013257
637959032617694990,"P10","s","1",18,"f","e","View",768.1733,637959032610013257,637959032617694990
637959032651632669,"P10","s","1",18,"f","e","Play",3393.7679,637959032617694990,637959032651632669
637959032658314182,"P10","s","1",18,"f","e","View",668.1513,637959032651632669,637959032658314182
637959032661774965,"P10","s","1",18,"f","e","Play",346.0783,637959032658314182,637959032661774965
637959032670256894,"P10","s","1",18,"f","e","Build",848.1929,637959032661774965,637959032670256894
637959032676098200,"P10","s","1",18,"f","e","Play",584.1306,637959032670256894,637959032676098200
637959032684320067,"P10","s","1",18,"f","e","View",822.1867,637959032676098200,637959032684320067
637959032700663763,"P10","s","1",18,"f","e","Build",1634.3696,637959032684320067,637959032700663763
637959032717277517,"P10","s","1",18,"f","e","Play",1661.3754,637959032700663763,637959032717277517
