"TimeStamp","Participant","Condition","Trial","Age","Gender","Group","TransferEvent","StartTime","EndTime","StartPosX","StartPosY","StartPosZ","EndPosX","EndPosY","EndPosZ","B2P","B2V","P2V","P2B","V2P","V2B"
637959032269296023,"P10","s","1",18,"f","e","B2P",637959032269185997,637959032269296023,"","","","1.26","11.20539",-0.3032137,11.0026,NA,NA,NA,NA,NA
637959032272546753,"P10","s","1",18,"f","e","P2V",637959032272156670,637959032272546753,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,39.0083,NA,NA,NA
637959032279448314,"P10","s","1",18,"f","e","V2P",637959032279138242,637959032279448314,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,31.0072,NA
637959032296562196,"P10","s","1",18,"f","e","P2V",637959032295912040,637959032296562196,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,65.0156,NA,NA,NA
637959032303353726,"P10","s","1",18,"f","e","V2P",637959032303243699,637959032303353726,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,11.0027,NA
637959032319217312,"P10","s","1",18,"f","e","B2P",637959032317226860,637959032319217312,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,199.0452,NA,NA,NA,NA,NA
637959032327669226,"P10","s","1",18,"f","e","P2V",637959032327219119,637959032327669226,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,45.0107,NA,NA,NA
637959032333445589,"P10","s","1",18,"f","e","V2P",637959032331885242,637959032333445589,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,156.0347,NA
637959032358698264,"P10","s","1",18,"f","e","P2B",637959032354887400,637959032358698264,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,381.0864,NA,NA
637959032382123560,"P10","s","1",18,"f","e","B2P",637959032381243362,637959032382123560,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,88.0198,NA,NA,NA,NA,NA
637959032402901884,"P10","s","1",18,"f","e","P2B",637959032396216899,637959032402901884,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,668.4985,NA,NA
637959032413968905,"P10","s","1",18,"f","e","B2P",637959032413858879,637959032413968905,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,11.0026,NA,NA,NA,NA,NA
637959032419220090,"P10","s","1",18,"f","e","P2V",637959032418890016,637959032419220090,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,33.0074,NA,NA,NA
637959032426531754,"P10","s","1",18,"f","e","V2P",637959032426311694,637959032426531754,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,22.006,NA
637959032445726088,"P10","s","1",18,"f","e","P2B",637959032441605155,637959032445726088,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,412.0933,NA,NA
637959032455778364,"P10","s","1",18,"f","e","B2P",637959032451167329,637959032455778364,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,461.1035,NA,NA,NA,NA,NA
637959032466280744,"P10","s","1",18,"f","e","P2V",637959032465610588,637959032466280744,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,67.0156,NA,NA,NA
637959032473532384,"P10","s","1",18,"f","e","V2P",637959032472762204,637959032473532384,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,77.018,NA
637959032476873139,"P10","s","1",18,"f","e","P2B",637959032474102509,637959032476873139,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,277.063,NA,NA
637959032491206377,"P10","s","1",18,"f","e","B2P",637959032487395522,637959032491206377,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,381.0855,NA,NA,NA,NA,NA
637959032500628514,"P10","s","1",18,"f","e","P2V",637959032499928354,637959032500628514,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,70.016,NA,NA,NA
637959032506739891,"P10","s","1",18,"f","e","V2P",637959032505909705,637959032506739891,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,83.0186,NA
637959032509590536,"P10","s","1",18,"f","e","P2B",637959032506949938,637959032509590536,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,264.0598,NA,NA
637959032522693497,"P10","s","1",18,"f","e","B2P",637959032522583483,637959032522693497,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,11.0014,NA,NA,NA,NA,NA
637959032543518214,"P10","s","1",18,"f","e","P2B",637959032537466840,637959032543518214,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,605.1374,NA,NA
637959032560722103,"P10","s","1",18,"f","e","B2P",637959032557901462,637959032560722103,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,282.0641,NA,NA,NA,NA,NA
637959032570344284,"P10","s","1",18,"f","e","P2V",637959032569894175,637959032570344284,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,45.0109,NA,NA,NA
637959032576595695,"P10","s","1",18,"f","e","V2P",637959032576485667,637959032576595695,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,11.0028,NA
637959032610013257,"P10","s","1",18,"f","e","P2V",637959032609893233,637959032610013257,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,12.0024,NA,NA,NA
637959032617694990,"P10","s","1",18,"f","e","V2P",637959032616144645,637959032617694990,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,155.0345,NA
637959032651632669,"P10","s","1",18,"f","e","P2V",637959032647561745,637959032651632669,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,407.0924,NA,NA,NA
637959032658314182,"P10","s","1",18,"f","e","V2P",637959032657223932,637959032658314182,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,109.025,NA
637959032661774965,"P10","s","1",18,"f","e","P2B",637959032659024340,637959032661774965,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,275.0625,NA,NA
637959032670256894,"P10","s","1",18,"f","e","B2P",637959032670146862,637959032670256894,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,11.0032,NA,NA,NA,NA,NA
637959032676098200,"P10","s","1",18,"f","e","P2V",637959032675768126,637959032676098200,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,33.0074,NA,NA,NA
637959032684320067,"P10","s","1",18,"f","e","V2B",637959032680449189,637959032684320067,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,NA,NA,387.0878
637959032700663763,"P10","s","1",18,"f","e","B2P",637959032700313682,637959032700663763,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,35.0081,NA,NA,NA,NA,NA
637959032717277517,"P10","s","1",18,"f","e","P2V",637959032715497123,637959032717277517,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,178.0394,NA,NA,NA
637959032722328658,"P10","s","1",18,"f","e","V2B",637959032719878103,637959032722328658,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,NA,NA,245.0555
637959032738538785,"P10","s","1",18,"f","e","B2P",637959032738438762,637959032738538785,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,10.0023,NA,NA,NA,NA,NA
637959032747710862,"P10","s","1",18,"f","e","P2V",637959032747370785,637959032747710862,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,34.0077,NA,NA,NA
637959032755302576,"P10","s","1",18,"f","e","V2P",637959032755182552,637959032755302576,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,12.0024,NA
637959032770916116,"P10","s","1",18,"f","e","P2B",637959032767435323,637959032770916116,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,348.0793,NA,NA
637959032790528714,"P10","s","1",18,"f","e","B2P",637959032790308664,637959032790528714,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,22.005,NA,NA,NA,NA,NA
637959032798969412,"P10","s","1",18,"f","e","P2V",637959032798639335,637959032798969412,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,33.0077,NA,NA,NA
637959032811350867,"P10","s","1",18,"f","e","V2B",637959032806159697,637959032811350867,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,NA,NA,519.117
637959032824311303,"P10","s","1",18,"f","e","B2P",637959032824091248,637959032824311303,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,22.0055,NA,NA,NA,NA,NA
637959032837943067,"P10","s","1",18,"f","e","P2B",637959032834932389,637959032837943067,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,301.0678,NA,NA
637959032854161525,"P10","s","1",18,"f","e","B2P",637959032854041499,637959032854161525,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,12.0026,NA,NA,NA,NA,NA
637959032865624115,"P10","s","1",18,"f","e","P2V",637959032861773255,637959032865624115,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,385.086,NA,NA,NA
637959032869344962,"P10","s","1",18,"f","e","V2P",637959032869124912,637959032869344962,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,22.005,NA
637959032881987830,"P10","s","1",18,"f","e","P2V",637959032881697756,637959032881987830,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,29.0074,NA,NA,NA
637959032889369498,"P10","s","1",18,"f","e","V2B",637959032886418825,637959032889369498,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,NA,NA,295.0673
637959032911784563,"P10","s","1",18,"f","e","B2V",637959032911454490,637959032911784563,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,33.0073,NA,NA,NA,NA
637959032918636119,"P10","s","1",18,"f","e","V2P",637959032918426064,637959032918636119,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,21.0055,NA
637959032925857757,"P10","s","1",18,"f","e","P2V",637959032925627700,637959032925857757,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,23.0057,NA,NA,NA
637959032926647924,"P10","s","1",18,"f","e","V2P",637959032926527898,637959032926647924,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,NA,NA,NA,NA,12.0026,NA
637959032931849106,"P10","s","1",18,"f","e","V2B",637959032930608830,637959032931849106,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,NA,NA,124.0276
637959032951113458,"P10","s","1",18,"f","e","B2P",637959032947972754,637959032951113458,"1.26","11.20539","-0.3032137","1.26","11.20539",-0.3032137,314.0704,NA,NA,NA,NA,NA
637959032956984794,"P10","s","1",18,"f","e","P2V",637959032956784744,637959032956984794,"1.26","11.20539","-0.3032137","4.97","5",-9.85,NA,NA,20.005,NA,NA,NA
637959032966306900,"P10","s","1",18,"f","e","V2B",637959032962235975,637959032966306900,"1.26","11.20539","-0.3032137","10","7",10.41,NA,NA,NA,NA,NA,407.0925
