"Participant","Condition","Trial","Age","Gender","Group","MovementTime","grabTime","TimeStamp","currentColor"
"P10","s","1",18,"f","e",1989.4512,637959032292541276,637959032312435788,"red"
"P10","s","1",18,"f","e",1582.2246,637959032345926723,637959032361748969,"red"
"P10","s","1",18,"f","e",1472.6961,637959032392896005,637959032407622966,"red"
"P10","s","1",18,"f","e",1162.2624,637959032437244179,637959032448866803,"blue"
"P10","s","1",18,"f","e",2116.4791,637959032463200046,637959032484364837,"blue"
"P10","s","1",18,"f","e",1704.3863,637959032500528496,637959032517572359,"red"
"P10","s","1",18,"f","e",1796.4058,637959032534206113,637959032552170171,"red"
"P10","s","1",18,"f","e",2003.4539,637959032673717669,637959032693752208,"red"
"P10","s","1",18,"f","e",1944.9513,637959032712946542,637959032732396055,"blue"
"P10","s","1",18,"f","e",1766.364,637959032763304389,637959032780968029,"blue"
"P10","s","1",18,"f","e",2076.2631,637959032798069216,637959032818831847,"gray"
"P10","s","1",18,"f","e",1565.8383,637959032831721618,637959032847380001,"gray"
"P10","s","1",18,"f","e",1914.4337,637959032881267669,637959032900412006,"gold"
"P10","s","1",18,"f","e",1726.3901,637959032923127150,637959032940391051,"gray"
"P10","s","1",18,"f","e",1510.343,637959032958685178,637959032973788608,"gray"
"P10","s","1",18,"f","e",1359.3084,637959033052746459,637959033066339543,"gray"
"P10","s","1",18,"f","e",1242.2819,637959033079602539,637959033092025358,"gray"
"P10","s","1",18,"f","e",1730.3924,637959033124122605,637959033141426529,"gray"
"P10","s","1",18,"f","e",1323.2988,637959033154569507,637959033167802495,"gray"
"P10","s","1",18,"f","e",1015.231,637959033216885389,637959033227037699,"blue"
"P10","s","1",18,"f","e",944.1624,637959033235996751,637959033245438375,"red"
"P10","s","1",18,"f","e",736.1681,637959033413580310,637959033420941991,"blue"
"P10","s","1",18,"f","e",1030.233,637959033441686682,637959033451989012,"blue"
"P10","s","1",18,"f","e",1250.2822,637959033463451602,637959033475954424,"red"
"P10","s","1",18,"f","e",1116.2515,637959033486466811,637959033497629326,"blue"
"P10","s","1",18,"f","e",767.1727,637959033522314921,637959033529986648,"blue"
"P10","s","1",18,"f","e",936.7246,637959033548190775,637959033557558021,"blue"
"P10","s","1",18,"f","e",939.2119,637959033579621502,637959033589013621,"blue"
"P10","s","1",18,"f","e",1167.0295,637959033612768995,637959033624439290,"blue"
"P10","s","1",18,"f","e",1659.3741,637959033655152136,637959033671745877,"blue"
"P10","s","1",18,"f","e",1375.3108,637959033687469441,637959033701222549,"red"
"P10","s","1",18,"f","e",1359.3081,637959033727558503,637959033741151584,"blue"
"P10","s","1",18,"f","e",1514.3415,637959033805656192,637959033820799607,"red"
"P10","co","2",18,"f","e",1837.738,637959034291031695,637959034309409075,"red"
"P10","co","2",18,"f","e",1707.3837,637959034320161526,637959034337235363,"red"
"P10","co","2",18,"f","e",982.8786,637959034349628164,637959034359456950,"blue"
"P10","co","2",18,"f","e",1272.2861,637959034381701800,637959034394424661,"blue"
"P10","co","2",18,"f","e",1224.2781,637959034460609630,637959034472852411,"red"
"P10","co","2",18,"f","e",1200.272,637959034500698703,637959034512701423,"red"
"P10","co","2",18,"f","e",1603.3618,637959034587618371,637959034603651989,"red"
"P10","co","2",18,"f","e",1709.3874,637959034617945224,637959034635039098,"blue"
"P10","co","2",18,"f","e",1682.653,637959034646281633,637959034663108163,"blue"
"P10","co","2",18,"f","e",1537.3481,637959034681483690,637959034696857171,"gray"
"P10","co","2",18,"f","e",1324.3005,637959034716809483,637959034730052488,"gray"
"P10","co","2",18,"f","e",1354.3066,637959034780103806,637959034793646872,"gray"
"P10","co","2",18,"f","e",1299.2942,637959034810100590,637959034823093532,"gold"
"P10","co","2",18,"f","e",1421.3237,637959034841807766,637959034856021003,"gray"
"P10","co","2",18,"f","e",1430.3248,637959034873404908,637959034887708156,"gray"
"P10","co","2",18,"f","e",1824.4162,637959034927467141,637959034945711303,"gray"
"P10","co","2",18,"f","e",1146.1257,637959035046979052,637959035058440309,"blue"
"P10","co","2",18,"f","e",1218.2749,637959035076849291,637959035089032040,"red"
"P10","co","2",18,"f","e",1355.3862,637959035134068071,637959035147621933,"red"
"P10","co","2",18,"f","e",1470.3323,637959035223130902,637959035237834225,"gray"
"P10","co","2",18,"f","e",1796.4072,637959035329314911,637959035347278983,"gold"
"P10","co","2",18,"f","e",1629.3675,637959035372934803,637959035389228478,"gray"
"P10","co","2",18,"f","e",1540.3481,637959035416204573,637959035431608054,"gray"
"P10","co","2",18,"f","e",1533.3453,637959035457363891,637959035472697344,"gray"
"P10","co","2",18,"f","e",1770.4019,637959035486590500,637959035504294519,"gray"
"P10","co","2",18,"f","e",1428.0551,637959035580960293,637959035595240844,"blue"
"P10","co","2",18,"f","e",1632.3678,637959035628306190,637959035644629868,"blue"
"P10","co","2",18,"f","e",1925.4376,637959035659403206,637959035678657582,"red"
