"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"P10","s","1",18,"f","e",600.1358,637959032286539918,637959032292541276,"red"
"P10","s","1",18,"f","e",421.0953,637959032341715770,637959032345926723,"red"
"P10","s","1",18,"f","e",270.0608,637959032390195397,637959032392896005,"red"
"P10","s","1",18,"f","e",474.108,637959032529465033,637959032534206113,"red"
"P10","s","1",18,"f","e",1067.2425,637959032593369486,637959032604041911,"gray"
"P10","s","1",18,"f","e",246.0587,637959032742939780,637959032745400367,"red"
"P10","s","1",18,"f","e",161.0372,637959032796458844,637959032798069216,"gray"
"P10","s","1",18,"f","e",260.0593,637959032829121025,637959032831721618,"gray"
"P10","s","1",18,"f","e",556.1266,637959032875706403,637959032881267669,"gold"
"P10","s","1",18,"f","e",416.0961,637959032918966189,637959032923127150,"gray"
"P10","s","1",18,"f","e",213.0488,637959033050615971,637959033052746459,"gray"
"P10","s","1",18,"f","e",76.0172,637959033078842367,637959033079602539,"gray"
"P10","s","1",18,"f","e",668.1516,637959033117441089,637959033124122605,"gray"
"P10","s","1",18,"f","e",86.0217,637959033153709290,637959033154569507,"gray"
"P10","s","1",18,"f","e",425.0965,637959033212634424,637959033216885389,"blue"
"P10","s","1",18,"f","e",498.1132,637959033458470470,637959033463451602,"red"
"P10","s","1",18,"f","e",541.1245,637959033574210257,637959033579621502,"blue"
"P10","s","1",18,"f","e",129.0305,637959033611478690,637959033612768995,"blue"
"P10","s","1",18,"f","e",1689.3835,637959033788762357,637959033805656192,"red"
"P10","co","2",18,"f","e",871.1958,637959034282319737,637959034291031695,"red"
"P10","co","2",18,"f","e",200.0476,637959034318161050,637959034320161526,"red"
"P10","co","2",18,"f","e",16.0035,637959034372459689,637959034372619724,"red"
"P10","co","2",18,"f","e",1996.4518,637959034440645112,637959034460609630,"red"
"P10","co","2",18,"f","e",722.1643,637959034520393153,637959034527614796,"red"
"P10","co","2",18,"f","e",362.0835,637959034566933683,637959034570554518,"red"
"P10","co","2",18,"f","e",672.1532,637959034580896839,637959034587618371,"red"
"P10","co","2",18,"f","e",193.0437,637959034679553253,637959034681483690,"gray"
"P10","co","2",18,"f","e",308.4738,637959034713724745,637959034716809483,"gray"
"P10","co","2",18,"f","e",453.1023,637959034775572783,637959034780103806,"gray"
"P10","co","2",18,"f","e",719.163,637959034802908960,637959034810100590,"gold"
"P10","co","2",18,"f","e",334.076,637959034838467006,637959034841807766,"gray"
"P10","co","2",18,"f","e",406.0914,637959034869343994,637959034873404908,"gray"
"P10","co","2",18,"f","e",256.0575,637959034924906566,637959034927467141,"gray"
"P10","co","2",18,"f","e",98.0231,637959035075869060,637959035076849291,"red"
"P10","co","2",18,"f","e",173.0402,637959035221400500,637959035223130902,"gray"
"P10","co","2",18,"f","e",635.146,637959035366583343,637959035372934803,"gray"
"P10","co","2",18,"f","e",363.0828,637959035412573745,637959035416204573,"gray"
"P10","co","2",18,"f","e",381.0873,637959035453553018,637959035457363891,"gray"
"P10","co","2",18,"f","e",193.0443,637959035484660057,637959035486590500,"gray"
"P10","co","2",18,"f","e",658.9677,637959035574370616,637959035580960293,"blue"
"P10","co","2",18,"f","e",290.0635,637959035656502571,637959035659403206,"red"
"P10","co","2",18,"f","e",753.1712,637959035818949297,637959035826481009,"red"
"P10","co","2",18,"f","e",435.098,637959039940078619,637959039944429599,"red"
"P10","co","2",18,"f","e",677.1552,637959039984168594,637959039990940146,"red"
"P10","co","2",18,"f","e",321.0749,637959039995611177,637959039998821926,"red"
"P10","co","2",18,"f","e",682.1546,637959040072820474,637959040079642020,"red"
"P10","co","2",18,"f","e",507.115,637959040137969131,637959040143040281,"red"
"P10","co","2",18,"f","e",107.0241,637959040179348500,637959040180418741,"gray"
"P10","co","2",18,"f","e",321.0734,637959040212626032,637959040215836766,"gray"
"P10","co","2",18,"f","e",371.0846,637959040299369070,637959040303079916,"gray"
"P10","co","2",18,"f","e",339.079,637959040333236736,637959040336627526,"gray"
"P10","co","2",18,"f","e",539.1232,637959040365564047,637959040370955279,"gray"
"P10","co","2",18,"f","e",105.0235,637959040399431706,637959040400481941,"gray"
"P10","co","2",18,"f","e",394.0901,637959040429642846,637959040433583747,"gray"
"P10","co","2",18,"f","e",622.1425,637959040455388568,637959040461609993,"red"
"P10","co","2",18,"f","e",511.116,637959040500694656,637959040505805816,"red"
"P10","co","2",18,"f","e",474.1087,637959040552066278,637959040556807365,"red"
"P10","co","2",18,"f","e",888.2013,637959040675284160,637959040684166173,"red"
"P10","co","2",18,"f","e",458.1043,637959040714653060,637959040719234103,"red"
"P12","s","1",22,"m","e",558.126,637959113767905212,637959113773486472,"gray"
"P12","s","1",22,"m","e",815.185,637959113803683301,637959113811835151,"red"
"P12","s","1",22,"m","e",933.2126,637959113842512092,637959113851844218,"blue"
"P12","s","1",22,"m","e",290.0654,637959113884571602,637959113887472256,"red"
"P12","s","1",22,"m","e",266.0604,637959113920129650,637959113922790254,"red"
"P12","s","1",22,"m","e",1363.3077,637959114006999342,637959114020632419,"red"
"P12","s","1",22,"m","e",399.0903,637959114086417296,637959114090408199,"red"
"P12","s","1",22,"m","e",368.0831,637959114168225802,637959114171906633,"red"
"P12","s","1",22,"m","e",105.0239,637959114224828608,637959114225878847,"gray"
"P12","s","1",22,"m","e",539.1205,637959114261586933,637959114266978138,"gray"
"P12","s","1",22,"m","e",283.0638,637959114301465944,637959114304296582,"gray"
"P12","s","1",22,"m","e",375.0845,637959114333523196,637959114337274041,"gray"
"P12","s","1",22,"m","e",479.1086,637959114373802307,637959114378593393,"gray"
"P12","s","1",22,"m","e",18.0071,637959114478987167,637959114479167238,"gray"
"P12","s","1",22,"m","e",466.8943,637959114482936553,637959114487605496,"gold"
"P12","s","1",22,"m","e",285.0642,637959114543371545,637959114546222187,"gray"
"P12","s","1",22,"m","e",185.0419,637959114586431283,637959114588281702,"gray"
"P12","s","1",22,"m","e",1649.3739,637959114663198648,637959114679692387,"blue"
"P12","s","1",22,"m","e",215.0509,637959114691044946,637959114693195455,"red"
"P12","s","1",22,"m","e",217.0495,637959114814022771,637959114816193266,"red"
