"Participant","Condition","Trial","Age","Gender","Group","MovementTime","PlaceStart","PlaceEnd","Color"
"P10","s","1",18,"f","e",587.1332,637959032306564456,637959032312435788,"red"
"P10","s","1",18,"f","e",305.0705,637959032358698264,637959032361748969,"red"
"P10","s","1",18,"f","e",616.1407,637959032401461559,637959032407622966,"red"
"P10","s","1",18,"f","e",314.0715,637959032445726088,637959032448866803,"blue"
"P10","s","1",18,"f","e",749.1698,637959032476873139,637959032484364837,"blue"
"P10","s","1",18,"f","e",798.1823,637959032509590536,637959032517572359,"red"
"P10","s","1",18,"f","e",987.2233,637959032542297938,637959032552170171,"red"
"P10","s","1",18,"f","e",943.2141,637959032684320067,637959032693752208,"red"
"P10","s","1",18,"f","e",1006.7397,637959032722328658,637959032732396055,"blue"
"P10","s","1",18,"f","e",1005.1913,637959032770916116,637959032780968029,"blue"
"P10","s","1",18,"f","e",748.098,637959032811350867,637959032818831847,"gray"
"P10","s","1",18,"f","e",943.6934,637959032837943067,637959032847380001,"gray"
"P10","s","1",18,"f","e",1104.2508,637959032889369498,637959032900412006,"gold"
"P10","s","1",18,"f","e",854.1945,637959032931849106,637959032940391051,"gray"
"P10","s","1",18,"f","e",748.1708,637959032966306900,637959032973788608,"gray"
"P10","s","1",18,"f","e",676.1541,637959033059578002,637959033066339543,"gray"
"P10","s","1",18,"f","e",646.1484,637959033085563874,637959033092025358,"gray"
"P10","s","1",18,"f","e",932.2122,637959033132104407,637959033141426529,"gray"
"P10","s","1",18,"f","e",698.1593,637959033160820902,637959033167802495,"gray"
"P10","s","1",18,"f","e",393.09,637959033223106799,637959033227037699,"blue"
"P10","s","1",18,"f","e",472.0019,637959033240718356,637959033245438375,"red"
"P10","s","1",18,"f","e",141.0337,637959033419531654,637959033420941991,"blue"
"P10","s","1",18,"f","e",479.1096,637959033447197916,637959033451989012,"blue"
"P10","s","1",18,"f","e",632.1426,637959033469632998,637959033475954424,"red"
"P10","s","1",18,"f","e",534.1206,637959033492288120,637959033497629326,"blue"
"P10","s","1",18,"f","e",306.0687,637959033526925961,637959033529986648,"blue"
"P10","s","1",18,"f","e",292.5799,637959033554632222,637959033557558021,"blue"
"P10","s","1",18,"f","e",50.013,637959033588513491,637959033589013621,"blue"
"P10","s","1",18,"f","e",377.0265,637959033620669025,637959033624439290,"blue"
"P10","s","1",18,"f","e",804.1826,637959033663704051,637959033671745877,"blue"
"P10","s","1",18,"f","e",791.1788,637959033693310761,637959033701222549,"red"
"P10","s","1",18,"f","e",665.1513,637959033734500071,637959033741151584,"blue"
"P10","s","1",18,"f","e",545.1247,637959033815348360,637959033820799607,"red"
"P10","co","2",18,"f","e",626.9594,637959034303139481,637959034309409075,"red"
"P10","co","2",18,"f","e",605.1365,637959034331183998,637959034337235363,"red"
"P10","co","2",18,"f","e",260.8788,637959034356848162,637959034359456950,"blue"
"P10","co","2",18,"f","e",698.1573,637959034387443088,637959034394424661,"blue"
"P10","co","2",18,"f","e",684.1558,637959034466010853,637959034472852411,"red"
"P10","co","2",18,"f","e",614.1397,637959034506560026,637959034512701423,"red"
"P10","co","2",18,"f","e",926.2098,637959034594389891,637959034603651989,"red"
"P10","co","2",18,"f","e",1102.25,637959034624016598,637959034635039098,"blue"
"P10","co","2",18,"f","e",988.7247,637959034653220916,637959034663108163,"blue"
"P10","co","2",18,"f","e",927.21,637959034687585071,637959034696857171,"gray"
"P10","co","2",18,"f","e",831.1887,637959034721740601,637959034730052488,"gray"
"P10","co","2",18,"f","e",635.1445,637959034787295427,637959034793646872,"gray"
"P10","co","2",18,"f","e",704.1599,637959034816051933,637959034823093532,"gold"
"P10","co","2",18,"f","e",742.1702,637959034848599301,637959034856021003,"gray"
"P10","co","2",18,"f","e",758.1724,637959034880126432,637959034887708156,"gray"
"P10","co","2",18,"f","e",306.0726,637959034942650577,637959034945711303,"gray"
"P10","co","2",18,"f","e",350.096,637959035054939349,637959035058440309,"blue"
"P10","co","2",18,"f","e",666.1511,637959035082370529,637959035089032040,"red"
"P10","co","2",18,"f","e",489.1905,637959035142730028,637959035147621933,"red"
"P10","co","2",18,"f","e",526.1204,637959035232573021,637959035237834225,"gray"
"P10","co","2",18,"f","e",830.1884,637959035338977099,637959035347278983,"gold"
"P10","co","2",18,"f","e",760.1737,637959035381626741,637959035389228478,"gray"
"P10","co","2",18,"f","e",901.2044,637959035422596010,637959035431608054,"gray"
"P10","co","2",18,"f","e",771.1746,637959035464985598,637959035472697344,"gray"
"P10","co","2",18,"f","e",627.1441,637959035498023078,637959035504294519,"gray"
"P10","co","2",18,"f","e",652.1447,637959035588719397,637959035595240844,"blue"
"P10","co","2",18,"f","e",1104.25,637959035633587368,637959035644629868,"blue"
"P10","co","2",18,"f","e",797.1821,637959035670685761,637959035678657582,"red"
"P10","co","2",18,"f","e",817.1858,637959035702052855,637959035710224713,"blue"
