Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638246846502886424,"P3","solo",1,350.5332,101.6731,29.54922,5.95892,255.5835,3.75081
638246846503306427,"P3","solo",1,350.5065,101.7317,29.60541,352.738,94.86736,28.50365
638246846503426424,"P3","solo",1,350.3592,102.0787,29.36678,352.6956,94.98983,28.57075
638246846503536419,"P3","solo",1,350.3991,102.0088,29.42138,352.605,95.12547,28.32731
638246846503676420,"P3","solo",1,350.3868,102.176,29.25145,352.6295,95.11097,28.38398
638246846503796433,"P3","solo",1,350.4012,102.1752,29.23149,352.6354,95.18374,28.21315
638246846503896424,"P3","solo",1,350.415,102.2226,29.16293,352.6462,95.18808,28.19437
638246846504006423,"P3","solo",1,350.4172,102.2737,29.07046,352.6587,95.22253,28.1281
638246846504146437,"P3","solo",1,350.4187,102.2988,28.97912,352.6481,95.29433,28.04566
638246846504246427,"P3","solo",1,350.4166,102.3241,28.91034,352.631,95.36018,27.96687
638246846504356415,"P3","solo",1,350.4047,102.3195,28.85539,352.6058,95.44592,27.91272
638246846504456420,"P3","solo",1,350.3687,102.3165,28.81474,352.5688,95.51332,27.87315
638246846504556418,"P3","solo",1,350.3357,102.2968,28.75678,352.5037,95.60272,27.85167
638246846504656421,"P3","solo",1,350.2777,102.2743,28.69822,352.4367,95.68712,27.81494
638246846504766415,"P3","solo",1,350.256,102.2361,28.63968,352.3488,95.75977,27.77729
638246846504866416,"P3","solo",1,350.2271,102.2051,28.58156,352.2893,95.83704,27.74035
638246846504966430,"P3","solo",1,350.2234,102.1441,28.52927,352.2277,95.90568,27.70169
638246846505066406,"P3","solo",1,350.2396,102.0955,28.48816,352.1875,95.95482,27.66803
638246846505186428,"P3","solo",1,350.2546,102.0653,28.46853,352.1725,95.99825,27.64137
638246846505286410,"P3","solo",1,350.2624,102.0559,28.45478,352.1699,96.02011,27.62934
638246846505396414,"P3","solo",1,350.2622,102.0387,28.4674,352.165,96.0484,27.62151
638246846505506418,"P3","solo",1,350.2465,101.9985,28.47241,352.1509,96.07879,27.6405
638246846505616430,"P3","solo",1,350.2469,101.941,28.46714,352.1186,96.09617,27.65405
638246846505746412,"P3","solo",1,350.2456,101.8514,28.44802,352.099,96.10349,27.65774
638246846505846414,"P3","solo",1,350.2737,101.7814,28.4234,352.0653,96.11718,27.65355
638246846505956426,"P3","solo",1,350.3126,101.7117,28.39328,352.0585,96.15336,27.64359
638246846506066410,"P3","solo",1,350.3635,101.6798,28.34996,352.0614,96.19105,27.62808
638246846506176412,"P3","solo",1,350.4052,101.6542,28.29447,352.0831,96.24024,27.59617
638246846506276434,"P3","solo",1,350.4446,101.6354,28.24514,352.0966,96.29212,27.55258
638246846506406413,"P3","solo",1,350.4586,101.6187,28.18124,352.1122,96.33838,27.51321
638246846506516409,"P3","solo",1,350.4618,101.603,28.10379,352.1086,96.36732,27.45806
638246846506616412,"P3","solo",1,350.4554,101.6141,28.03729,352.0947,96.39497,27.39004
638246846506736411,"P3","solo",1,350.4675,101.6099,27.98549,352.0775,96.43157,27.33069
638246846506826411,"P3","solo",1,350.4762,101.6059,27.9572,352.0729,96.4723,27.28721
638246846506946408,"P3","solo",1,350.4675,101.5753,27.9882,352.0632,96.52332,27.26787
638246846507056411,"P3","solo",1,350.4676,101.5378,28.02233,352.0386,96.5507,27.30604
638246846507166432,"P3","solo",1,350.4567,101.4835,28.04398,352.0221,96.57339,27.34705
638246846507276413,"P3","solo",1,350.4434,101.3854,28.03685,351.9935,96.58206,27.37668
638246846507386417,"P3","solo",1,350.4436,101.2897,28.0243,351.9533,96.57366,27.38196
638246846507496415,"P3","solo",1,350.4759,101.2072,27.98991,351.9287,96.55847,27.38015
638246846507626410,"P3","solo",1,350.5161,101.1636,27.95988,351.9325,96.56126,27.35706
638246846507726402,"P3","solo",1,350.5641,101.146,27.92279,351.9545,96.56917,27.33351
638246846507836417,"P3","solo",1,350.6149,101.1597,27.89567,351.9865,96.59344,27.3019
