Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638249420695536912,"P9","comp",2,345.6926,88.81952,23.0553,0,0,0
638249420696037274,"P9","comp",2,345.9084,88.81871,23.09715,324.3336,174.9184,10.08901
638249420696166931,"P9","comp",2,346.1312,88.2886,23.78884,324.3459,176.6386,9.796338
638249420696327482,"P9","comp",2,346.4621,88.12959,24.07014,323.7838,176.0269,10.80345
638249420696486922,"P9","comp",2,346.439,88.26949,23.88271,NaN,NaN,0
638249420696586915,"P9","comp",2,346.5747,88.26475,23.90065,323.9381,176.2558,11.12901
638249420696676924,"P9","comp",2,346.7138,88.27563,23.88571,324.0583,176.0158,11.35917
638249420696776939,"P9","comp",2,346.8628,88.31039,23.83041,324.2145,175.8079,11.55128
638249420696886930,"P9","comp",2,347.0141,88.35587,23.74183,324.4201,175.6501,11.69995
638249420697006913,"P9","comp",2,347.174,88.41734,23.59386,324.6573,175.5405,11.80259
638249420697106933,"P9","comp",2,347.3271,88.47574,23.42664,324.9564,175.4819,11.83888
638249420697206917,"P9","comp",2,347.4708,88.53632,23.23895,325.2474,175.6176,11.7869
638249420697296918,"P9","comp",2,347.6171,88.5965,23.02261,325.545,175.804,11.68976
638249420697406930,"P9","comp",2,347.7684,88.64885,22.78223,325.8371,176.3595,11.45412
638249420697496916,"P9","comp",2,347.9224,88.70189,22.50253,326.2179,176.2082,11.41282
638249420697586928,"P9","comp",2,348.0736,88.75205,22.22095,326.7017,175.3652,11.53701
638249420697706935,"P9","comp",2,348.2479,88.80975,21.88883,327.1786,174.602,11.62476
638249420697816917,"P9","comp",2,348.4586,88.8661,21.51927,327.7696,173.4063,11.79884
638249420697926913,"P9","comp",2,348.6875,88.93208,21.1151,328.4313,172.2089,11.95422
638249420698036911,"P9","comp",2,348.9262,88.99714,20.71749,329.153,170.9703,12.08716
638249420698147212,"P9","comp",2,349.2278,89.0755,20.30379,329.8606,169.9262,12.16831
638249420698256923,"P9","comp",2,349.5418,89.13916,19.91825,330.6705,168.7108,12.32063
638249420698366921,"P9","comp",2,349.9019,89.21413,19.5635,331.4766,167.4336,12.5089
638249420698476927,"P9","comp",2,350.2556,89.28823,19.26298,332.3014,166.2461,12.73284
638249420698606922,"P9","comp",2,350.6499,89.36366,19.02775,333.0919,164.978,13.01069
638249420698706930,"P9","comp",2,351.0439,89.45404,18.86042,333.8713,163.7619,13.36584
638249420698826912,"P9","comp",2,351.4184,89.54831,18.72804,334.6156,162.5013,13.78922
638249420698936925,"P9","comp",2,351.7905,89.65958,18.6678,335.3089,161.3366,14.19835
638249420699036924,"P9","comp",2,352.1309,89.76471,18.65347,336.0063,159.8501,14.73403
638249420699146916,"P9","comp",2,352.4558,89.87049,18.67988,336.6711,158.2091,15.3033
638249420699256933,"P9","comp",2,352.7298,89.98522,18.78098,337.403,155.9851,15.98519
638249420699377185,"P9","comp",2,352.9787,90.0935,18.9409,338.179,153.0644,16.79508
638249420699476917,"P9","comp",2,353.2235,90.1839,19.14003,339.0681,149.3999,17.71699
638249420699596928,"P9","comp",2,353.4323,90.28523,19.43503,340.1566,144.8831,18.72114
638249420699697189,"P9","comp",2,353.6475,90.38509,19.76665,341.1525,140.7136,19.68062
638249420699816930,"P9","comp",2,353.8075,90.47228,20.18336,342.493,135.3307,20.69597
638249420699926921,"P9","comp",2,353.959,90.5549,20.66462,343.7526,130.2264,21.61865
638249420700036916,"P9","comp",2,354.0862,90.61395,21.13606,344.9664,125.4859,22.4597
638249420700146918,"P9","comp",2,354.179,90.64547,21.6473,345.9762,121.654,23.1411
638249420700256911,"P9","comp",2,354.2404,90.667,22.14487,346.8215,118.3766,23.77339
638249420700376933,"P9","comp",2,354.2757,90.64542,22.67988,347.4274,115.9651,24.33266
638249420700486927,"P9","comp",2,354.3083,90.62439,23.21456,347.8802,113.9947,24.90812
638249420700586909,"P9","comp",2,354.3668,90.60165,23.73961,348.2696,112.3094,25.4659
638249420700706912,"P9","comp",2,354.4267,90.57285,24.26322,348.7202,110.5856,25.99088
638249420700826931,"P9","comp",2,354.5153,90.54455,24.76647,349.2486,108.6632,26.47291
638249420700946934,"P9","comp",2,354.6368,90.50382,25.2254,349.8835,106.5685,26.8872
638249420701056930,"P9","comp",2,354.8096,90.46464,25.60976,350.6803,104.1244,27.18045
638249420701156912,"P9","comp",2,354.9716,90.43561,25.99867,351.4915,101.884,27.36988
638249420701286913,"P9","comp",2,355.1567,90.39161,26.2929,352.3256,99.55209,27.502
638249420701396923,"P9","comp",2,355.3408,90.3316,26.55469,353.1576,97.31892,27.50391
638249420701506918,"P9","comp",2,355.4903,90.26366,26.76525,353.8873,95.4001,27.48542
638249420701606932,"P9","comp",2,355.6193,90.18956,26.95407,354.5335,93.62315,27.4079
638249420701726914,"P9","comp",2,355.7231,90.08999,27.13681,355.0833,92.08372,27.32907
638249420701836919,"P9","comp",2,355.8086,89.97698,27.27128,355.5343,90.76032,27.27348
638249420701936922,"P9","comp",2,355.8883,89.86796,27.37646,355.8265,89.91342,27.25805
638249420702056937,"P9","comp",2,355.9431,89.75303,27.47765,356.0947,89.13048,27.22027
638249420702186913,"P9","comp",2,355.9822,89.64729,27.53355,356.2164,88.77686,27.26849
638249420702296937,"P9","comp",2,356.0234,89.54476,27.57511,356.2819,88.5767,27.30252
638249420702396917,"P9","comp",2,356.0523,89.4396,27.61815,356.3005,88.55575,27.3607
638249420702506912,"P9","comp",2,356.0813,89.34808,27.6563,356.2952,88.57396,27.42978
638249420702626918,"P9","comp",2,356.0864,89.25571,27.70379,356.2652,88.69415,27.51366
638249420702726917,"P9","comp",2,356.1025,89.15651,27.76473,356.2439,88.6968,27.58149
