Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638332424522832169,"p012","comp",1,3.177054,145.8726,354.8503,1.090821,245.7786,0.237558
638332424522902177,"p012","comp",1,3.177054,145.8726,354.8503,2.075424,125.7613,354.7627
638332424523342186,"p012","comp",1,3.094305,146.115,354.8381,2.07157,125.6912,354.7631
638332424523492172,"p012","comp",1,2.620456,147.7404,354.5502,1.979417,125.656,354.7648
638332424523622164,"p012","comp",1,2.720237,147.309,354.5885,1.427915,125.9007,354.579
638332424523812168,"p012","comp",1,2.392171,148.13,354.3178,1.54332,125.8218,354.597
638332424523922172,"p012","comp",1,2.393542,148.1606,354.3114,1.160346,125.9269,354.4087
638332424524092164,"p012","comp",1,2.083293,149.0293,354.0258,1.156389,125.8809,354.4035
638332424524202165,"p012","comp",1,2.104025,149.037,354.0255,0.7829944,125.9831,354.2039
638332424524312163,"p012","comp",1,2.012821,149.3081,353.9323,0.8003618,125.9652,354.2003
638332424524422163,"p012","comp",1,1.923715,149.5692,353.8465,0.6870225,125.9823,354.1346
638332424524532170,"p012","comp",1,1.852194,149.8317,353.7637,0.5768541,125.9899,354.0758
638332424524652161,"p012","comp",1,1.783193,150.0854,353.6806,0.4838513,126.0146,354.0165
638332424524772158,"p012","comp",1,1.730842,150.3533,353.6044,0.3924738,126.0228,353.9572
638332424524882155,"p012","comp",1,1.656673,150.6378,353.5425,0.3156362,126.0148,353.9017
638332424525002171,"p012","comp",1,1.576679,150.9598,353.4944,0.2191098,125.9739,353.8649
638332424525112168,"p012","comp",1,1.513461,151.3018,353.4507,0.1204541,125.9785,353.8414
638332424525222171,"p012","comp",1,1.457174,151.6713,353.4105,0.03529138,125.9576,353.8199
638332424525332168,"p012","comp",1,1.410436,152.0421,353.3766,359.9556,125.9385,353.8009
638332424525442160,"p012","comp",1,1.381058,152.4079,353.3327,359.8898,125.9943,353.7839
638332424525552159,"p012","comp",1,1.364923,152.7486,353.2737,359.8341,125.9853,353.7564
638332424525662161,"p012","comp",1,1.358617,153.0727,353.2048,359.7894,125.9986,353.7119
638332424525772156,"p012","comp",1,1.359269,153.3756,353.1246,359.7526,126.022,353.6561
