Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638247734234697490,"P4","comp",2,359.3215,85.41346,331.3139,0,0,0
638247734235147509,"P4","comp",2,359.352,85.32986,331.3123,3.983437,101.5999,327.3295
638247734235267495,"P4","comp",2,359.1935,84.6151,331.531,4.139377,101.8863,327.2499
638247734235367487,"P4","comp",2,359.18,84.5507,331.5735,4.072919,101.6261,327.3242
638247734235467504,"P4","comp",2,359.1902,84.61427,331.6032,4.049695,101.5601,327.3658
638247734235567496,"P4","comp",2,359.1606,84.55193,331.7041,4.019848,101.514,327.4295
638247734235657493,"P4","comp",2,359.1267,84.52542,331.8156,3.954506,101.41,327.5443
638247734235757510,"P4","comp",2,359.094,84.48852,331.9598,3.841588,101.215,327.6996
638247734235867505,"P4","comp",2,359.0329,84.47351,332.0956,3.738364,101.0521,327.883
638247734235987489,"P4","comp",2,358.9546,84.45928,332.2542,3.601482,100.9018,328.0561
638247734236097496,"P4","comp",2,358.8876,84.44183,332.3963,3.474202,100.857,328.231
638247734236207534,"P4","comp",2,358.8242,84.4364,332.5364,3.388783,100.8924,328.3713
638247734236307504,"P4","comp",2,358.7577,84.41826,332.6832,3.343098,101.0557,328.4871
638247734236427512,"P4","comp",2,358.6961,84.39219,332.8572,3.30773,101.2569,328.5991
638247734236547511,"P4","comp",2,358.6346,84.36399,333.0682,3.254827,101.3928,328.7544
638247734236647490,"P4","comp",2,358.5904,84.34655,333.354,3.194937,101.5282,328.9522
638247734236757492,"P4","comp",2,358.5638,84.34185,333.6758,3.111945,101.5807,329.2588
638247734236867514,"P4","comp",2,358.51,84.32521,334.0401,3.028931,101.6015,329.6198
638247734236977514,"P4","comp",2,358.4271,84.32294,334.4497,2.895345,101.5708,330.032
638247734237087496,"P4","comp",2,358.3492,84.32906,334.9185,2.724417,101.5702,330.4894
638247734237197492,"P4","comp",2,358.2895,84.33775,335.5538,2.54033,101.5488,331.0218
638247734237307517,"P4","comp",2,358.2649,84.35589,336.3336,2.388904,101.6841,331.7198
