Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638258050840913263,"sdP2","comp",2,352.618,245.1991,357.4255,0,0,0
638258050840982513,"sdP2","comp",2,352.618,245.1991,357.4255,351.7964,230.5753,358.2695
638258050841627949,"sdP2","comp",2,352.5243,244.6774,357.4578,351.7918,230.4789,358.2757
638258050841798982,"sdP2","comp",2,351.871,241.7475,357.4863,351.6861,229.6042,358.3476
638258050841941550,"sdP2","comp",2,351.5652,240.5318,357.5189,351.1263,228.5992,358.3387
638258050842101036,"sdP2","comp",2,351.394,239.8939,357.5787,350.8595,228.1429,358.3568
638258050842253037,"sdP2","comp",2,351.3879,240.0623,357.5844,350.7202,228.0423,358.4
638258050842423228,"sdP2","comp",2,351.2422,239.8808,357.5936,350.7015,227.9858,358.4232
638258050842579399,"sdP2","comp",2,350.8157,239.264,357.5969,350.545,227.6634,358.4602
638258050842712496,"sdP2","comp",2,350.7915,239.4028,357.5581,350.1312,227.553,358.4721
638258050842835047,"sdP2","comp",2,350.3482,239.04,357.4724,350.08,227.2939,358.4661
638258050842962416,"sdP2","comp",2,350.3008,239.1916,357.4272,349.6297,227.2832,358.3966
638258050843088562,"sdP2","comp",2,350.069,239.2278,357.3694,349.5653,227.2785,358.3676
638258050843218670,"sdP2","comp",2,349.7566,239.2618,357.3217,349.3132,227.2577,358.3374
638258050843346215,"sdP2","comp",2,349.437,239.2868,357.2702,348.9786,227.2464,358.3261
638258050843480305,"sdP2","comp",2,349.1506,239.3316,357.2002,348.6394,227.2846,358.3064
638258050843614637,"sdP2","comp",2,348.9054,239.3984,357.1483,348.3315,227.322,358.2655
638258050843759460,"sdP2","comp",2,348.2528,239.5784,357.0075,348.0676,227.3692,358.2403
638258050843894354,"sdP2","comp",2,348.3351,239.6432,357.0297,347.3657,227.5127,358.169
638258050844033577,"sdP2","comp",2,348.2147,239.7734,357.0093,347.4543,227.5949,358.1811
638258050844164064,"sdP2","comp",2,348.1216,239.9144,357.0031,347.3229,227.7024,358.1753
638258050844299031,"sdP2","comp",2,347.7437,240.263,356.9223,347.2288,227.9355,358.1693
638258050844440893,"sdP2","comp",2,347.793,240.2974,356.9185,346.8067,228.0822,358.1478
638258050844578095,"sdP2","comp",2,347.6911,240.4484,356.8886,346.8629,228.2016,358.129
638258050844706347,"sdP2","comp",2,347.6067,240.5993,356.8542,346.7472,228.2973,358.1147
638258050844827685,"sdP2","comp",2,347.3197,241.0325,356.7658,346.656,228.4948,358.0828
638258050844952324,"sdP2","comp",2,347.3532,241.026,356.805,346.3105,228.5096,358.0684
638258050845073195,"sdP2","comp",2,347.2893,241.1469,356.7988,346.3469,228.4564,358.1109
638258050845195107,"sdP2","comp",2,347.2275,241.2456,356.7812,346.2711,228.4881,358.1216
638258050845327967,"sdP2","comp",2,347.1735,241.3462,356.7648,346.2013,228.565,358.1128
638258050845464051,"sdP2","comp",2,347.1322,241.432,356.7352,346.1438,228.7044,358.0972
638258050845615298,"sdP2","comp",2,347.106,241.5042,356.7041,346.1037,228.9039,358.0578
638258050845740199,"sdP2","comp",2,346.9084,241.7266,356.6865,346.096,229.3201,357.9887
638258050845873092,"sdP2","comp",2,346.8383,241.6391,356.7598,345.8733,229.3987,358.0088
638258050845993546,"sdP2","comp",2,346.6947,241.6011,356.8462,345.8214,229.477,358.0748
638258050846108960,"sdP2","comp",2,346.5679,241.5384,356.9224,345.6873,229.5243,358.1719
638258050846241520,"sdP2","comp",2,346.4547,241.4736,356.9795,345.5719,229.5731,358.253
638258050846384270,"sdP2","comp",2,346.369,241.4135,357.0034,345.4638,229.5517,358.3206
638258050846525486,"sdP2","comp",2,346.1374,241.3282,357.081,345.3935,229.7111,358.3286
638258050846670792,"sdP2","comp",2,346.1755,241.3565,357.071,345.1648,229.6776,358.429
638258050846795644,"sdP2","comp",2,346.1126,241.3413,357.1024,345.2072,229.7638,358.4072
638258050846932601,"sdP2","comp",2,346.0485,241.3275,357.1383,345.1526,229.8555,358.4337
638258050847064163,"sdP2","comp",2,345.8634,241.2882,357.2078,345.1104,230.1301,358.4423
638258050847205549,"sdP2","comp",2,345.9278,241.3069,357.1892,344.9289,230.1447,358.5276
638258050847325189,"sdP2","comp",2,346.0638,241.2939,357.1749,345.0006,230.2565,358.4898
638258050847449802,"sdP2","comp",2,346.323,241.2952,357.1535,345.1491,230.3537,358.4471
638258050847594540,"sdP2","comp",2,346.6494,241.3446,357.1381,345.4189,230.3781,358.3955
638258050847721494,"sdP2","comp",2,346.9953,241.4581,357.1518,345.7532,230.3766,358.3522
638258050847870648,"sdP2","comp",2,347.7216,241.7409,357.2234,346.101,230.3092,358.3519
638258050848338843,"sdP2","comp",2,347.7108,241.776,357.2977,346.8272,230.0651,358.4084
638258050848491365,"sdP2","comp",2,349.5948,242.1809,357.9988,346.8062,229.8398,358.5161
638258050848645382,"sdP2","comp",2,349.7142,241.9269,358.1602,348.839,230.0373,359.0625
638258050848785511,"sdP2","comp",2,349.7542,241.7162,358.2324,348.9991,230.0534,359.1938
638258050848919349,"sdP2","comp",2,350.0766,241.4437,358.4561,349.0578,229.9678,359.2538
638258050849049400,"sdP2","comp",2,350.9624,240.6341,359.0126,349.4189,229.616,359.461
638258050849186079,"sdP2","comp",2,350.8965,240.2216,358.9976,350.4324,229.239,359.9122
638258050849301164,"sdP2","comp",2,351.1272,239.4927,359.164,350.3646,228.7861,359.9068
638258050849430608,"sdP2","comp",2,351.3572,238.6736,359.344,350.6392,228.2985,0.0368348
638258050849561222,"sdP2","comp",2,351.5985,237.7249,359.5498,350.9167,227.8191,0.1739292
638258050849693042,"sdP2","comp",2,351.8191,236.6107,359.8063,351.2129,227.397,0.3231501
638258050849829490,"sdP2","comp",2,355.5651,124.2591,6.606638,351.493,226.9348,0.5188648
638258050849979846,"sdP2","comp",2,356.2321,127.5943,6.260753,354.8487,133.5627,6.47161
