Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638258779324510551,"sdP3","solo",2,8.001188,140.5195,353.292,5.281027,33.22651,344.9689
638258779325495919,"sdP3","solo",2,7.949757,141.6671,353.7834,8.359007,144.9364,353.5223
638258779325730676,"sdP3","solo",2,7.642962,143.8221,354.7645,8.239543,145.4781,353.9863
638258779325907320,"sdP3","solo",2,6.776525,148.1422,356.4162,7.741061,145.3012,354.8426
638258779326060753,"sdP3","solo",2,6.813212,147.6644,356.1815,6.662556,145.8107,356.3012
638258779326208804,"sdP3","solo",2,6.766118,147.6958,356.132,6.716471,145.7705,356.0886
638258779326349082,"sdP3","solo",2,6.613637,148.222,356.2437,6.665728,145.7426,356.0373
638258779326515365,"sdP3","solo",2,6.18602,149.7657,356.567,6.490309,145.7538,356.1267
638258779326650266,"sdP3","solo",2,6.200655,149.7728,356.5504,6.010506,145.9359,356.3969
638258779326787631,"sdP3","solo",2,6.058618,150.2539,356.647,6.024174,145.9369,356.3796
638258779326937170,"sdP3","solo",2,5.630012,151.6922,356.9813,5.86749,145.9823,356.4612
638258779327087895,"sdP3","solo",2,5.639725,151.6181,356.9906,5.405396,146.1556,356.7565
638258779327217794,"sdP3","solo",2,5.519522,152.0517,357.112,5.419615,146.1848,356.7693
638258779327360907,"sdP3","solo",2,5.197228,153.3545,357.4631,5.293171,146.2622,356.8804
638258779327503066,"sdP3","solo",2,5.260664,153.3167,357.4623,4.952077,146.3749,357.1975
638258779327642697,"sdP3","solo",2,5.235191,153.6985,357.5794,5.012559,146.2925,357.1914
638258779327774851,"sdP3","solo",2,5.191351,154.0564,357.6718,4.979238,146.2251,357.2909
638258779327903966,"sdP3","solo",2,5.013123,155.1611,357.9583,4.921635,145.9813,357.362
638258779328025673,"sdP3","solo",2,4.999379,155.1166,357.9185,4.735403,146.0288,357.6157
638258779328159796,"sdP3","solo",2,4.942562,155.4671,357.9877,4.713849,145.8392,357.573
638258779328299909,"sdP3","solo",2,4.895881,155.8322,358.0394,4.64701,145.642,357.6256
638258779328430576,"sdP3","solo",2,4.868391,156.2059,358.0814,4.585387,145.3397,357.6566
638258779328569340,"sdP3","solo",2,4.758744,157.2918,358.2503,4.53725,144.8957,357.6718
638258779328697782,"sdP3","solo",2,4.763758,157.243,358.2283,4.41353,144.7556,357.8039
638258779328829814,"sdP3","solo",2,4.710596,157.5623,358.3088,4.404846,144.3598,357.7709
638258779328960350,"sdP3","solo",2,4.650084,157.8687,358.4063,4.354241,144.3715,357.8439
638258779329086689,"sdP3","solo",2,4.595454,158.184,358.5143,4.290987,144.1065,357.9258
638258779329205945,"sdP3","solo",2,4.557141,158.4893,358.6194,4.23966,143.9844,358.0216
638258779329331660,"sdP3","solo",2,4.45049,159.394,358.8962,4.186611,143.2256,358.0933
638258779329454806,"sdP3","solo",2,4.467476,159.3254,358.8757,4.103621,143.328,358.3452
638258779329579691,"sdP3","solo",2,4.432651,159.5542,358.921,4.113823,143.15,358.3199
638258779329705459,"sdP3","solo",2,4.394945,159.7858,358.9695,4.071484,142.7509,358.3481
638258779329839165,"sdP3","solo",2,4.341386,160.0211,359.0199,4.028145,142.3839,358.3809
638258779329960623,"sdP3","solo",2,4.30722,160.2563,359.0618,3.969413,141.9752,358.4167
638258779330082936,"sdP3","solo",2,4.258749,160.4816,359.0881,3.921166,141.2854,358.4337
638258779330203188,"sdP3","solo",2,4.215698,160.7082,359.0906,3.864019,140.8467,358.4463
638258779330322765,"sdP3","solo",2,4.097739,161.3862,359.1215,3.775929,139.1548,358.4011
638258779330465301,"sdP3","solo",2,4.1003,161.3807,359.0626,3.667941,139.531,358.4409
638258779330606123,"sdP3","solo",2,4.080506,161.5845,359.0311,3.644594,138.9435,358.3699
638258779330742472,"sdP3","solo",2,4.064212,161.7704,359.0055,3.609476,138.6822,358.3315
638258779330874995,"sdP3","solo",2,4.037195,161.9386,358.9924,3.569422,138.0669,358.2896
638258779331004950,"sdP3","solo",2,3.938919,162.446,358.9738,3.506258,136.8754,358.2484
638258779331145894,"sdP3","solo",2,3.942837,162.3937,358.9833,3.403498,136.9332,358.2389
638258779331278648,"sdP3","solo",2,3.931992,162.5129,358.9779,3.395355,136.389,358.2354
638258779331413086,"sdP3","solo",2,3.909199,162.6185,358.9626,3.374413,136.1145,358.2231
638258779331549849,"sdP3","solo",2,3.890767,162.7088,358.9515,3.339616,135.8021,358.204
638258779331682551,"sdP3","solo",2,3.834666,162.9553,358.9279,3.289716,134.7592,358.1722
638258779331817034,"sdP3","solo",2,3.822327,162.8794,358.935,3.226534,134.6867,358.1557
638258779331952817,"sdP3","solo",2,3.779372,162.8884,358.9458,3.217426,134.6478,358.166
638258779332087534,"sdP3","solo",2,3.7412,162.9101,358.9668,3.179309,134.5931,358.1842
638258779332217030,"sdP3","solo",2,3.692535,162.8996,358.9788,3.14453,134.4246,358.2078
638258779332350638,"sdP3","solo",2,3.560891,162.912,359.0084,3.094996,134.1089,358.2235
638258779332486033,"sdP3","solo",2,3.563651,162.87,358.9893,2.988818,134.3404,358.2851
638258779332636669,"sdP3","solo",2,3.54172,162.8349,358.9826,2.988879,134.3852,358.2691
638258779332766328,"sdP3","solo",2,3.52502,162.8102,358.975,2.970452,134.4722,358.2706
638258779332906997,"sdP3","solo",2,3.466553,162.7655,358.9666,2.952973,134.4296,358.2673
638258779333042509,"sdP3","solo",2,3.454322,162.7688,358.9783,2.897115,134.356,358.2727
638258779333199190,"sdP3","solo",2,3.418524,162.7598,358.983,2.889502,134.388,358.2867
638258779333350035,"sdP3","solo",2,3.377834,162.7646,358.9902,2.857619,134.3591,358.2987
638258779333493923,"sdP3","solo",2,3.276689,162.7902,359.0157,2.818971,134.2225,358.312
638258779333631448,"sdP3","solo",2,3.283498,162.8128,359.0189,2.732326,134.1964,358.3572
638258779333787597,"sdP3","solo",2,3.267546,162.8378,359.0182,2.738474,134.1826,358.3578
638258779333940308,"sdP3","solo",2,3.209003,162.8971,359.0388,2.721113,134.0866,358.3586
638258779334099752,"sdP3","solo",2,3.230101,162.9019,359.0385,2.66925,133.9711,358.3875
638258779334248352,"sdP3","solo",2,3.20961,162.9272,359.0704,2.682723,133.7476,358.3783
638258779334394410,"sdP3","solo",2,3.168607,163.0016,359.1446,2.669888,133.6887,358.4102
638258779334540954,"sdP3","solo",2,3.144711,162.9825,359.1592,2.648725,133.6702,358.4847
638258779334676097,"sdP3","solo",2,3.112165,162.9656,359.1825,2.626083,133.4565,358.5002
638258779334807706,"sdP3","solo",2,3.062769,162.9321,359.2215,2.595073,133.1233,358.5235
638258779334942421,"sdP3","solo",2,3.083677,162.8995,359.2004,2.559369,133.0671,358.57
638258779335088788,"sdP3","solo",2,3.071971,162.8736,359.1914,2.572076,132.9994,358.5456
638258779335223638,"sdP3","solo",2,3.056549,162.8381,359.2067,2.559368,132.9781,358.5405
638258779335354149,"sdP3","solo",2,2.989295,162.7614,359.2704,2.547233,132.8639,358.5567
638258779335486223,"sdP3","solo",2,2.975972,162.7513,359.291,2.503341,132.861,358.6313
638258779335621806,"sdP3","solo",2,2.952565,162.7242,359.3399,2.49583,132.8303,358.6527
