Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638338369569268004,"nuP15","comp",2,359.8659,181.5178,358.4599,0,0,0
638338369569338015,"nuP15","comp",2,359.8659,181.5178,358.4599,0.3792288,221.9245,358.607
638338369569814253,"nuP15","comp",2,359.8807,181.4082,358.4411,0.3661007,220.7279,358.5976
638338369569934262,"nuP15","comp",2,359.7334,180.57,358.2327,0.3125863,214.3102,358.5391
638338369570064366,"nuP15","comp",2,359.7235,180.6173,358.1846,0.2581538,215.1549,358.3158
638338369570194362,"nuP15","comp",2,359.7521,180.6156,358.1497,0.2702961,215.7252,358.2732
638338369570281850,"nuP15","comp",2,359.7708,180.5196,358.1006,0.3035212,215.5374,358.2483
638338369570371833,"nuP15","comp",2,359.8192,180.4383,358.0447,0.3340966,215.4024,358.2083
638338369570451827,"nuP15","comp",2,359.9041,180.3608,358.0281,0.3991164,215.6574,358.1737
638338369570541831,"nuP15","comp",2,359.9756,180.2981,358.0118,0.4834141,215.7427,358.1843
638338369570651829,"nuP15","comp",2,0.02286311,180.2579,358.0564,0.5580182,216.032,358.1933
638338369570761836,"nuP15","comp",2,0.03155368,180.2108,358.1001,0.5889988,216.0739,358.2481
638338369570871843,"nuP15","comp",2,359.9815,180.1799,358.1538,0.5849864,216.0889,358.2906
638338369571001837,"nuP15","comp",2,359.9196,180.1155,358.1957,0.5224944,215.9395,358.3233
638338369571101838,"nuP15","comp",2,359.8675,180.0482,358.1971,0.4526699,215.7574,358.3418
638338369571211847,"nuP15","comp",2,359.8599,180.0182,358.1854,0.4030067,215.5267,358.3262
638338369571313717,"nuP15","comp",2,359.8844,180.0601,358.1644,0.3882305,214.6716,358.3066
638338369571433724,"nuP15","comp",2,359.9224,180.0333,358.1742,0.4086134,214.1397,358.2899
638338369571543733,"nuP15","comp",2,0.01265414,180.025,358.2049,0.4461063,214.5172,358.3128
638338369571653718,"nuP15","comp",2,NaN,NaN,0,0.5233678,214.7934,358.3688
638338369571763725,"nuP15","comp",2,0.1143899,180.0258,358.3595,0.560585,214.6948,358.4452
638338369571873732,"nuP15","comp",2,0.1332137,180.0476,358.4243,0.5684023,214.4809,358.5359
638338369571993727,"nuP15","comp",2,0.1252655,180.0507,358.4814,0.5649509,214.2908,358.5985
638338369572093722,"nuP15","comp",2,NaN,NaN,0,0.5411165,214.2451,358.648
638338369572223738,"nuP15","comp",2,0.1173574,180.0163,358.5707,0.5124484,214.1521,358.6878
638338369572323736,"nuP15","comp",2,NaN,NaN,0,0.5069263,214.0147,358.7257
638338369572434499,"nuP15","comp",2,0.2248511,180.074,358.6653,0.5309055,213.89,358.7762
638338369572544146,"nuP15","comp",2,0.2960897,180.1941,358.7388,0.5761125,213.7729,358.8401
638338369572654121,"nuP15","comp",2,0.3269651,180.3197,358.8283,0.6187205,213.6274,358.9252
638338369572764121,"nuP15","comp",2,0.3219882,180.4789,358.9054,0.6196199,213.3854,359.0132
638338369572874122,"nuP15","comp",2,0.3166495,180.6208,358.9648,0.5903341,213.0112,359.0789
638338369572984128,"nuP15","comp",2,0.3113109,180.7858,359.0149,0.5660577,212.6329,359.1288
638338369573094140,"nuP15","comp",2,0.3404947,180.918,359.0617,0.544068,212.1805,359.1696
638338369573214135,"nuP15","comp",2,0.3794574,181.0633,359.1102,0.5561474,211.8421,359.2177
638338369573322462,"nuP15","comp",2,0.4400558,181.2257,359.1482,0.577276,211.5111,359.2696
638338369573432465,"nuP15","comp",2,0.4927466,181.432,359.1885,0.6226576,211.4345,359.3187
638338369573542467,"nuP15","comp",2,0.5294223,181.7077,359.2204,0.6603569,211.4258,359.3682
638338369573662474,"nuP15","comp",2,0.5600286,182.0145,359.2325,0.6849093,211.3645,359.4048
638338369573772463,"nuP15","comp",2,0.5632222,182.3663,359.2216,0.7086736,211.295,359.4211
638338369573882467,"nuP15","comp",2,0.5717195,182.7106,359.2164,0.7119815,211.1397,359.4084
638338369574002776,"nuP15","comp",2,0.5770414,183.0701,359.1832,0.718868,210.9813,359.4021
638338369574112462,"nuP15","comp",2,0.5969671,183.4227,359.1541,0.7291245,210.8133,359.3687
638338369574242796,"nuP15","comp",2,0.6070378,183.7978,359.1068,0.7521713,210.7181,359.3429
638338369574352462,"nuP15","comp",2,0.6190519,184.1876,359.0857,0.7702194,210.728,359.2983
638338369574442464,"nuP15","comp",2,0.6149431,184.5772,359.0781,0.7840329,210.7638,359.2787
638338369574562470,"nuP15","comp",2,0.5933312,184.9815,359.0723,0.7804616,210.9802,359.2698
638338369574682460,"nuP15","comp",2,0.571111,185.3932,359.084,0.7600397,211.2199,359.2589
638338369574792849,"nuP15","comp",2,0.5549728,185.7984,359.0824,0.7352142,211.4636,359.2643
638338369574902736,"nuP15","comp",2,0.5431793,186.2029,359.0725,0.7189561,211.6833,359.2583
638338369575022484,"nuP15","comp",2,0.5404039,186.6001,359.0584,0.7084028,211.8715,359.2453
638338369575132466,"nuP15","comp",2,0.5432854,187.0127,359.0497,0.7069899,212.0168,359.2301
638338369575252469,"nuP15","comp",2,0.5685377,187.4196,359.0511,0.7091684,212.0724,359.2203
638338369575352470,"nuP15","comp",2,0.6042042,187.8341,359.0546,0.7295265,211.9729,359.2233
638338369575462468,"nuP15","comp",2,0.5187001,171.7347,358.9925,0.7588152,211.7673,359.2291
638338369575582467,"nuP15","comp",2,0.580883,171.291,359.0284,0.2933172,148.3821,358.9469
638338369575692466,"nuP15","comp",2,0.6458253,170.8211,359.0555,0.3642485,148.4913,358.9698
638338369575812466,"nuP15","comp",2,0.7016578,170.3426,359.0747,0.4350974,148.4818,358.9846
638338369575912482,"nuP15","comp",2,0.7338856,169.8221,359.0607,0.4937454,148.2628,358.9936
638338369576032471,"nuP15","comp",2,0.7558669,169.2811,359.0192,0.5211539,147.7355,358.9753
638338369576152472,"nuP15","comp",2,0.7362993,168.6209,358.9174,0.5319834,147.026,358.9326
638338369576260979,"nuP15","comp",2,0.68924,167.8734,358.7564,0.4906918,146.0767,358.8411
638338369576600974,"nuP15","comp",2,0.5505669,166.6096,358.3969,0.4093946,144.8375,358.7
638338369576691249,"nuP15","comp",2,0.3004846,163.5688,357.7815,0.1955518,142.5975,358.3954
638338369576800977,"nuP15","comp",2,0.2353002,163.2169,357.7562,359.8923,142.3801,357.8616
638338369576900979,"nuP15","comp",2,359.8074,159.2391,357.1758,359.7848,139.7103,357.8698
638338369576950998,"nuP15","comp",2,359.9025,160.1833,357.4091,359.3724,140.2249,357.3675
638338369577037289,"nuP15","comp",2,359.7377,158.7493,357.2573,359.4614,139.281,357.5919
638338369577137295,"nuP15","comp",2,359.4737,156.6741,357.3026,359.2802,137.721,357.4864
638338369577238673,"nuP15","comp",2,359.2427,154.7989,357.3409,359.0582,136.3707,357.571
638338369577398404,"nuP15","comp",2,358.9738,152.6512,357.5489,358.8589,134.8692,357.6458
638338369577518410,"nuP15","comp",2,358.6992,150.2508,357.9171,358.6554,133.334,357.8792
