Time, Participant, Condition, Trial, xHeadRot,yHeadRot,zHeadRot, xHandRot, yHandRot, zHandRot
638338350128878120,"nuP15","co",1,359.5544,182.3086,1.275444,0,0,0
638338350128938121,"nuP15","co",1,359.5544,182.3086,1.275444,359.5575,182.0316,1.276576
638338350129510055,"nuP15","co",1,359.6792,182.4764,1.264336,359.5579,181.9908,1.276742
638338350129650072,"nuP15","co",1,359.7711,182.3326,1.364239,359.688,181.681,1.266691
638338350129760067,"nuP15","co",1,359.784,182.4096,1.34625,359.7793,181.6454,1.365729
638338350129860052,"nuP15","co",1,359.7818,182.4547,1.333178,359.7933,181.6155,1.347878
638338350129960053,"nuP15","co",1,359.795,182.5077,1.317918,359.7924,181.538,1.335067
638338350130060740,"nuP15","co",1,359.8068,182.5534,1.305717,359.8073,181.4335,1.319995
638338350130170743,"nuP15","co",1,359.8301,182.5844,1.280686,359.8206,181.3418,1.307922
638338350130270733,"nuP15","co",1,359.8394,182.5921,1.266459,359.8448,181.2754,1.282789
638338350130370753,"nuP15","co",1,359.8495,182.5837,1.25669,359.855,181.1822,1.268595
638338350130460736,"nuP15","co",1,359.8496,182.562,1.248739,359.8649,181.181,1.25869
638338350130560737,"nuP15","co",1,359.8563,182.5246,1.235664,359.8646,181.1806,1.250708
638338350130650748,"nuP15","co",1,359.8587,182.4757,1.225053,359.8703,181.219,1.237452
638338350130750754,"nuP15","co",1,359.8634,182.4121,1.206037,359.8716,181.2657,1.226689
638338350130860751,"nuP15","co",1,359.8872,182.3339,1.171068,359.8747,181.34,1.207447
638338350130980748,"nuP15","co",1,359.909,182.264,1.127367,359.897,181.3724,1.172132
638338350131090745,"nuP15","co",1,359.9406,182.1809,1.074644,359.9179,181.3573,1.128193
638338350131260732,"nuP15","co",1,359.97,182.1093,1.009816,359.9483,181.3565,1.075163
638338350131360740,"nuP15","co",1,359.9942,182.044,0.9624956,359.9769,181.3291,1.0101
638338350131450747,"nuP15","co",1,0.01891935,181.9793,0.9464824,0.000541676,181.2877,0.9626052
638338350131550744,"nuP15","co",1,0.04809079,181.9341,0.9173933,0.02485459,181.261,0.9464291
638338350131640743,"nuP15","co",1,0.07919233,181.887,0.925566,0.05336151,181.2762,0.9171761
638338350131755951,"nuP15","co",1,0.09323342,181.837,0.9209912,0.08375994,181.3221,0.9252281
638338350131875951,"nuP15","co",1,0.1025635,181.8013,0.9359581,0.09721836,181.3418,0.920635
638338350131975942,"nuP15","co",1,0.1010898,181.7585,0.923727,0.1061439,181.3636,0.9356088
638338350132081518,"nuP15","co",1,0.09866104,181.7314,0.9124275,0.1040401,181.393,0.9234404
638338350132201532,"nuP15","co",1,0.12689,181.6868,0.8966141,0.1011051,181.4248,0.912194
638338350132311533,"nuP15","co",1,0.1601277,181.679,0.8888407,0.1288803,181.4328,0.8963578
638338350132421516,"nuP15","co",1,0.1961002,181.6574,0.8883348,0.1620306,181.4342,0.8885225
638338350132531512,"nuP15","co",1,0.2636651,181.6502,0.8788587,0.1980743,181.4034,0.8879243
638338350132651522,"nuP15","co",1,0.3162158,181.6467,0.8901972,0.265681,181.3883,0.8782805
638338350132756699,"nuP15","co",1,0.3618451,181.6541,0.8994684,0.3180724,181.4088,0.8895633
638338350132866697,"nuP15","co",1,0.4046958,181.6636,0.8937682,0.3637736,181.4096,0.8987199
638338350132976689,"nuP15","co",1,0.4172804,181.6718,0.8992965,0.4067374,181.4033,0.8928738
638338350133096694,"nuP15","co",1,0.4269005,181.6907,0.9074088,0.4196659,181.3695,0.8982241
638338350133196689,"nuP15","co",1,0.4571698,181.7036,0.9096194,0.430013,181.2998,0.9059871
638338350133306688,"nuP15","co",1,0.4779911,181.7357,0.9229958,0.4612971,181.1864,0.9075982
638338350133416698,"nuP15","co",1,0.5143173,181.7594,0.9297348,0.4835078,181.0541,0.920203
638338350133536697,"nuP15","co",1,0.5413294,181.7826,0.9331699,0.5211816,180.9172,0.9260089
638338350133636693,"nuP15","co",1,0.5547154,181.8125,0.9240595,0.5493622,180.8002,0.9285846
638338350133746705,"nuP15","co",1,0.5594338,181.8298,0.9072216,0.5639659,180.6695,0.9185796
638338350133876696,"nuP15","co",1,0.5579478,181.859,0.8810923,0.5700737,180.4895,0.9007228
638338350133986703,"nuP15","co",1,0.5536793,181.8822,0.8482921,0.5697306,180.3295,0.8736778
638338350134083352,"nuP15","co",1,0.5448315,181.9009,0.8111585,0.5665852,180.1403,0.8398906
638338350134193367,"nuP15","co",1,0.5663995,181.9245,0.7838002,NaN,NaN,0
638338350134303348,"nuP15","co",1,0.5799849,181.9473,0.7736843,0.5787813,180.1157,0.7748713
638338350134423355,"nuP15","co",1,0.6021425,181.9722,0.7648925,0.5917301,180.2102,0.7649127
638338350134528505,"nuP15","co",1,0.6306294,182.0018,0.7874158,0.6131744,180.3232,0.7562576
638338350134638504,"nuP15","co",1,0.6726916,182.0323,0.7997371,0.6411812,180.4713,0.7790354
638338350134768525,"nuP15","co",1,0.7004735,182.0759,0.8327757,0.6824319,180.6433,0.7916365
638338350134868513,"nuP15","co",1,0.7028571,182.1264,0.8525895,0.7095796,180.8306,0.8252275
638338350134998509,"nuP15","co",1,0.7101647,182.1556,0.8486512,0.7110707,181.0306,0.8459411
638338350135108500,"nuP15","co",1,0.6986281,182.1958,0.8322484,0.7167927,181.2689,0.8432281
638338350135218513,"nuP15","co",1,0.695309,182.2304,0.8267139,0.7037046,181.5045,0.8280992
638338350135328514,"nuP15","co",1,0.7234599,182.2661,0.82262,0.6984462,181.8013,0.8241584
638338350135438514,"nuP15","co",1,0.7535536,182.2977,0.8183432,0.7239358,182.2009,0.8222174
638338350135548514,"nuP15","co",1,0.7831927,182.3449,0.8317363,0.7504587,182.7218,0.8210605
638338350135668508,"nuP15","co",1,0.7950459,182.3949,0.859501,0.7762536,183.2761,0.8379063
638338350135778508,"nuP15","co",1,0.8099953,182.4532,0.8905008,0.7842342,183.7941,0.8688581
