"Participant","Condition","Trial","Group","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"P3","comp",2,"e",1034.32363517241,887.421066666667,1057.49146078431,0,145,6,102,1,1499769271,53245264,1078641290,0
"P3","solo",1,"e",1070.2024300885,574.909127586207,1236.87251214953,NA,113,29,107,0,1209328746,166723647,1323453588,0
"P3","solo",2,"e",1063.27783916667,628.909881818182,1274.94595714286,NA,120,22,98,0,1275933407,138360174,1249447038,0
"P3","co",1,"e",2250.76896595745,826.0963625,2182.98210212766,0,47,8,47,1,1057861414,66087709,1026001588,0
"P3","co",2,"e",1379.81199052632,410.4881,1704.45251917808,133.323966666667,95,21,73,3,1310821391,86202501,1244250339,1.9761237509185e-317
"P3","comp",1,"e",1079.27232440945,517.00931,1089.78874433962,NA,127,10,106,0,1370675852,51700931,1155176069,0
"P9","comp",2,"e",1074.18498695652,247.408768965517,704.753531092437,0,161,29,119,2,1729437829,71748543,838656702,0
"P9","solo",1,"e",1181.72683783784,571.527960869565,843.641597241379,NA,111,23,145,0,1311716790,131451431,1223280316,0
"P9","solo",2,"e",1083.34930072993,886.710809677419,692.56706875,NA,137,31,128,0,1484188542,274880351,886485848,0
"P9","co",1,"e",1884.76302592593,418.098177272727,2376.8750525,68.20122,54,22,40,5,1017772034,91981599,950750021,1.68479399032305e-317
"P9","comp",1,"e",954.521979069768,275.204405405405,527.777446107784,NA,172,37,167,0,1641777804,101825630,881388335,0
"nuP10","comp",2,"c",761.933168208092,311.397840740741,922.820679411765,46.9997333333333,173,54,102,3,1318144381,168154834,941277093,6.96628608110991e-318
"nuP10","solo",1,"c",830.302499295775,471.98594,1178.84374615385,NA,142,45,104,0,1179029549,212393673,1225997496,0
"nuP10","solo",2,"c",859.656122560976,416.007936363636,945.787157798165,NA,164,44,109,0,1409836041,183043492,1030908002,0
"nuP10","co",1,"c",1039.55899930556,463.629553571429,1468.89659107143,116.28735,144,56,56,14,1496964959,259632550,822582091,8.04350185532839e-317
"nuP10","co",2,"c",842.33431863354,430.684873584906,1410.07765131579,148.7634,161,53,76,8,1356158253,228262983,1071659015,5.87991082388318e-317
"nuP10","comp",1,"c",713.087082352941,324.046406,888.104446956522,0,204,50,115,2,1454697648,162023203,1021320114,0
"nuP11","comp",2,"e",1298.5433030303,418.594472413793,1101.42300506329,0,132,29,79,1,1714077160,121392397,870124174,0
"nuP11","solo",1,"e",737.22097486631,453.395713207547,749.7087475,NA,187,53,120,0,1378603223,240299728,899650497,0
"nuP11","solo",2,"e",654.3965,497.683153488372,980.530030088496,NA,188,43,113,0,1230265420,214003756,1107998934,0
"nuP11","co",1,"e",1293.07949465649,726.152165,1065.48654050633,51.87558,131,20,79,5,1693934138,145230433,841734367,1.28149709680446e-317
"nuP11","co",2,"e",1235.77145578231,NA,850.443051546392,78.85025,147,0,97,4,1816584040,0,824929760,1.55828798763975e-317
"nuP11","comp",1,"e",697.700125490196,378.133044230769,936.495932380952,89.48265,204,52,105,2,1423308256,196629183,983320729,8.84206065276724e-318
"p012","comp",2,"e",1012.68341130952,375.04566,654.644971875,92.805225,168,5,96,4,1701308131,18752283,628459173,1.83407493708269e-317
"nuP12","solo",1,"e",959.338295333333,655.532268965517,952.249798113207,NA,150,29,106,0,1439007443,190104358,1009384786,0
"p012","solo",2,"e",784.796480676328,680.129305,763.006166666667,NA,207,20,114,0,1624528715,136025861,869827030,0
"p012","co",1,"e",959.779079746835,468.447108196721,1192.894878125,108.9602,158,61,64,10,1516450946,285752736,763452722,5.38334915839914e-317
"p012","co",2,"e",1129.82897880795,349.9316375,1014.45895733333,191.564311111111,151,32,75,9,1706041758,111978124,760844218,8.51808105803201e-317
"p012","comp",1,"e",1014.05046900585,388.3611,794.029900892857,NA,171,14,112,0,1734026302,54370554,889313489,0
"nuP13","comp",2,"e",768.959053672316,268.9959,707.647658558559,291.74935,177,105,111,4,1361057525,282445695,785488901,5.76573324126056e-317
"nuP13","solo",1,"e",836.471024161074,526.251783050847,1032.49155578947,NA,149,59,95,0,1246341826,310488552,980866978,0
"nuP13","solo",2,"e",765.485955029586,425.066568181818,1098.33517159091,NA,169,66,88,0,1293671264,280543935,966534951,0
