"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"P3","comp",2,"e","grab",228.7258,638246871676500287,638246871678787545,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",1947.2266,638246871805092074,638246871824564340,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",336.0165,638246872083027134,638246872086387299,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",442.0057,638246872370948138,638246872375368195,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",98.0245,638246872507048610,638246872508028855,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",74.9656,638246872528219577,638246872528969233,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",354.2577,638246872548500271,638246872552042848,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",244.1823,638246872941042692,638246872943484515,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",62.0011,638246873096904704,638246873097524715,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",233.0039,638246873244146602,638246873246476641,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",101.3654,638246873596845057,638246873597858711,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",384.0056,638246873814391530,638246873818231586,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",183.6426,638246873839583594,638246873841420020,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",549.8943,638246873858291640,638246873863790583,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",281.8378,638246874046929283,638246874049747661,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",659.4183,638246874075334030,638246874081928213,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",667.345,638246874191632346,638246874198305796,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",990.4822,638246874585014298,638246874594919120,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",432.5594,638246874614569009,638246874618894603,"Network Gold Cube WholeClone was picked up","Gold"
"P3","comp",2,"e","grab",230.2864,638246874649780743,638246874652083607,"Network Gold Cube WholeClone was picked up","Gold"
"P3","solo",1,"e","grab",268.6858,638246847716626715,638246847719313573,"Regular Gold CubeClone1 was picked up","Gold"
"P3","solo",1,"e","grab",264.9605,638246848118359573,638246848121009178,"Regular Gold CubeClone173 was picked up","Gold"
"P3","solo",1,"e","grab",732.3177,638246848668289697,638246848675612874,"Regular Gold CubeClone229 was picked up","Gold"
"P3","solo",1,"e","grab",1131.9997,638246849030056483,638246849041376480,"Regular Gold CubeClone307 was picked up","Gold"
"P3","solo",2,"e","grab",129.3188,638246850169301306,638246850170594494,"Regular Gold CubeClone1 was picked up","Gold"
"P3","solo",2,"e","grab",173.9999,638246850341532785,638246850343272784,"Regular Gold CubeClone9 was picked up","Gold"
"P3","solo",2,"e","grab",281.0202,638246850454759175,638246850457569377,"Regular Gold CubeClone33 was picked up","Gold"
"P3","solo",2,"e","grab",250.14,638246850547483109,638246850549984509,"Regular Gold CubeClone49 was picked up","Gold"
"P3","solo",2,"e","grab",496.5273,638246850697962189,638246850702927462,"Regular Gold CubeClone62 was picked up","Gold"
"P3","solo",2,"e","grab",629.3889,638246850793319446,638246850799613335,"Regular Gold CubeClone83 was picked up","Gold"
"P3","solo",2,"e","grab",225.6427,638246850858302596,638246850860559023,"Regular Gold CubeClone97 was picked up","Gold"
"P3","solo",2,"e","grab",429.9983,638246850934181968,638246850938481951,"Regular Gold CubeClone105 was picked up","Gold"
"P3","solo",2,"e","grab",173.5436,638246851075075329,638246851076810765,"Regular Gold CubeClone116 was picked up","Gold"
"P3","solo",2,"e","grab",211.0007,638246851217207185,638246851219317192,"Regular Gold CubeClone136 was picked up","Gold"
"P3","solo",2,"e","grab",107.9989,638246851240597142,638246851241677131,"Regular Gold CubeClone155 was picked up","Gold"
"P3","solo",2,"e","grab",230.0242,638246851266537427,638246851268837669,"Regular Gold CubeClone159 was picked up","Gold"
"P3","co",1,"e","grab",1872.2707,638246860346245005,638246860364967712,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",1619.8881,638246860581795306,638246860597994187,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",1350.9512,638246860636209467,638246860649718979,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",138.0009,638246861116054036,638246861117434045,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",144.0016,638246861116054036,638246861117494052,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",290.9738,638246861384502909,638246861387412647,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",1205.032,638246861448348222,638246861460398542,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",771.1501,638246861501286943,638246861508998444,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",1989.007,638246861877067730,638246861896957800,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",413.6338,638246861959291347,638246861963427685,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",1,"e","grab",650.029,638246862253161260,638246862259661550,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",334.0987,638246863627395371,638246863630736358,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",1825.5871,638246863662352165,638246863680608036,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",734.0247,638246864206980141,638246864214320388,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",119.004,638246864256417423,638246864257607463,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",435.4783,638246864292053911,638246864296408694,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",388.2887,638246864329690342,638246864333573229,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",1033.3643,638246864646912840,638246864657246483,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",153.8847,638246864692926639,638246864694465486,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",1628.3726,638246864824807395,638246864841091121,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",274.0076,638246865069011092,638246865071751168,"Player 1 hits Network Gold CubeClone","Gold"
"P3","co",2,"e","grab",328.2665,638246865124248903,638246865127531568,"Player 1 hits Network Gold CubeClone","Gold"
