"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"sdP11","comp",2,"e","grab",130.6517,638265734874687360,638265734875993877,"Network Red CubeClone3 was picked up"
"sdP11","comp",2,"e","grab",639.4381,638265734899405051,638265734905799432,"Network Red CubeClone5 was picked up"
"sdP11","comp",2,"e","grab",564.3517,638265734956088149,638265734961731666,"Network Red CubeClone15 was picked up"
"sdP11","comp",2,"e","grab",592.6023,638265734994812994,638265735000739017,"Network Red CubeClone20 was picked up"
"sdP11","comp",2,"e","grab",451.0635,638265735038441618,638265735042952253,"Network Red CubeClone24 was picked up"
"sdP11","comp",2,"e","grab",528.7429,638265735087501316,638265735092788745,"Network Blue CubeClone31 was picked up"
"sdP11","comp",2,"e","grab",485.2674,638265735119430742,638265735124283416,"Network Blue CubeClone37 was picked up"
"sdP11","comp",2,"e","grab",835.3249,638265735164055280,638265735172408529,"Network Gold Cube WholeClone23 was picked up"
"sdP11","comp",2,"e","grab",1987.5147,638265735175021064,638265735194896211,"Network Gold Cube WholeClone49 was picked up"
"sdP11","comp",2,"e","grab",520.747,638265735217639464,638265735222846934,"Network Blue CubeClone51 was picked up"
"sdP11","comp",2,"e","grab",245.338,638265735243765998,638265735246219378,"Network Red CubeClone53 was picked up"
"sdP11","comp",2,"e","grab",120.3042,638265735291690369,638265735292893411,"Network Gold Cube WholeClone58 was picked up"
"sdP11","comp",2,"e","grab",526.2591,638265735312937913,638265735318200504,"Network Blue CubeClone65 was picked up"
"sdP11","comp",2,"e","grab",250.5482,638265735394505424,638265735397010906,"Network Neutral CubeClone75 was picked up"
"sdP11","comp",2,"e","grab",384.1333,638265735418488466,638265735422329799,"Network Neutral CubeClone79 was picked up"
"sdP11","comp",2,"e","grab",173.536,638265735499646459,638265735501381819,"Network Red CubeClone85 was picked up"
"sdP11","comp",2,"e","grab",356.4017,638265735523485317,638265735527049334,"Network Blue CubeClone94 was picked up"
"sdP11","comp",2,"e","grab",394.0914,638265735577879868,638265735581820782,"Network Gold Cube WholeClone89 was picked up"
"sdP11","comp",2,"e","grab",439.2974,638265735608751594,638265735613144568,"Network Neutral CubeClone105 was picked up"
"sdP11","comp",2,"e","grab",344.7279,638265735644013894,638265735647461173,"Network Gold Cube WholeClone106 was picked up"
"sdP11","comp",2,"e","grab",169.7623,638265735674457335,638265735676154958,"Network Red CubeClone111 was picked up"
