xHandRot,yHandRot,zHandRot
1.963114,311.5993,358.0183
1.837025,310.7887,357.9768
1.474852,308.3039,357.8892
1.500297,308.3975,357.8859
1.361225,307.6884,357.8496
1.184612,307.0136,357.8045
1.018824,306.3709,357.7643
0.5746719,304.4412,357.6716
0.5832353,304.5133,357.6967
0.1311463,302.7445,357.6728
0.09790099,302.8229,357.6833
359.8849,302.3223,357.6722
359.7044,301.8311,357.6499
359.1635,300.327,357.5783
359.1347,300.3991,357.5644
358.8917,299.9417,357.5593
358.6112,299.4915,357.5408
357.8182,298.1166,357.4912
357.8012,298.1432,357.4769
357.5291,297.7074,357.4193
356.7294,296.4059,357.2741
356.743,296.4276,357.252
356.4749,295.9898,357.2017
356.2053,295.5262,357.17
355.3907,294.1251,357.0557
355.3872,294.0779,357.0657
355.1536,293.5717,357.0241
354.9483,293.0649,357.0013
354.7549,292.5915,356.9933
354.5787,292.1284,357.0157
353.9576,290.7075,357.0489
353.919,290.7023,357.0551
353.6904,290.2163,357.0652
353.4868,289.7197,357.0684
353.3066,289.2249,357.071
353.1428,288.7026,357.0852
352.6141,287.0912,357.1611
352.6167,287.0269,357.1756
352.3983,286.376,357.2231
352.1288,285.7232,357.2873
351.8243,285.0588,357.356
351.5481,284.4067,357.4229
351.2967,283.7383,357.4924
350.5904,281.739,357.6973
350.6244,281.6972,357.6986
350.4417,280.9707,357.7807
350.2563,280.2574,357.8701
350.0997,279.5336,357.9585
349.6508,277.3636,358.2424
349.7474,277.3095,358.2641
349.7125,276.5107,358.3958
349.7027,275.6393,358.5465
349.7091,274.724,358.7061
349.7609,273.7725,358.8737
349.8431,272.7643,359.0654
350.1084,269.7214,359.6313
350.2157,269.4953,359.6809
350.4238,268.1711,359.9244
350.9709,265.1468,0.454346
351.2916,263.4494,0.7381719
351.6202,261.7267,1.031186
352.5888,256.7437,1.80866
352.6555,256.5038,1.830201
354.6532,245.3643,2.53527
355.2721,241.8184,2.6012
355.8209,238.3355,2.61118
355.7324,238.436,2.604829
359.7434,129.4067,4.040212
359.3578,132.1729,3.690386
359.042,136.6196,3.359108
359.0465,136.6024,3.463209
358.7787,141.0134,3.223751
358.7663,140.8966,3.246178
358.6471,142.1652,3.149233
358.5344,143.3601,3.027326
358.4423,144.5055,2.88556
358.3768,145.5041,2.725698
358.156,148.6647,2.319183
358.1679,148.285,2.408542
358.1079,148.9241,2.424592
358.1076,149.4478,2.467929
358.1266,149.9955,2.486575
358.1776,151.6406,2.488488
358.2007,151.3738,2.489082
358.1896,151.6051,2.493096
358.208,151.8074,2.50166
