"sequenceType","sequenceNum","moveTime","startTime","endTime","Participant","Age","Sex","Condition","Trial","Group"
"Grab",546,0.4879995,0.4610006,0.9490001,"P9",21,"f","comp",2,"e"
"Grab",548,0.267,4.0490008,4.3160008,"P9",21,"f","comp",2,"e"
"Grab",549,0.1300019,6.202,6.3320019,"P9",21,"f","comp",2,"e"
"Grab",551,0.3540008,7.9140009,8.2680017,"P9",21,"f","comp",2,"e"
"Grab",553,0.195998600000001,10.2370027,10.4330013,"P9",21,"f","comp",2,"e"
"Grab",555,0.0859989999999993,13.8988279,13.9848269,"P9",21,"f","comp",2,"e"
"Grab",556,0.0590009000000009,20.9588263,21.0178272,"P9",21,"f","comp",2,"e"
"Grab",558,0.237002399999998,30.2316533,30.4686557,"P9",21,"f","comp",2,"e"
"Grab",560,0.118002400000002,33.3016529,33.4196553,"P9",21,"f","comp",2,"e"
"Grab",562,0.0060009999999977,39.6487672,39.6547682,"P9",21,"f","comp",2,"e"
"Grab",565,0.212998800000001,47.2318535,47.4448523,"P9",21,"f","comp",2,"e"
"Grab",567,0.175002400000004,49.9378514,50.1128538,"P9",21,"f","comp",2,"e"
"Grab",569,0.1280018,57.4202971,57.5482989,"P9",21,"f","comp",2,"e"
"Grab",571,0.408998799999999,62.2572988,62.6662976,"P9",21,"f","comp",2,"e"
"Grab",574,0.318001600000002,65.3572968,65.6752984,"P9",21,"f","comp",2,"e"
"Grab",577,0.238000099999994,69.632298,69.8702981,"P9",21,"f","comp",2,"e"
"Grab",579,0.234998900000008,71.7782989,72.0132978,"P9",21,"f","comp",2,"e"
"Grab",581,0.224594600000003,73.9384462,74.1630408,"P9",21,"f","comp",2,"e"
"Grab",583,0.29799899999999,77.1046249,77.4026239,"P9",21,"f","comp",2,"e"
"Grab",585,0.188998499999997,82.4043504,82.5933489,"P9",21,"f","comp",2,"e"
"Grab",587,0.1650013,85.9228942,86.0878955,"P9",21,"f","comp",2,"e"
"Grab",589,0.184000699999999,89.1258953,89.309896,"P9",21,"f","comp",2,"e"
"Grab",591,0.188000100000011,91.6748957,91.8628958,"P9",21,"f","comp",2,"e"
"Grab",595,0.0410009000000002,103.8860004,103.9270013,"P9",21,"f","comp",2,"e"
"Grab",599,0.195001500000004,114.014,114.2090015,"P9",21,"f","comp",2,"e"
"Grab",601,0.533000200000004,116.4320005,116.9650007,"P9",21,"f","comp",2,"e"
"Grab",603,0.281000800000001,120.5460002,120.827001,"P9",21,"f","comp",2,"e"
"Grab",604,0.4440022,121.0319996,121.4760018,"P9",21,"f","comp",2,"e"
"Grab",606,0.2835295,123.1530024,123.4365319,"P9",21,"f","comp",2,"e"
"Grab",608,0.252001000000007,125.5865331,125.8385341,"P9",21,"f","comp",2,"e"
"Grab",610,0.109035200000008,127.9295317,128.0385669,"P9",21,"f","comp",2,"e"
"Grab",612,0.261000999999993,134.7195318,134.9805328,"P9",21,"f","comp",2,"e"
"Grab",615,0.271965300000005,136.1635675,136.4355328,"P9",21,"f","comp",2,"e"
"Grab",616,0.116999800000002,139.887533,140.0045328,"P9",21,"f","comp",2,"e"
"Grab",618,0.173013699999984,142.9191863,143.0922,"P9",21,"f","comp",2,"e"
"Grab",620,0.207616800000011,147.5535129,147.7611297,"P9",21,"f","comp",2,"e"
"Grab",622,0.342025399999983,150.2078394,150.5498648,"P9",21,"f","comp",2,"e"
"Grab",624,0.186999500000013,152.61397,152.8009695,"P9",21,"f","comp",2,"e"
"Grab",626,0.495971999999995,155.3739033,155.8698753,"P9",21,"f","comp",2,"e"
"Grab",627,0.174000400000011,158.4588747,158.6328751,"P9",21,"f","comp",2,"e"
"Grab",629,0.345999299999988,159.9048744,160.2508737,"P9",21,"f","comp",2,"e"
"Grab",632,0.241999199999981,167.1758761,167.4178753,"P9",21,"f","comp",2,"e"
"Grab",634,0.00700079999998593,169.5648743,169.5718751,"P9",21,"f","comp",2,"e"
"Grab",636,0.175000600000004,171.4988746,171.6738752,"P9",21,"f","comp",2,"e"
"Grab",637,1.99299909999999,171.8308749,173.823874,"P9",21,"f","comp",2,"e"
"Grab",638,0.212001100000009,175.759874,175.9718751,"P9",21,"f","comp",2,"e"
"Grab",641,0.219000499999993,181.0678736,181.2868741,"P9",21,"f","comp",2,"e"
"Grab",643,0.0689998999999943,183.3078755,183.3768754,"P9",21,"f","comp",2,"e"
"Grab",645,0.330000500000011,189.6228751,189.9528756,"P9",21,"f","comp",2,"e"
"Grab",646,0.2290007,191.9198749,192.1488756,"P9",21,"f","comp",2,"e"
"Grab",648,0.184999900000008,194.1558765,194.3408764,"P9",21,"f","comp",2,"e"
"Grab",649,0.112001200000009,197.6568743,197.7688755,"P9",21,"f","comp",2,"e"
"Grab",651,0.263000199999993,199.6268751,199.8898753,"P9",21,"f","comp",2,"e"
"Grab",653,0.162000199999994,201.8923944,202.0543946,"P9",21,"f","comp",2,"e"
"Grab",655,0.481011699999982,203.9180712,204.3990829,"P9",21,"f","comp",2,"e"
"Grab",657,0.0540012000000161,208.0040832,208.0580844,"P9",21,"f","comp",2,"e"
"Grab",659,0.175001399999985,209.7320826,209.907084,"P9",21,"f","comp",2,"e"
"Grab",662,0.904000700000012,214.6770834,215.5810841,"P9",21,"f","comp",2,"e"
"Grab",664,0.227000900000007,217.5544889,217.7814898,"P9",21,"f","comp",2,"e"
