"Participant","Age","Sex","Condition","Trial","Group","avgGrab","avgDrop","avgDropStart","grabCount","dropCount","dropStartCount","avgFullSequence","stillGrab","slowGrab","fastGrab"
"P9",21,"f","comp",2,"e",0.272325478947367,0.613724652702703,0.347630601851854,76,74,54,1.2707014862069,0.362917882608691,0.250776697222223,0.207807285714285
"P9",21,"f","solo",1,"e",0.264236349350651,0.764528514062497,0.440436166666666,77,64,63,1.47034626125,0.299246100000003,0.28855554318182,0.204295649999999
"P9",21,"f","solo",2,"e",0.229454996153847,0.679088870370369,0.394894801234566,78,81,81,1.33904857333333,0.201239322222226,0.251141064181288,0.216046860869564
"P9",21,"f","co",1,"e",0.437176482352942,0.799003321428569,0.461919828571431,17,14,14,1.35107030434783,0.629929322222226,0.224522349999992,0.218931933333333
"P9",21,"f","comp",1,"e",0.260881401136366,0.579272607499998,0.297876325423725,88,80,59,1.12806830097088,0.345450937500002,0.247401445119049,0.195393856521743
"nuP10",22,"f","comp",2,"c",0.233197687179487,0.741688467901235,0.399628175308644,78,81,81,1.38240086853933,0.240245409523806,0.240852924166668,0.21027762631579
"nuP10",22,"f","solo",1,"c",0.295870864197532,0.894539092647061,0.446613502941174,81,68,68,1.58927269770115,0.388720379999996,0.307954857085346,0.235531861904767
"nuP10",22,"f","solo",2,"c",0.256909244186046,0.764693073684212,0.369593228947368,86,76,76,1.57780790909091,0.319865012500001,0.228530329841896,0.265429780000001
"nuP10",22,"f","co",1,"c",0.319298045454541,0.845534070588235,0.38905478235294,33,17,17,1.42446534285714,0.404872245454541,0.276779946153844,0.276122388888882
"nuP10",22,"f","co",2,"c",0.350744005882352,0.980027207692306,0.531007342307691,51,26,26,1.87674622962963,0.461814131578947,0.33261409090909,0.179596579999996
"nuP10",22,"f","comp",1,"c",0.237366908333336,0.777586144303797,0.415877367088607,84,79,79,1.46663305744681,0.231707404545458,0.235811410000001,0.248802471428576
"nuP11",26,"m","comp",2,"e",0.554614097142857,0.974572187878781,0.677475081249997,35,33,32,1.770037264,0.871939505555557,0.243541283333329,0.157018100000004
"nuP11",26,"m","solo",1,"e",0.343958414666667,0.722549127586206,0.497602479310343,75,58,58,1.44037319759036,0.646822624999998,0.318750232173912,0.273752205263165
"nuP11",26,"m","solo",2,"e",0.270300509523811,0.888961679166665,0.483645483333336,42,48,48,1.83310532777778,0.356175763636365,0.241936813461537,0.22419887500001
"nuP11",26,"m","co",1,"e",0.36129184285714,0.900217456249999,0.452717393749996,28,16,16,1.62996320909091,0.397246299999995,0.307586366666663,0.347299950000007
"nuP11",26,"m","co",2,"e",0.280126387500001,0.824582712000002,0.37001719166667,24,25,24,1.1462613025641,0.306412658333336,0.23818919090909,0.426000299999998
"nuP11",26,"m","comp",1,"e",0.309379351219513,0.93476214680851,0.570900021276597,41,47,47,2.13628953606557,0.558956123076923,0.201059480000004,0.174616774999991
"p012",18,"f","comp",2,"e",0.347164456521737,0.489911981428573,0.269490720289856,69,70,69,1.14959411363636,0.467556068749996,0.309767928267973,0.312797638888886
"nuP12",18,"f","solo",1,"e",0.352132,0.609317817948717,0.329866551282051,81,78,78,1.63806494418605,0.361267916666665,0.367548354999998,0.312712650000003
"p012",18,"f","solo",2,"e",0.334074995698925,0.579354174157303,0.330220161797754,93,89,89,1.34768769,0.287614741176468,0.369510960347985,0.305713113793106
"p012",18,"f","co",1,"e",0.391452663636364,0.806097895238095,0.476879809523809,44,21,21,1.44598281111111,0.424576994736843,0.374182955555556,0.345951585714282
"p012",18,"f","co",2,"e",0.343094079245283,0.63057186206897,0.320310548275866,53,29,29,1.40956482222222,0.372059723529411,0.374605575000001,0.272928712500001
"p012",18,"f","comp",1,"e",0.317160608333334,0.543920435955059,0.308021451136364,72,89,88,1.17937701428572,0.4668298,0.298530188157896,0.289042277272728
"nuP13",20,"m","comp",2,"e",0.259071454098361,0.748924763636363,0.511597557575755,61,66,66,1.51726044736842,0.52109278,0.220449941176471,0.182184288235293
"nuP13",20,"m","solo",1,"e",0.345423201587302,0.834199205357145,0.496862514285715,63,56,56,1.7641228875,0.326346450000004,0.36965849404762,0.300839244444443
"nuP13",20,"m","solo",2,"e",0.334796067213116,0.808552657627118,0.509375540677965,61,59,59,1.6228865358209,0.299592884615382,0.3479003775,0.320134940000006
"nuP13",20,"m","co",1,"e",0.294733334146344,0.869787408333334,0.524604379166668,41,24,24,1.81038050714286,0.218917450000003,0.431815292307696,0.25299538
"nuP13",20,"m","co",2,"e",0.244453404545455,0.789507658333333,0.521915866666671,44,24,24,1.37577286818182,0.225950653333327,0.284485488235297,0.210869725000003
"nuP13",20,"m","comp",1,"e",0.275179601724139,0.826745664150944,0.549069577358491,58,53,53,1.30055388611111,0.33046886923077,0.29498061642157,0.20025738125
"nuP14",21,"m","comp",2,"e",0.295708663636364,0.622230993548388,0.377565124193547,55,62,62,1.39998379285714,0.291317433333333,0.322813381983808,0.265730835714284
"nuP14",21,"m","solo",1,"e",0.256526778409092,0.62731162173913,0.451278176811593,88,69,69,1.13280312903226,0.276374936363636,0.261185289259261,0.240229508000002
"nuP14",21,"m","solo",2,"e",0.261629449411764,0.669699741428567,0.40850626285714,85,70,70,1.23405470333333,0.195681130769224,0.258614848481973,0.304750275000002
"nuP14",21,"m","co",1,"e",0.281948394230769,0.84254412857143,0.482658660714287,52,28,28,1.17150062982456,0.2701286625,0.314922657894738,0.243855344444442
"nuP14",21,"m","co",2,"e",0.229298614814817,0.976320716666669,0.565118025000002,54,24,24,0.982492073684211,0.204102643478264,0.26218920526316,0.225514125
"nuP14",21,"m","comp",1,"e",0.206936415625003,0.622913236619721,0.378150115492959,64,71,71,1.41369111012658,0.180065809090913,0.201757204761908,0.235935676470588
"nuP15",21,"m","comp",2,"c",0.2890629,0.773829798666666,0.433725267999999,74,75,75,1.34534104333333,0.434910352941174,0.227145548026316,0.287541277777777
"nuP15",21,"m","solo",1,"c",0.260621519047619,0.773389343283584,0.8280076,84,67,1,1.31099365666667,0.195718480000002,0.251058321011394,0.316541842857148
"nuP15",21,"m","solo",2,"c",0.251599030555556,0.670807558666666,0.368421753333334,72,75,75,1.35401852738095,0.194941333333336,0.261354608184142,0.290532988235295
"nuP15",21,"m","co",1,"c",0.315806731914895,0.955618138461538,0.566617776923075,47,26,26,1.455563968,0.265003990000003,0.395111205555557,0.270092766666666
"nuP15",21,"m","co",2,"c",0.250023028571426,0.808656259259263,0.33240694814815,42,27,27,1.75149607906977,0.161862622222222,0.287592371428568,0.250396983333329
"nuP15",21,"m","comp",1,"c",0.226514308450706,0.776271295945946,0.39483856891892,71,74,74,1.45842322352941,0.249685400000001,0.203326788618928,0.263420105882356
"nuP17",24,"m","comp",2,"c",0.265796074545454,1.10208863833333,0.503493838333332,55,60,60,2.00422039384615,0.334472691666668,0.279228245476188,0.177417892857144
"nuP17",24,"m","solo",1,"c",0.368833800000001,1.14317608478261,0.558906578260867,56,46,46,1.81029649206349,0.238305719999991,0.414371644230771,0.238568172727274
"nuP17",24,"m","solo",2,"c",0.334777746428572,1.03743786,0.446629028,56,50,50,1.75568080952381,0.36560465,0.384661544871793,0.228897200000004
"nuP17",24,"m","co",2,"c",0.329620872093023,1.22822260526316,0.348392910526317,43,19,19,1.94854033333333,0.373849914285714,0.249911393333334,0.367739771428568
"nuP17",24,"m","comp",1,"c",0.30263703125,1.1709299,0.428565404878048,48,41,41,1.96723414736842,0.357020957142855,0.32474130854701,0.195930125
"nuP18",25,"m","comp",2,"c",0.304626128571428,0.824821075471698,0.537236428301887,56,53,53,1.58286345344828,0.218342593333331,0.349779433333335,0.299140118181814
"nuP18",25,"m","solo",1,"c",0.374866935483872,1.14903824042553,0.717971508510637,62,47,47,2.09649521129032,0.397064014285718,0.360822635507247,0.416986218181818
"nuP18",25,"m","solo",2,"c",0.354739088888886,0.893073576119404,0.562546964179105,72,67,67,1.82760126486486,0.279506464285711,0.415815616304346,0.302199261904759
"nuP18",25,"m","co",1,"c",0.288633035135135,1.03277794,0.697218409999999,37,20,20,1.04972331463415,0.256384679999999,0.322644481818181,0.333773233333335
"nuP18",25,"m","co",2,"c",0.331575220454549,0.857885066666666,0.571779277777777,44,27,27,1.43582852222222,0.421038429411769,0.297797457894743,0.221688087499999
"sdP18",25,"m","comp",1,"c",0.348302909523809,0.89388231851852,0.531288861111111,63,54,54,1.57701922535211,0.514206762499999,0.262331137499997,0.327661834782612
"nuP19",24,"f","solo",1,"c",0.271000570588234,1.02278369,0.551317968333333,51,60,60,1.8537215546875,0.176565666666666,0.308109861538458,0.263817606250001
"nuP18",24,"f","solo",2,"c",0.281462426000001,0.93282872238806,0.538257538805971,50,67,67,1.53717502777778,0.412854035714289,0.229669458547008,0.244079250000003
"nuP19",24,"f","co",1,"c",0.433943055882353,1.10614506111111,0.657866844444441,34,18,18,1.744404335,0.535824130434781,0.230231211111113,0.179014000000009
"nuP19",24,NA,"co",2,"c",0.356477732608694,1.090205288,0.480076224000005,46,25,25,1.52140570408163,0.527764015789473,0.266581047058821,0.183858159999997
"nuP19",24,"f","comp",1,"c",0.327233006451614,NA,0.435951948387096,62,NA,62,1.74316607567568,0.491207000000003,0.264557866190477,0.249335026666666
"nuP20",21,"m","comp",2,"c",0.275179476470587,0.616539587012986,0.369149929333333,51,77,75,1.16434913294118,0.458302466666668,0.255247956428571,0.240525287499999
"nuP20",21,"m","solo",1,"c",0.291557445238093,0.788178497260276,0.6779177,84,73,1,1.23698747777778,0.282464477777774,0.292184573667708,0.301311779999999
"nuP10",21,"m","solo",2,"c",0.252064101428571,0.658805770930232,0.385640086746988,70,86,83,1.23946231368421,0.333463616666666,0.252662160102303,0.20873348333333
"nuP20",21,"m","co",1,"c",0.241271781632654,0.720450730303032,0.472994027272727,49,33,33,1.31740920181819,0.226349652631587,0.262011127777774,0.233789466666663
"nuP20",21,"m","co",2,"c",0.354125880434783,0.763924428571429,0.477196925714286,46,35,35,1.42146392115385,0.491852400000002,0.328954672222223,0.208247333333333
"nuP20",21,"m","comp",1,"c",0.256944322807015,0.588339387356322,0.367906648749999,57,87,80,0.919518433,0.351124199999997,0.230391874999997,0.277578193333333
"nuP24",24,"m","comp",2,"c",0.309645750666666,0.693713470129869,0.365634393506492,75,77,77,1.49537392261905,0.336530855555557,0.29982524840909,0.301237286666663
"nuP21",24,"m","solo",1,"c",0.336267090909089,0.817664739682542,0.510068182539682,77,63,63,1.38968858101266,0.307376469999994,0.35220561590476,0.314262885714286
"nuP21",24,"m","solo",2,"c",0.318984386111112,0.899986711940297,0.40968023432836,72,67,67,1.67458489625,0.288454441666669,0.343422738770053,0.289165080952382
"nuP21",24,"m","co",1,"c",0.369346397560976,0.851516483333334,0.426531954166663,41,24,24,1.46514055454546,0.44239772105263,0.297434314285714,0.321695650000007
"nuP21",24,"m","co",2,"c",0.299915458000003,0.839319440540541,0.485313918918921,50,37,37,1.32368171071429,0.353181255555556,0.286113105882359,0.251639166666668
"nuP21",24,"m","comp",1,"c",0.281845698666667,0.78370701794872,0.375916906410258,75,78,78,1.56102287558139,0.230995571428572,0.298932878947369,0.308004437499998
"nuP22",22,"m","comp",2,"c",0.216168930120483,0.690834922388057,0.8069989,83,67,1,1.01844366969697,0.331562282352941,0.189715310858586,0.179651617647062
"nuP22",22,"m","solo",1,"c",0.23832504117647,0.690523917333332,0.445922841333334,85,75,75,1.56574463023256,0.222588675,0.253713150644123,0.216478534782606
"nuP22",22,"m","solo",2,"c",0.221761564772726,0.617421450649349,0.365865963157896,88,77,76,1.22730905268817,0.221418833333333,0.214916478947367,0.238497249999999
"nuP22",22,"m","co",1,"c",0.209003985245904,0.698090468571428,0.401901465714285,61,35,35,1.0802871920635,0.213133144000004,0.204748016666669,0.208913508333333
"nuP22",22,"m","co",2,"c",0.262558750819672,0.678993165625001,0.369704856250001,61,32,32,1.07142979538462,0.301704406060607,0.198082921052634,0.255140322222212
"nuP22",22,"m","comp",1,"c",0.207430324390244,0.62782479589041,0.368487968055553,82,73,72,1.10823066881721,0.308276394999999,0.184208166630434,0.153384294736847
"nuP23",22,"f","comp",2,"c",0.295216536363635,0.903907853703704,0.530577818518516,55,54,54,1.82455724545454,0.372647918181821,0.266387111666665,0.299058615384612
"nuP23",22,"f","solo",1,"c",0.3773759012987,0.892204803174604,0.417564826984125,77,63,63,1.63517417,0.40005905999999,0.402295176488094,0.318756631818183
"nuP23",22,"f","solo",2,"c",0.32296598275862,0.723493828915662,0.387045857831324,87,83,83,1.54698644888889,0.345718477777775,0.326341105486543,0.300234831999999
"nuP23",22,"f","co",1,"c",0.353680376595745,1.08680118947369,0.550762789473694,47,19,19,1.423804334,0.334487492000001,0.425268540000001,0.268823185714282
"nuP23",22,"f","co",2,"c",0.400474606557379,0.804441360714287,0.34716560357143,61,28,28,1.07571116935484,0.495401280769229,0.360247243478268,0.271902591666665
"nuP23",22,"f","comp",1,"c",0.313655243076923,0.851555366666667,0.507979942222222,65,45,45,1.64173443913044,0.388782900000001,0.297707647570849,0.258909624999999
"nuP24",20,"f","comp",2,"c",0.266051160000002,0.660800867857144,0.410956807142857,80,56,56,1.132820125,0.300965742857149,0.270343818040294,0.225600978947371
"nuP24",20,"f","solo",1,"c",0.249800977142858,0.899502581632653,0.57701667346939,70,49,49,1.23084646410256,0.255093372222226,0.279777102380951,0.200974795000001
"nuP24",20,"f","solo",2,"c",0.269799108641974,0.821046648437499,0.53248031875,81,64,64,1.41296738333333,0.270264864999997,0.304904399222222,0.184045288888888
"nuP24",20,"f","co",1,"c",0.256600752542374,0.865341871428571,0.541500080952379,59,21,21,1.08638592622951,0.252580350000002,0.26379296875,0.259002777777776
"nuP24",20,"f","co",2,"c",0.246501158064519,0.699502570370366,0.408790855555554,62,27,27,0.847539253125,0.236994029032261,0.276681389473691,0.223275874999995
"nuP25",21,"f","comp",1,"c",0.276556967213116,0.7352837525,0.41813855375,61,80,80,1.2880902752809,0.519371945454546,0.223170096666668,0.223089035000002
