"TimeEpoch","MeanPercentChange","Meanpupil","condition","group","Participant"
-1,44.782953482619,5.49759388971354,"comp","e","P3"
-0.9,38.6132563618893,5.46504056631433,"comp","e","P3"
-0.8,29.5937747452864,5.18440934218322,"comp","e","P3"
-0.7,30.9256495417514,5.3690336718357,"comp","e","P3"
-0.6,35.8029840573466,5.35620383920655,"comp","e","P3"
-0.5,42.8551738781691,5.41071288738756,"comp","e","P3"
-0.4,45.1686623499298,5.61037723669937,"comp","e","P3"
-0.3,46.6004235796609,5.43543496973216,"comp","e","P3"
-0.2,47.7565759413524,5.58290107813488,"comp","e","P3"
-0.1,49.7304549475857,5.60518327226957,"comp","e","P3"
0,49.2113699756557,5.6843765255357,"comp","e","P3"
0.1,50.1728167636289,5.67453493856002,"comp","e","P3"
0.2,50.6075557449349,5.66219644879679,"comp","e","P3"
0.3,50.6823381268419,5.56169443742279,"comp","e","P3"
0.4,52.8026859671051,5.68229222580425,"comp","e","P3"
0.5,52.2208380223273,5.64654281731737,"comp","e","P3"
0.6,47.885788027747,5.67069645124527,"comp","e","P3"
0.7,53.0855621984892,5.66822843274878,"comp","e","P3"
0.8,50.162681612749,5.65333461798118,"comp","e","P3"
0.9,53.806855999172,5.71661392671399,"comp","e","P3"
1,51.5942586123199,5.7116370297619,"comp","e","P3"
-1,41.9388977676901,5.70751071352201,"solo","e","P3"
-0.9,40.7222983516287,5.66535539881313,"solo","e","P3"
-0.8,35.4214787339785,5.72962702564383,"solo","e","P3"
-0.7,23.168750186549,5.68808549074074,"solo","e","P3"
-0.6,27.1688182347134,5.1433106582702,"solo","e","P3"
-0.5,31.2424984485479,5.07121840808118,"solo","e","P3"
-0.4,38.010532725223,5.25278837607143,"solo","e","P3"
-0.3,41.4285877520254,5.48767236497354,"solo","e","P3"
-0.2,44.3391903914527,5.73018783970814,"solo","e","P3"
-0.1,43.8013694471517,5.76913185660842,"solo","e","P3"
0,44.0777041051338,5.82834408131564,"solo","e","P3"
0.1,44.6446441886562,5.84268357530344,"solo","e","P3"
0.2,44.8827889250789,5.86077938474008,"solo","e","P3"
0.3,45.3188344168618,5.87458864842986,"solo","e","P3"
0.4,46.280681244423,5.90196874158959,"solo","e","P3"
0.5,47.3819909119301,5.93243567369141,"solo","e","P3"
0.6,44.9703702488784,5.96338061394701,"solo","e","P3"
0.7,49.9453477033427,6.01198958188263,"solo","e","P3"
0.8,51.6399934787387,6.02407827171427,"solo","e","P3"
0.9,48.4607785320562,6.03548012568922,"solo","e","P3"
1,48.9924041127936,6.00327557291667,"solo","e","P3"
-1,34.4054337729206,5.38245664327485,"solo","e","P3"
-0.9,33.1477441485788,5.45681427209362,"solo","e","P3"
-0.8,31.8928230910245,5.22582408179563,"solo","e","P3"
-0.7,28.4230935463784,5.17366600186012,"solo","e","P3"
-0.6,24.2987647134274,5.25895619877713,"solo","e","P3"
-0.5,25.2203161888089,5.03681687107753,"solo","e","P3"
-0.4,25.8554551954658,5.15899735146605,"solo","e","P3"
-0.3,29.9061504672323,5.24977338633598,"solo","e","P3"
-0.2,34.2285760446923,5.42032592539021,"solo","e","P3"
-0.1,35.7008111307214,5.4562487641276,"solo","e","P3"
0,35.5676133281444,5.60881756079151,"solo","e","P3"
0.1,35.7712485677812,5.63466983362334,"solo","e","P3"
0.2,36.2127907467212,5.64713639872265,"solo","e","P3"
0.3,36.7210981229635,5.66236547402597,"solo","e","P3"
0.4,35.013510011723,5.67059063765731,"solo","e","P3"
0.5,36.7293249624943,5.74964628583008,"solo","e","P3"
0.6,36.5335995356111,5.7615350996221,"solo","e","P3"
0.7,35.174972343658,5.77073849435666,"solo","e","P3"
0.8,41.6094829408254,5.7673211594008,"solo","e","P3"
0.9,40.093408355305,5.75252058045606,"solo","e","P3"
1,38.5005705274686,5.81996850943396,"solo","e","P3"
-1,46.6047142252523,5.51968206498016,"comp","e","P3"
-0.9,45.8706730706331,5.485833314659,"comp","e","P3"
-0.8,27.8744961882015,5.41419106681304,"comp","e","P3"
-0.7,22.516415928726,5.47870753425808,"comp","e","P3"
-0.6,30.0395140658664,5.58617424880952,"comp","e","P3"
-0.5,32.9539646818775,5.49742779072677,"comp","e","P3"
-0.4,35.3982820659997,5.45284657500251,"comp","e","P3"
-0.3,37.8892960283948,5.55802956150153,"comp","e","P3"
-0.2,38.8044507221581,5.64207918125384,"comp","e","P3"
-0.1,50.300844845984,5.74351591904531,"comp","e","P3"
0,49.7243120753745,5.71551740760489,"comp","e","P3"
0.1,51.4670292520274,5.73259927506325,"comp","e","P3"
0.2,49.7220064412418,5.69073077494635,"comp","e","P3"
0.3,50.5018435659499,5.64745323834728,"comp","e","P3"
0.4,50.569123953416,5.65930955477362,"comp","e","P3"
0.5,51.9808318242092,5.69733175017428,"comp","e","P3"
0.6,51.8721252411785,5.7816526984623,"comp","e","P3"
0.7,54.8730362355786,5.7677319623423,"comp","e","P3"
0.8,53.9782673643403,5.78387035539544,"comp","e","P3"
0.9,51.8075242260085,5.73613867664586,"comp","e","P3"
1,54.4436094245184,5.74340044780093,"comp","e","P3"
-1,34.9658937050638,4.13537966583647,"comp","e","P9"
-0.9,35.0365847210381,4.13615978826422,"comp","e","P9"
-0.8,35.1384620641621,4.11560120701018,"comp","e","P9"
-0.7,35.444669760661,4.10879519204089,"comp","e","P9"
-0.6,33.1096923920204,4.20180341010502,"comp","e","P9"
-0.5,32.8140813328027,4.112786509564,"comp","e","P9"
-0.4,28.5901779487198,4.00027674022364,"comp","e","P9"
-0.3,34.1353965886135,4.01160270480125,"comp","e","P9"
-0.2,35.884472012904,4.14783615133178,"comp","e","P9"
-0.1,42.6948603062693,4.28809301960074,"comp","e","P9"
0,43.8830517820518,4.37327538714542,"comp","e","P9"
0.1,44.3297257827389,4.40535430314439,"comp","e","P9"
0.2,45.016274666833,4.40837784044027,"comp","e","P9"
0.3,44.2289765763946,4.37019361478072,"comp","e","P9"
0.4,43.1655797850673,4.37493104955087,"comp","e","P9"
0.5,41.6622864077226,4.33729058196057,"comp","e","P9"
0.6,42.325099523401,4.3165607876707,"comp","e","P9"
0.7,39.7127116923229,4.29830916651376,"comp","e","P9"
0.8,39.6874372623068,4.23491555759363,"comp","e","P9"
0.9,40.4784421934425,4.28586564393907,"comp","e","P9"
1,42.1984426424959,4.29036766556713,"comp","e","P9"
-1,42.4290274057373,4.42863274125,"solo","e","P9"
-0.9,42.6707245763551,4.38751974388824,"solo","e","P9"
-0.8,42.7797469590655,4.37662743185454,"solo","e","P9"
-0.7,42.7778510272697,4.33727283767316,"solo","e","P9"
-0.6,39.4847879255907,4.26578916528152,"solo","e","P9"
-0.5,38.7773060847021,4.03911579991783,"solo","e","P9"
-0.4,37.6207835502762,3.98056153256173,"solo","e","P9"
-0.3,39.0840128755791,4.02957479426984,"solo","e","P9"
-0.2,45.4780333638433,4.05696057675901,"solo","e","P9"
-0.1,48.801560762159,4.26195938440346,"solo","e","P9"
0,49.963965594513,4.61002007782828,"solo","e","P9"
0.1,51.9551032606471,4.67740348180836,"solo","e","P9"
0.2,53.0970586513776,4.70876613477855,"solo","e","P9"
0.3,54.3105170555963,4.73234971150155,"solo","e","P9"
0.4,55.048321711625,4.75327114103924,"solo","e","P9"
0.5,56.433944683404,4.75271841124167,"solo","e","P9"
0.6,57.4792105028025,4.7482625394465,"solo","e","P9"
0.7,53.7439521583771,4.69094694115309,"solo","e","P9"
0.8,50.7192423450406,4.69087979207815,"solo","e","P9"
0.9,48.3770570361452,4.5797578968868,"solo","e","P9"
1,46.2693710546135,4.52850893583333,"solo","e","P9"
-1,46.4937251468184,4.43282282355556,"solo","e","P9"
-0.9,46.611887427486,4.40764822003185,"solo","e","P9"
-0.8,43.6881397006984,4.38027857017179,"solo","e","P9"
-0.7,40.6577243095009,4.34364183969645,"solo","e","P9"
-0.6,40.4769830036998,4.34063825352803,"solo","e","P9"
-0.5,38.2697841963383,4.18795118889915,"solo","e","P9"
-0.4,38.2775931941165,4.13362622547619,"solo","e","P9"
-0.3,50.8742878781725,4.12965119733333,"solo","e","P9"
-0.2,54.1436960335622,4.12238505761969,"solo","e","P9"
-0.1,57.5336929829436,4.38042295858067,"solo","e","P9"
0,58.9940335670454,4.56713802236422,"solo","e","P9"
0.1,60.4044710421791,4.63263699138704,"solo","e","P9"
0.2,62.1608959236736,4.67173630889805,"solo","e","P9"
0.3,63.7509741653965,4.69857107776903,"solo","e","P9"
0.4,63.7802392997471,4.70132114540275,"solo","e","P9"
0.5,63.6957358191617,4.66888418106925,"solo","e","P9"
0.6,62.1118790463154,4.64994687194836,"solo","e","P9"
