"Time","Participant","Age","Sex","Handedness","Task","Group","Condition","Trial","Event","CurrentGazeTarget","CurrentGazeArea","EyePos_X","EyePos_Y","EyePos_Z","eyeAngleX","eyeAngleY","eyeAngleZ","HeadPos_X","HeadPos_Y","HeadPos_Z","HeadRot_X","HeadRot_Y","HeadRot_Z","HandPos_X","HandPos_Y","HandPos_Z","HandRot_X","HandRot_Y","HandRot_Z","RayCast_StartPos_X","RayCast_StartPos_Y","RayCast_StartPos_Z","RayCast_EndPos_X","RayCast_EndPos_Y","RayCast_EndPos_Z","Partner_HeadPos_X","Partner_HeadPos_Y","Partner_HeadPos_Z","Partner_HeadRot_X","Partner_HeadRot_Y","Partner_HeadRot_Z","Partner_HandPos_X","Partner_HandPos_Y","Partner_HandPos_Z","Partner_HandRot_X","Partner_HandRot_Y","Partner_HandRot_Z","Partner_RayCast_StartPos_X","Partner_RayCast_StartPos_Y","Partner_RayCast_StartPos_Z","Partner_RayCast_EndPos_X","Partner_RayCast_EndPos_Y","Partner_RayCast_EndPos_Z","RightPupil","LeftPupil"
638258012909456227,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","17.07739","5.590715",-17.20524,16.03923,8.467992,12.55833,6.959077,0.2247888,-0.1384571,-0.6773878,-0.1489718,12.45345,6.405667,0.3772545,-0.1406621,-0.6295471,-0.3236768,12.45336,6.405684,0.3773153,4.651482,12.44473,2.008474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.526978,5.756683
638258012909605945,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.27566","7.314534",-15.19111,17.22335,9.877744,12.55895,6.959327,0.2249939,-0.1404989,-0.6742661,-0.1510064,12.45341,6.405415,0.3772473,-0.1422082,-0.6274216,-0.3231141,12.45344,6.405522,0.3772803,4.648803,12.42823,2.05496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.548904,5.958679
638258012909740805,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.47758","6.952919",-15.19186,17.50276,9.372494,12.56046,6.960164,0.2256167,-0.1472589,-0.6649138,-0.1569181,12.45321,6.404994,0.3772769,-0.1495964,-0.6208792,-0.3211041,12.45333,6.405299,0.377303,4.66301,12.43393,2.099663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.477142,5.97821
638258012909886000,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","20.02692","7.570218",-14.68148,17.65381,9.888549,12.56068,6.960411,0.2256716,-0.1481932,-0.664317,-0.157627,12.45325,6.404968,0.377572,-0.1521769,-0.6202541,-0.3197665,12.4532,6.40509,0.3773624,4.730273,12.48467,2.219938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.530258,5.852844
638258012910041015,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.83962","7.387601",-14.84516,17.59433,9.74935,12.56133,6.960871,0.2259668,-0.151249,-0.6607161,-0.1602962,12.45324,6.404939,0.3778287,-0.153899,-0.6179868,-0.3209909,12.45319,6.404983,0.377668,4.743948,12.50193,2.220181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.416794,5.704758
638258012910205346,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.82363","7.311919",-14.8789,17.61118,9.667459,12.56203,6.961227,0.2261567,-0.1539793,-0.6570752,-0.1625982,12.45332,6.404957,0.3778777,-0.152523,-0.6162488,-0.3247617,12.45331,6.405013,0.3778364,4.777369,12.52995,2.265982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650024,5.77478
638258012910330103,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.50751","6.749134",-15.24178,17.59555,9.114606,12.56374,6.962224,0.2266891,-0.1621858,-0.646864,-0.1688803,12.45325,6.405037,0.3778553,-0.150891,-0.6114204,-0.3319079,12.45333,6.405008,0.3777748,4.803287,12.54627,2.317291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.687195,5.679459
638258012910459974,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.95047","6.957306",-14.91643,17.82593,9.204852,12.56373,6.962136,0.2265519,-0.1625959,-0.6475641,-0.1679915,12.45324,6.405157,0.3777293,-0.1511687,-0.6112912,-0.3320458,12.45325,6.405134,0.377762,4.86679,12.58325,2.445736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.555237,5.92186
638258012910594817,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.62349","6.672054",-15.19636,17.70385,8.979651,12.56419,6.962453,0.22654,-0.1654062,-0.6451548,-0.168895,12.45319,6.405174,0.3776366,-0.1535763,-0.6091666,-0.3326782,12.45322,6.405156,0.3776776,4.871,12.58799,2.447117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.416183,5.648422
638258012910738151,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.1268","6.253598",-15.6299,17.4963,8.635891,12.56452,6.962743,0.2264416,-0.1678618,-0.6431471,-0.1696074,12.45304,6.405168,0.3775432,-0.1574842,-0.606209,-0.332839,12.45318,6.405139,0.3775751,4.906267,12.61853,2.484201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.416183,5.648422
638258012910872943,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.17101","6.484131",-15.53138,17.44677,8.908723,12.56559,6.963401,0.2263464,-0.1748209,-0.6370051,-0.1718013,12.45271,6.405196,0.3770011,-0.1641966,-0.5977409,-0.336476,12.45298,6.405198,0.377429,4.954622,12.6609,2.531656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.474228,5.718994
638258012910991311,"sdP2",26,"f","Right","Loom","e","solo",1,"playing","none","play_wall","1.635337","19.46009","6.352278",-15.39368,17.70036,8.644105,12.56539,6.963363,0.2260871,-0.1737654,-0.6380949,-0.1706909,12.45264,6.405691,0.3767142,-0.1608625,-0.5965753,-0.3391818,12.45278,6.405227,0.3770478,5.083043,12.75568,2.691936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.558167,5.647141
