"Participant","Condition","Trial","Group","Event","viewSwitchCounter","startTime","endTime","eventDuration"
"nuP24","comp",2,"c","view_wall",1,638477420571460428,638477420579680190,821.9762
"nuP24","comp",2,"c","play_wall",2,638477420579780185,638477420592049323,1226.9138
"nuP24","comp",2,"c","view_wall",4,638477420592399320,638477420598282207,588.2887
"nuP24","comp",2,"c","play_wall",5,638477420598412201,638477420599888922,147.6721
"nuP24","comp",2,"c","build_wall",6,638477420602308222,638477420607078279,477.0057
"nuP24","comp",2,"c","play_wall",7,638477420607589370,638477420625820323,1823.0953
"nuP24","comp",2,"c","view_wall",8,638477420627181211,638477420631274883,409.3672
"nuP24","comp",2,"c","play_wall",9,638477420632934626,638477420634064617,112.9991
"nuP24","comp",2,"c","build_wall",11,638477420634734622,638477420642444636,771.0014
"nuP24","comp",2,"c","play_wall",13,638477420643044632,638477420685506739,4246.2107
"nuP24","comp",2,"c","build_wall",15,638477420686326726,638477420700937205,1461.0479
"nuP24","comp",2,"c","play_wall",16,638477420704008872,638477420704228885,22.0013
"nuP24","comp",2,"c","view_wall",17,638477420705168861,638477420711447007,627.8146
"nuP24","comp",2,"c","play_wall",18,638477420713517024,638477420715297020,177.9996
"nuP24","comp",2,"c","build_wall",19,638477420716147043,638477420721742254,559.5211
"nuP24","comp",2,"c","play_wall",20,638477420722373655,638477420744236217,2186.2562
"nuP24","comp",2,"c","view_wall",21,638477420744896238,638477420752326225,742.9987
"nuP24","comp",2,"c","play_wall",22,638477420752436242,638477420765578243,1314.2001
"nuP24","comp",2,"c","build_wall",24,638477420767405895,638477420778311453,1090.5558
"nuP24","comp",2,"c","play_wall",25,638477420779661473,638477420788956816,929.5343
"nuP24","comp",2,"c","build_wall",27,638477420789186818,638477420797393425,820.6607
"nuP24","comp",2,"c","play_wall",28,638477420797843148,638477420837940942,4009.7794
"nuP24","comp",2,"c","view_wall",30,638477420838490932,638477420843529396,503.8464
"nuP24","comp",2,"c","play_wall",31,638477420847071276,638477420859291292,1222.0016
"nuP24","comp",2,"c","view_wall",33,638477420860061307,638477420867241654,718.0347
"nuP24","comp",2,"c","play_wall",34,638477420867461651,638477420868651652,119.0001
"nuP24","comp",2,"c","build_wall",35,638477420869071666,638477420879135467,1006.3801
"nuP24","comp",2,"c","play_wall",36,638477420880415466,638477420915580500,3516.5034
"nuP24","comp",2,"c","build_wall",37,638477420917479152,638477420928519879,1104.0727
"nuP24","comp",2,"c","play_wall",38,638477420928649872,638477420936898905,824.9033
"nuP24","comp",2,"c","view_wall",39,638477420937218895,638477420942813083,559.4188
"nuP24","comp",2,"c","play_wall",40,638477420943722547,638477420953911649,1018.9102
"nuP24","comp",2,"c","build_wall",41,638477420954361669,638477420966549204,1218.7535
"nuP24","comp",2,"c","play_wall",42,638477420966659192,638477420967779200,112.0008
"nuP24","comp",2,"c","view_wall",43,638477420968319204,638477420977199946,888.0742
"nuP24","comp",2,"c","play_wall",44,638477420979009946,638477420993261265,1425.1319
"nuP24","comp",2,"c","build_wall",45,638477420994051285,638477421001711269,765.9984
"nuP24","comp",2,"c","play_wall",47,638477421002751294,638477421035188692,3243.7398
"nuP24","comp",2,"c","build_wall",48,638477421036624340,638477421044022154,739.7814
"nuP24","comp",2,"c","play_wall",49,638477421045697761,638477421058505458,1280.7697
"nuP24","comp",2,"c","build_wall",50,638477421060055453,638477421069385458,933.0005
"nuP24","comp",2,"c","view_wall",51,638477421074651164,638477421080978777,632.7613
"nuP24","comp",2,"c","play_wall",52,638477421081528605,638477421099770210,1824.1605
"nuP24","comp",2,"c","build_wall",53,638477421101149943,638477421112919950,1177.0007
"nuP24","comp",2,"c","play_wall",54,638477421113030056,638477421118263709,523.3653
"nuP24","comp",2,"c","view_wall",56,638477421118373697,638477421122738080,436.4383
"nuP24","comp",2,"c","play_wall",57,638477421124757734,638477421159957946,3520.0212
"nuP24","comp",2,"c","view_wall",58,638477421160517935,638477421167059294,654.1359
"nuP24","comp",2,"c","play_wall",59,638477421167159273,638477421169259636,210.0363
"nuP24","comp",2,"c","build_wall",60,638477421169699627,638477421176083266,638.3639
"nuP24","comp",2,"c","play_wall",61,638477421177173266,638477421189033963,1186.0697
"nuP24","comp",2,"c","view_wall",62,638477421189693941,638477421195261936,556.7995
"nuP24","comp",2,"c","play_wall",63,638477421196047336,638477421208082283,1203.4947
"nuP24","comp",2,"c","view_wall",64,638477421208182270,638477421219675075,1149.2805
"nuP24","comp",2,"c","play_wall",65,638477421219785076,638477421220792324,100.7248
"nuP24","comp",2,"c","build_wall",66,638477421221338874,638477421229809986,847.1112
"nuP24","comp",2,"c","play_wall",67,638477421230249840,638477421240011026,976.1186
"nuP24","comp",2,"c","build_wall",68,638477421241201048,638477421246569647,536.8599
"nuP24","comp",2,"c","play_wall",69,638477421247999289,638477421249789287,178.9998
"nuP24","comp",2,"c","view_wall",71,638477421250559688,638477421263635043,1307.5355
"nuP24","comp",2,"c","play_wall",73,638477421263735037,638477421287933782,2419.8745
"nuP24","comp",2,"c","build_wall",74,638477421289250106,638477421297831664,858.1558
"nuP24","comp",2,"c","play_wall",75,638477421298496842,638477421320809255,2231.2413
"nuP24","comp",2,"c","view_wall",77,638477421321309254,638477421328957635,764.8381
"nuP24","comp",2,"c","play_wall",78,638477421329067645,638477421330604615,153.697
"nuP24","comp",2,"c","build_wall",79,638477421331974262,638477421340619472,864.521
"nuP24","comp",2,"c","play_wall",80,638477421340719475,638477421345092345,437.287
"nuP24","comp",2,"c","view_wall",82,638477421345681887,638477421348471897,279.001
"nuP24","comp",2,"c","play_wall",83,638477421351862140,638477421386807388,3494.5248
"nuP24","comp",2,"c","build_wall",85,638477421387467404,638477421398238168,1077.0764
"nuP24","comp",2,"c","play_wall",86,638477421398348165,638477421408829469,1048.1304
"nuP24","comp",2,"c","view_wall",88,638477421409369481,638477421414240603,487.1122
"nuP24","comp",2,"c","play_wall",89,638477421416720908,638477421417720592,99.9684
"nuP24","comp",2,"c","build_wall",92,638477421418620592,638477421424640605,602.0013
"nuP24","comp",2,"c","play_wall",93,638477421426100624,638477421435450944,935.032
"nuP24","comp",2,"c","build_wall",94,638477421436060973,638477421442430648,636.9675
"nuP24","comp",2,"c","play_wall",96,638477421442860639,638477421467107167,2424.6528
"nuP24","comp",2,"c","view_wall",99,638477421467637153,638477421471417168,378.0015
"nuP24","comp",2,"c","play_wall",100,638477421474127174,638477421475027168,89.9994
"nuP24","comp",2,"c","build_wall",101,638477421475577174,638477421483527206,795.0032
"nuP24","comp",2,"c","play_wall",102,638477421484237210,638477421499836485,1559.9275
"nuP24","comp",2,"c","build_wall",104,638477421501356492,638477421513207172,1185.068
"nuP24","comp",2,"c","play_wall",106,638477421513317782,638477421542293219,2897.5437
"nuP24","comp",2,"c","build_wall",107,638477421545383220,638477421552163243,678.0023
"nuP24","comp",2,"c","play_wall",108,638477421554893235,638477421556393248,150.0013
"nuP24","comp",2,"c","view_wall",109,638477421556943251,638477421563841716,689.8465
"nuP24","comp",2,"c","play_wall",110,638477421565418551,638477421577869033,1245.0482
"nuP24","comp",2,"c","build_wall",111,638477421578069036,638477421584849032,677.9996
"nuP24","comp",2,"c","play_wall",112,638477421584949052,638477421586589056,164.0004
"nuP24","comp",2,"c","build_wall",115,638477421587329060,638477421596029052,869.9992
"nuP24","comp",2,"c","play_wall",116,638477421597379058,638477421617469101,2009.0043
"nuP24","comp",2,"c","view_wall",117,638477421618269094,638477421623949103,568.0009
"nuP24","comp",2,"c","play_wall",118,638477421625999103,638477421626789112,79.0009
"nuP24","comp",2,"c","build_wall",119,638477421627679112,638477421635028023,734.8911
"nuP24","comp",2,"c","play_wall",120,638477421636658010,638477421650012436,1335.4426
"nuP24","comp",2,"c","build_wall",121,638477421650822468,638477421655667211,484.4743
"nuP24","comp",2,"c","play_wall",123,638477421656577203,638477421662922796,634.5593
"nuP24","comp",2,"c","view_wall",125,638477421663712810,638477421670482832,677.0022
"nuP24","comp",2,"c","play_wall",126,638477421670602820,638477421673022817,241.9997
"nuP24","comp",2,"c","build_wall",127,638477421673262833,638477421681503225,824.0392
"nuP24","comp",2,"c","play_wall",128,638477421682133206,638477421699604121,1747.0915
"nuP24","comp",2,"c","build_wall",129,638477421700104125,638477421709434152,933.0027
"nuP24","comp",2,"c","play_wall",130,638477421711654146,638477421714004631,235.0485
"nuP24","comp",2,"c","view_wall",131,638477421714534399,638477421723165888,863.1489
"nuP24","comp",2,"c","play_wall",132,638477421723275896,638477421740614331,1733.8435
"nuP24","comp",2,"c","build_wall",133,638477421741484342,638477421747904530,642.0188
"nuP24","comp",2,"c","play_wall",135,638477421748694521,638477421757074533,838.0012
"nuP24","comp",2,"c","build_wall",136,638477421757964537,638477421766140451,817.5914
"nuP24","comp",2,"c","play_wall",137,638477421767716131,638477421771508203,379.2072
"nuP24","comp",2,"c","view_wall",138,638477421771738202,638477421778328206,659.0004
"nuP24","comp",2,"c","play_wall",139,638477421778438237,638477421809078652,3064.0415
"nuP24","comp",2,"c","build_wall",140,638477421809728660,638477421815488671,576.0011
"nuP24","comp",2,"c","play_wall",143,638477421816188654,638477421835799506,1961.0852
"nuP24","comp",2,"c","build_wall",144,638477421836279513,638477421840759986,448.0473
"nuP24","comp",2,"c","play_wall",145,638477421841969998,638477421874400477,3243.0479
"nuP24","comp",2,"c","build_wall",146,638477421874850505,638477421876025692,117.5187
"nuP24","comp",2,"c","play_wall",147,638477421876465698,638477421882771506,630.5808
"nuP24","comp",2,"c","build_wall",148,638477421883311491,638477421891076673,776.5182
"nuP24","comp",2,"c","play_wall",150,638477421892218146,638477421913757453,2153.9307
"nuP24","comp",2,"c","view_wall",151,638477421914827466,638477421920057480,523.0014
"nuP24","comp",2,"c","play_wall",152,638477421920477480,638477421932137507,1166.0027
"nuP24","comp",2,"c","build_wall",153,638477421934617484,638477421940057509,544.0025
"nuP24","comp",2,"c","play_wall",154,638477421941767498,638477421945237524,347.0026
"nuP24","comp",2,"c","view_wall",156,638477421946997514,638477421953097526,610.0012
"nuP24","comp",2,"c","play_wall",157,638477421953197525,638477421965677556,1248.0031
"nuP24","comp",2,"c","build_wall",159,638477421966557546,638477421974517560,796.0014
"nuP24","comp",2,"c","play_wall",160,638477421975007573,638477421983187597,818.0024
"nuP24","comp",2,"c","build_wall",161,638477421984077590,638477421992367592,829.0002
"nuP24","comp",2,"c","play_wall",162,638477421992497599,638477421994377611,188.0012
"nuP24","comp",2,"c","view_wall",163,638477421994947741,638477422001629090,668.1349
"nuP24","comp",2,"c","play_wall",164,638477422001739094,638477422012687845,1094.8751
"nuP24","comp",2,"c","build_wall",165,638477422013247845,638477422020624619,737.6774
"nuP24","comp",2,"c","play_wall",167,638477422021684981,638477422035860935,1417.5954
"nuP24","comp",2,"c","build_wall",170,638477422036500938,638477422044030940,753.0002
"nuP24","comp",2,"c","play_wall",171,638477422045160924,638477422057634179,1247.3255
"nuP24","comp",2,"c","build_wall",172,638477422057834175,638477422071324168,1348.9993
"nuP24","comp",2,"c","play_wall",173,638477422071444168,638477422072664171,122.0003
"nuP24","comp",2,"c","view_wall",176,638477422073594173,638477422078514159,491.9986
"nuP24","comp",2,"c","play_wall",177,638477422079634166,638477422092454173,1282.0007
"nuP24","comp",2,"c","build_wall",179,638477422092724162,638477422104134160,1140.9998
"nuP24","comp",2,"c","play_wall",180,638477422104274151,638477422116600173,1232.6022
"nuP24","comp",2,"c","build_wall",181,638477422116700188,638477422123700527,700.0339
"nuP24","comp",2,"c","play_wall",182,638477422124305935,638477422152769081,2846.3146
"nuP24","comp",2,"c","view_wall",183,638477422154169088,638477422160669376,650.0288
"nuP24","comp",2,"c","play_wall",184,638477422161219092,638477422173686814,1246.7722
"nuP24","comp",2,"c","build_wall",185,638477422174249089,638477422180419567,617.0478
"nuP24","comp",2,"c","play_wall",186,638477422180839296,638477422190369484,953.0188
"nuP24","comp",2,"c","build_wall",188,638477422190879409,638477422207872796,1699.3387
"nuP24","comp",2,"c","play_wall",189,638477422210042797,638477422211082781,103.9984
"nuP24","comp",2,"c","view_wall",190,638477422214007996,638477422228689384,1468.1388
"nuP24","comp",2,"c","play_wall",191,638477422228799088,638477422229749487,95.0399
"nuP24","comp",2,"c","build_wall",194,638477422231518782,638477422243304492,1178.571
"nuP24","comp",2,"c","play_wall",195,638477422244904495,638477422268281848,2337.7353
"nuP24","comp",2,"c","view_wall",197,638477422269731125,638477422274868781,513.7656
