"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"sdP12","comp",2,"e","grab",156.5815,638265835679948284,638265835681514099,"Network Neutral CubeClone8 was picked up","White"
"sdP12","comp",2,"e","grab",400.2339,638265835706357716,638265835710360055,"Network Neutral CubeClone13 was picked up","White"
"sdP12","comp",2,"e","grab",150.6005,638265835739520772,638265835741026777,"Network Neutral CubeClone16 was picked up","White"
"sdP12","comp",2,"e","grab",356.8429,638265835757927781,638265835761496210,"Network Red CubeClone20 was picked up","Red"
"sdP12","comp",2,"e","grab",164.5928,638265835780919736,638265835782565664,"Network Gold Cube WholeClone15 was picked up","Gold"
"sdP12","comp",2,"e","grab",190.5033,638265835801396272,638265835803301305,"Network Blue CubeClone24 was picked up","Blue"
"sdP12","comp",2,"e","grab",65.9042,638265835858754007,638265835859413049,"Network Neutral CubeClone34 was picked up","White"
"sdP12","comp",2,"e","grab",286.4641,638265835875297458,638265835878162099,"Network Neutral CubeClone37 was picked up","White"
"sdP12","comp",2,"e","grab",231.3819,638265835910033566,638265835912347385,"Network Red CubeClone41 was picked up","Red"
"sdP12","comp",2,"e","grab",75.4318,638265835934773107,638265835935527425,"Network Neutral CubeClone44 was picked up","White"
"sdP12","comp",2,"e","grab",34.6807,638265835964074483,638265835964421290,"Network Neutral CubeClone47 was picked up","White"
"sdP12","comp",2,"e","grab",519.1584,638265835979583768,638265835984775352,"Network Gold Cube WholeClone51 was picked up","Gold"
"sdP12","comp",2,"e","grab",246.3558,638265836007490603,638265836009954161,"Network Neutral CubeClone55 was picked up","White"
"sdP12","comp",2,"e","grab",264.012,638265836027568047,638265836030208167,"Network Blue CubeClone54 was picked up","Blue"
"sdP12","comp",2,"e","grab",802.3452,638265836059705859,638265836067729311,"Network Blue CubeClone57 was picked up","Blue"
"sdP12","comp",2,"e","grab",286.2365,638265836090847686,638265836093710051,"Network Blue CubeClone61 was picked up","Blue"
