"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"P31","comp",2,"c","grab",19.9992,638603878099061150,638603878099261142,"Network Neutral CubeClone1 was picked up","White"
"P31","comp",2,"c","grab",96.9999,638603878194771150,638603878195741149,"Network Gold Cube WholeClone17 was picked up","Gold"
"P31","comp",2,"c","grab",96.9999,638603878194771150,638603878195741149,"Network Gold Cube WholeClone17 was picked up","Gold"
"P31","comp",2,"c","grab",281.9999,638603878225281161,638603878228101160,"Network Blue CubeClone17 was picked up","Blue"
"P31","comp",2,"c","grab",387.0015,638603878264471159,638603878268341174,"Network Neutral CubeClone25 was picked up","White"
"P31","comp",2,"c","grab",606.9993,638603878297391173,638603878303461166,"Network Gold Cube WholeClone20 was picked up","Gold"
"P31","comp",2,"c","grab",1000.9991,638603878293451175,638603878303461166,"Network Gold Cube WholeClone20 was picked up","Gold"
"P31","comp",2,"c","grab",143.0004,638603878349936348,638603878351366352,"Network Blue CubeClone35 was picked up","Blue"
"P31","comp",2,"c","grab",175.0009,638603878473736355,638603878475486364,"Network Gold Cube WholeClone46 was picked up","Gold"
"P31","comp",2,"c","grab",175.0009,638603878473736355,638603878475486364,"Network Gold Cube WholeClone46 was picked up","Gold"
"P31","comp",2,"c","grab",367.0003,638603878515276352,638603878518946355,"Network Neutral CubeClone60 was picked up","White"
"P31","comp",2,"c","grab",224.0015,638603878561946368,638603878564186383,"Network Blue CubeClone64 was picked up","Blue"
"P31","comp",2,"c","grab",1126.0002,638603878591216376,638603878602476378,"Network Gold Cube WholeClone72 was picked up","Gold"
"P31","comp",2,"c","grab",1126.0002,638603878591216376,638603878602476378,"Network Gold Cube WholeClone72 was picked up","Gold"
"P31","comp",2,"c","grab",504.0013,638603878670276371,638603878675316384,"Network Blue CubeClone80 was picked up","Blue"
"P31","comp",2,"c","grab",681.9999,638603878801076393,638603878807896392,"Network Blue CubeClone97 was picked up","Blue"
"P31","comp",2,"c","grab",1743.001,638603878835466395,638603878852896405,"Network Gold Cube WholeClone82 was picked up","Gold"
"P31","comp",2,"c","grab",1980.0004,638603878833096401,638603878852896405,"Network Gold Cube WholeClone82 was picked up","Gold"
"P31","comp",2,"c","grab",177.9995,638603878913496414,638603878915276409,"Network Neutral CubeClone114 was picked up","White"
"P31","comp",2,"c","grab",712.0002,638603879144551837,638603879151671839,"Network Red CubeClone147 was picked up","Red"
"P31","comp",2,"c","grab",330.9996,638603879190461849,638603879193771845,"Network Gold Cube WholeClone155 was picked up","Gold"
"P31","comp",2,"c","grab",962.9999,638603879184141846,638603879193771845,"Network Gold Cube WholeClone155 was picked up","Gold"
"P31","comp",2,"c","grab",171.0003,638603879226051848,638603879227761851,"Network Gold Cube WholeClone159 was picked up","Gold"
"P31","comp",2,"c","grab",171.0003,638603879226051848,638603879227761851,"Network Gold Cube WholeClone159 was picked up","Gold"
"P31","comp",2,"c","grab",557.0015,638603879252511863,638603879258081878,"Network Gold Cube WholeClone163 was picked up","Gold"
"P31","comp",2,"c","grab",338.0008,638603879297051859,638603879300431867,"Network Neutral CubeClone170 was picked up","White"
"P31","comp",2,"c","grab",304.9995,638603879386001869,638603879389051864,"Network Blue CubeClone177 was picked up","Blue"
"P31","comp",2,"c","grab",319.0011,638603879428141858,638603879431331869,"Network Red CubeClone187 was picked up","Red"
"P31","comp",2,"c","grab",269.0009,638603879454601875,638603879457291884,"Network Red CubeClone186 was picked up","Red"
"P31","comp",2,"c","grab",348.0011,638603879549311871,638603879552791882,"Network Blue CubeClone200 was picked up","Blue"
"P31","comp",2,"c","grab",105.9994,638603879676391900,638603879677451894,"Network Neutral CubeClone221 was picked up","White"
"P31","comp",2,"c","grab",10.0012,638603879712231887,638603879712331899,"Network Red CubeClone223 was picked up","Red"
"P31","comp",2,"c","grab",332.0001,638603879759241903,638603879762561904,"Network Gold Cube WholeClone230 was picked up","Gold"
"P31","comp",2,"c","grab",332.0001,638603879759241903,638603879762561904,"Network Gold Cube WholeClone230 was picked up","Gold"
"P31","comp",2,"c","grab",219.9998,638603879788230425,638603879790430423,"Network Neutral CubeClone237 was picked up","White"
"P31","comp",2,"c","grab",249.9975,638603879822210443,638603879824710418,"Network Blue CubeClone240 was picked up","Blue"
"P31","comp",2,"c","grab",320.0013,638603879919890429,638603879923090442,"Network Red CubeClone253 was picked up","Red"
"P31","comp",2,"c","grab",394.9989,638603880022531147,638603880026481136,"Network Neutral CubeClone269 was picked up","White"
"P31","comp",2,"c","grab",336.999,638603880059681970,638603880063051960,"Network Gold Cube WholeClone238 was picked up","Gold"
"P31","comp",2,"c","grab",336.999,638603880059681970,638603880063051960,"Network Gold Cube WholeClone238 was picked up","Gold"
"P31","comp",2,"c","grab",200.0027,638603880101771952,638603880103771979,"Network Neutral CubeClone280 was picked up","White"
"P31","comp",2,"c","grab",339.9998,638603880157911962,638603880161311960,"Network Blue CubeClone283 was picked up","Blue"
"P31","comp",2,"c","grab",247.0008,638603880205121974,638603880207591982,"Network Neutral CubeClone295 was picked up","White"
"P31","comp",2,"c","grab",447.0007,638603880331441985,638603880335911992,"Network Red CubeClone309 was picked up","Red"
"P31","comp",2,"c","grab",65.9994,638603880406751996,638603880407411990,"Network Gold Cube WholeClone324 was picked up","Gold"
"P31","comp",2,"c","grab",65.9994,638603880406751996,638603880407411990,"Network Gold Cube WholeClone324 was picked up","Gold"
"P31","comp",2,"c","grab",133.0025,638603880427572000,638603880428902025,"Network Gold Cube WholeClone327 was picked up","Gold"
"P31","comp",2,"c","grab",133.0025,638603880427572000,638603880428902025,"Network Gold Cube WholeClone327 was picked up","Gold"
"P31","comp",2,"c","grab",66.0032,638603880462281997,638603880462942029,"Network Blue CubeClone326 was picked up","Blue"
"P31","comp",2,"c","grab",90.0011,638603880498772001,638603880499672012,"Network Red CubeClone332 was picked up","Red"
"P31","comp",2,"c","grab",118.9985,638603880533292016,638603880534482001,"Network Gold Cube WholeClone330 was picked up","Gold"
"P31","comp",2,"c","grab",118.9985,638603880533292016,638603880534482001,"Network Gold Cube WholeClone330 was picked up","Gold"
"P31","comp",2,"c","grab",203.0016,638603880591972132,638603880594002148,"Network Neutral CubeClone348 was picked up","White"
"P31","comp",2,"c","grab",940,638603880631472140,638603880640872140,"Network Red CubeClone352 was picked up","Red"
"P31","comp",2,"c","grab",358.0009,638603880673982139,638603880677562148,"Network Red CubeClone357 was picked up","Red"
"P31","comp",2,"c","grab",489.0014,638603880710742142,638603880715632156,"Network Gold Cube WholeClone345 was picked up","Gold"
"P31","comp",2,"c","grab",186,638603880745082150,638603880746942150,"Network Neutral CubeClone369 was picked up","White"
"P31","comp",2,"c","grab",871.0001,638603880775992147,638603880784702148,"Network Blue CubeClone373 was picked up","Blue"
"P31","comp",2,"c","grab",182.9989,638603880841602162,638603880843432151,"Network Red CubeClone378 was picked up","Red"
"P31","comp",2,"c","grab",240.0038,638603880857132161,638603880859532199,"Network Gold Cube WholeClone370 was picked up","Gold"
