"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"sdP9","comp",2,"e","grab",141.7709,638264870347495250,638264870348912959,"Network Red CubeClone2 was picked up","Red"
"sdP9","comp",2,"e","grab",525.1656,638264870380298546,638264870385550202,"Network Gold Cube WholeClone8 was picked up","Gold"
"sdP9","comp",2,"e","grab",307.419,638264870404362315,638264870407436505,"Network Gold Cube WholeClone11 was picked up","Gold"
"sdP9","comp",2,"e","grab",1316.9909,638264870470893068,638264870484062977,"Network Gold Cube WholeClone14 was picked up","Gold"
"sdP9","comp",2,"e","grab",218.0391,638264870503554449,638264870505734840,"Network Neutral CubeClone24 was picked up","White"
"sdP9","comp",2,"e","grab",641.2664,638264870523760918,638264870530173582,"Network Gold Cube WholeClone25 was picked up","Gold"
"sdP9","comp",2,"e","grab",387.5411,638264870551271638,638264870555147049,"Network Neutral CubeClone29 was picked up","White"
"sdP9","comp",2,"e","grab",226.9558,638264870602085055,638264870604354613,"Network Neutral CubeClone38 was picked up","White"
"sdP9","comp",2,"e","grab",233.4163,638264870619154228,638264870621488391,"Network Neutral CubeClone39 was picked up","White"
"sdP9","comp",2,"e","grab",142.1428,638264870775323852,638264870776745280,"Network Blue CubeClone59 was picked up","Blue"
"sdP9","comp",2,"e","grab",233.9634,638264870795227158,638264870797566792,"Network Blue CubeClone62 was picked up","Blue"
"sdP9","comp",2,"e","grab",609.5296,638264870866588806,638264870872684102,"Network Gold Cube WholeClone68 was picked up","Gold"
"sdP9","comp",2,"e","grab",403.3704,638264870991950992,638264870995984696,"Network Red CubeClone89 was picked up","Red"
"sdP9","comp",2,"e","grab",87.1136,638264871011359918,638264871012231054,"Network Red CubeClone94 was picked up","Red"
"sdP9","comp",2,"e","grab",345.2329,638264871121900960,638264871125353289,"Network Neutral CubeClone109 was picked up","White"
"sdP9","comp",2,"e","grab",273.9446,638264871160638542,638264871163377988,"Network Blue CubeClone112 was picked up","Blue"
"sdP9","comp",2,"e","grab",403.7015,638264871245870701,638264871249907716,"Network Neutral CubeClone128 was picked up","White"
"sdP9","comp",2,"e","grab",160.5707,638264871334451999,638264871336057706,"Network Neutral CubeClone139 was picked up","White"
"sdP9","comp",2,"e","grab",251.1431,638264871372322121,638264871374833552,"Network Blue CubeClone143 was picked up","Blue"
"sdP9","comp",2,"e","grab",198.4685,638264871405073186,638264871407057871,"Network Neutral CubeClone149 was picked up","White"
"sdP9","comp",2,"e","grab",41.252,638264871428071262,638264871428483782,"Network Blue CubeClone152 was picked up","Blue"
"sdP9","comp",2,"e","grab",889.7682,638264871449150494,638264871458048176,"Network Red CubeClone153 was picked up","Red"
"sdP9","comp",2,"e","grab",207.9869,638264871525924328,638264871528004197,"Network Red CubeClone164 was picked up","Red"
"sdP9","comp",2,"e","grab",270.2809,638264871549326704,638264871552029513,"Network Blue CubeClone169 was picked up","Blue"
"sdP9","comp",2,"e","grab",208.4426,638264871586865939,638264871588950365,"Network Red CubeClone175 was picked up","Red"
"sdP9","comp",2,"e","grab",292.2184,638264871617339738,638264871620261922,"Network Gold Cube WholeClone157 was picked up","Gold"
"sdP9","comp",2,"e","grab",243.1331,638264871656213396,638264871658644727,"Network Blue CubeClone182 was picked up","Blue"
"sdP9","comp",2,"e","grab",388.0918,638264871719695030,638264871723575948,"Network Gold Cube WholeClone183 was picked up","Gold"
