"Participant","Condition","Trial","Group","startTime","endTime","Duration_Time","hand_avgVel","hand_peak_vel","hand_avg_accel","hand_peak_accel","hand_time2PeakVel","hand_time2PeakAccel","handRot_avgVel","handRot_peak_vel","handRot_avg_accel","handRot_peak_accel","handRot_time2PeakVel","handRot_time2PeakAccel","headRot_avgVel","headRot_peak_vel","headRot_avg_accel","headRot_peak_accel","headRot_time2PeakVel","headRot_time2PeakAccel","gaze_avgVel","gaze_peak_vel","gaze_avg_accel","gaze_peak_accel","gaze_time2PeakVel","gaze_time2PeakAccel"
"nuP10","comp",2,"Non-Aut",638301227416856988,638301227427333524,1047.6536,0.244339969275822,0.825671593803386,2.02258318972677,6.01433091210141,6199766,5040334,54.8591586447828,214.283582010763,482.959330137507,1655.62626402018,6330081,5150324,55.5608428305855,212.015058541606,494.696066063825,1635.65823797403,6199766,5150324,72.8790225220203,300.432985567255,969.989576346475,2830.31305698206,7156085,6407219
"nuP10","comp",2,"Non-Aut",638301227436658639,638301227444042215,738.3576,0.317749554140221,0.863374501007112,2.67434898029945,4.25492932297265,2931579,2131436,102.204893385058,256.350024060331,713.606911237975,1169.43979309786,3271587,885711,96.2153395315236,279.81192745472,750.136830145979,1469.24127592043,3271587,1901430,66.247909235719,175.792042262557,994.560557061385,1886.15464853342,4476334,2221568
"nuP10","comp",2,"Non-Aut",638301227481180682,638301227489900821,872.0139,0.331087419185357,0.864071377463125,2.74161441466411,7.33272027505711,2539998,1659996,104.189417826483,305.212888111709,826.289141381693,2022.45565375705,2640001,1449995,105.488090409853,298.112426297447,814.56466260132,1649.6209462865,4180015,2110014,127.562003099023,294.651270862576,1407.56365179913,2544.83926622761,6200142,6200142
"nuP10","comp",2,"Non-Aut",638301227511200978,638301227519512741,831.1763,0.359702914106949,0.850075594152411,2.89388401164663,6.73998698641274,2953698,799990,110.277298050767,234.596053779027,606.248178967963,1747.71527863001,2723680,679990,111.542688505845,280.261829893536,700.118626777412,1697.5593882548,3403685,1289990,93.4028560319143,358.551036997205,1222.29483212282,3787.32161980805,4533718,3713707
"nuP10","comp",2,"Non-Aut",638301227540903264,638301227549623301,872.0037,0.518644455414221,1.11028021043019,3.35400401299673,5.76570931206328,4140008,2920002,142.320279817794,266.947991184689,696.665182298796,1315.80601889178,3350018,2249998,134.441112181755,317.839525845161,772.230736179545,1817.90844871454,4350009,2360006,114.243380414144,365.641041188348,1965.20031515745,3976.29102872762,2889997,3000000
"nuP10","comp",2,"Non-Aut",638301227597601119,638301227605031150,743.0031,0.627827106828884,1.10491064362408,3.36162345991237,5.33024578608539,4010018,50012,125.261020013309,280.304668727899,746.823101284206,1417.86966312896,3210004,4840030,119.734871498523,256.098922093709,691.060444956081,1457.01142253338,3320002,4710021,110.468805171996,352.361189885727,1562.69578030816,3260.38352232811,4220012,3290002
"nuP10","comp",2,"Non-Aut",638301227627935955,638301227636075983,814.0028,0.423037033462083,1.00439906417384,3.21885232031697,6.41057725584302,3019996,1770009,130.670738302062,327.857489275351,823.959251249718,2294.93299415645,2489994,1309990,123.13032161096,306.448714834891,793.075640436619,1817.0964764977,2909999,1549990,94.1107143603694,301.647944656116,1402.65022237395,3200.53857670377,4440018,2250006
"nuP10","comp",2,"Non-Aut",638301227646466019,638301227652887922,642.1903,0.225784172800689,0.509691426315807,2.28364598475292,4.06331888712165,3219998,869994,63.7667472701359,145.338455285127,513.457141390859,811.522427080721,3690581,4210578,72.2583035219406,177.215924767825,671.465126348265,1198.69099588458,3350570,770003,121.326808589804,292.896572386505,1034.08230618174,2607.57921687877,3450577,3670585
"nuP10","comp",2,"Non-Aut",638301227662461162,638301227669464190,700.3028,0.346747181089448,0.782480345624776,2.32130142996596,4.63359583867664,3780138,4147387,77.2133605349948,195.683706289264,563.078162711678,1223.83559737213,2930120,1662009,77.888582536672,190.790571585054,552.987326476237,1097.87720978566,2810115,1662009,70.2807339127112,202.284649966517,880.332171868019,2079.49686895345,2082006,2201994
"nuP10","comp",2,"Non-Aut",638301227676576703,638301227684283781,770.7078,0.248471744613891,0.570151709152356,2.00561982978137,3.80802124556645,2451942,1107258,61.0782794128572,148.292288436095,411.672033304726,926.110829641621,2667515,887279,58.9298120844815,152.013897795291,412.168987953743,886.221835763277,2667515,1217471,51.4981683430883,171.039598600984,738.661763106261,2090.67548857878,3538187,2977544
"nuP10","comp",2,"Non-Aut",638301227697492192,638301227708672518,1118.0326,0.339834532950682,0.985781052195347,2.2582518316949,5.92489653580138,4295946,4525833,100.674643846336,261.324258531896,568.505002972517,1248.92375305103,6205848,609985,96.7359655640461,307.244849657831,589.64096509073,2188.71432598943,4645840,2808492,83.9750923258846,292.390280874034,1318.85610901331,2680.40317032141,6145843,6215846
"nuP10","comp",2,"Non-Aut",638301227754742244,638301227763622264,888.002,0.376038224720592,0.864786286714214,2.35161896258681,4.4470663794061,3079995,3620016,87.6299929384757,227.987135405888,573.087947801999,1186.56392768193,3079995,349982,86.6693643081819,229.132460636245,576.199189915843,1219.60017397592,2879992,449994,100.827978377201,358.912829457417,1691.75425677678,3641.89275627453,3699997,2959992
"nuP10","comp",2,"Non-Aut",638301227783062343,638301227792292393,923.005,0.50652835013384,1.21327122408999,3.39672867180182,6.1102257070856,4330004,3480004,139.381658754459,447.279244156509,1067.91589697627,3271.46726791312,3159999,2089990,124.012408936021,339.814717381115,886.055856600051,2192.2778982726,3159999,1719991,125.180906835626,450.898946170515,1898.77027938155,5053.73009528585,4410012,3570017
"nuP10","comp",2,"Non-Aut",638301227846871731,638301227854671753,780.0022,0.482668195935275,1.15290926917686,3.34726286748732,6.00643855565704,2869995,3310003,113.372087810492,285.83860917859,758.870861622407,2003.23677775526,2169994,850004,104.570565796242,244.966604183764,677.000101302537,1517.12641139325,2290000,240009,97.2845151614022,404.723643099393,1253.5131557095,3772.2585504796,3389991,2499983
"nuP10","comp",2,"Non-Aut",638301227867736457,638301227874466467,673.001,0.457574509595141,0.999579239398598,3.45443964701918,5.3273982402219,2779988,1559979,129.924826539239,295.614883665103,860.860730946816,1704.71161104426,2549991,1239977,121.859106740451,279.556643161172,830.862142618657,1478.00738881876,2659990,1239977,93.0810170812471,241.68075589084,1384.56641987371,2833.73330106082,3850000,2009994
"nuP10","comp",2,"Non-Aut",638301227889556520,638301227897046545,749.0025,0.439343674117995,1.00909341836187,3.2448820468356,5.6408234972403,2510023,1009995,119.972032475551,282.293658817465,783.177717581124,1941.53322874136,2270000,800008,114.900045712544,274.252240546515,763.051750710941,1725.78414424689,2270000,909997,127.432752891969,359.266770729728,1914.2830305727,3880.05745855767,1519991,1619986
"nuP10","comp",2,"Non-Aut",638301227910716605,638301227915476614,476.0009,0.634827615025943,1.16967910451718,5.70177753446124,9.23366674854861,2899997,3880009,161.976467178042,258.242303266305,848.739635215382,1509.02092878492,3340000,4210000,154.670816469707,287.819420716356,1042.41495207473,2130.82172107818,3340000,4210000,50.8247157330725,207.549250230954,975.568328427105,2532.62378411671,2220002,2220002
"nuP10","comp",2,"Non-Aut",638301227942386716,638301227952846770,1046.0054,0.41641502273064,1.26041939639931,3.00066393681979,6.90771109481135,3040001,2479999,101.47542023824,302.721928629583,600.629101532779,2037.3287700607,3040001,1029989,96.578915899765,319.221292160892,627.232374339281,1531.65563967822,3250005,1409999,77.8250390962405,379.816604655656,1223.76074887467,3665.71889120975,4430017,3660020
"nuP10","comp",2,"Non-Aut",638301227982876076,638301227994896117,1202.0041,0.340979644573368,0.952643173940134,2.1110438133199,6.37921658435273,3469998,2289996,97.1060436711866,258.341130540633,547.417787443944,1820.20354577657,2820005,1869986,92.1716930717166,260.839381685888,461.377336952922,1380.29204716625,5060010,2089999,132.325562648775,421.217664207968,1523.66128665234,4316.5347243167,2920022,2080013
"nuP10","comp",2,"Non-Aut",638301228014190212,638301228027505457,1331.5245,0.388038706007308,1.4238389338824,2.75039203816775,6.76273824947277,5028436,4302200,89.993819152574,329.148065760691,570.072417591873,2309.72404274882,5366618,3120132,87.4737187651777,354.425234102332,566.879320907454,1919.11256199774,5366618,3240138,63.7289867829707,182.387172079663,941.585435329921,2003.69170938886,6795512,3665462
"nuP10","comp",2,"Non-Aut",638301228047453746,638301228056041481,858.7735,0.418922266005263,1.09300471743811,3.23017728895529,6.64496745177503,3194054,3554060,122.659651861633,323.198206458823,758.133644302605,1968.41932376732,2534048,1204047,120.093685493486,312.12813488065,747.536764082507,1602.04865393387,2754048,1314038,102.49020572753,348.010248232029,1511.32896195862,3990.42443038823,1964050,1964050
"nuP10","comp",2,"Non-Aut",638301228132991705,638301228141521735,853.003,0.452467628290923,1.11414402115956,3.43517193002596,5.63375458327802,3280008,2010006,104.452100147268,263.554366114437,677.712149886877,1516.60607961889,3630019,5250017,101.683610693764,301.534438906215,782.576161973124,1722.66159461841,3520021,2010006,112.394902519793,299.534763231449,1347.35687517105,2641.68825801268,4320001,3500019
"nuP10","comp",2,"Non-Aut",638301228188216919,638301228204855943,1663.9024,0.317159361261831,1.33571414062097,2.53955974021828,7.55026828532166,2940009,1629999,56.1661513768364,276.932612051207,379.982257594672,1509.04365497262,3370013,1730014,58.5189879040549,298.355485041904,407.262171385543,1492.29724247588,3270010,1830015,48.6431208848536,235.017557462941,631.471370260262,2510.2753298753,4350017,2350022
"nuP10","comp",2,"Non-Aut",638301228412729704,638301228419309727,658.0023,0.430355407910113,0.86217874549196,2.8507302464597,4.91235532598931,2660003,709991,109.105284914586,220.989113176442,637.494515054371,1264.93347236852,2220005,709991,101.48858553873,200.102860150923,594.682216600517,1059.78107334362,2319999,709991,82.0458456035124,208.334528805665,1227.89090044066,2397.54899030962,3910004,1999990
"nuP10","comp",2,"Non-Aut",638301228433849783,638301228441039812,719.0029,0.519310315392121,1.15123147903961,3.56011539823178,6.05282417021764,3230013,3970012,112.262192325751,250.297593938923,720.561701084142,1572.15404128011,2779997,1270011,109.749629974373,245.549906805771,714.956638530035,1364.43021163979,3120017,4300004,82.4251599703667,231.196111294435,1233.7293709274,2409.4674796789,4060015,3320007
"nuP10","comp",2,"Non-Aut",638301228455974237,638301228463324058,734.9821,0.468435087704033,1.04575906436424,3.41589091563479,5.86077586685817,2753449,1676661,111.695827694225,247.311906923795,701.991873843776,1525.50754742795,2753449,1426667,107.540827596263,261.662133112195,733.116951871949,1644.62238902899,3063452,1806668,39.1163453550378,190.090157744077,679.797401154218,2352.6335520271,2013462,2113450
"nuP10","comp",2,"Non-Aut",638301228550426819,638301228559446945,902.0126,0.345338263368277,1.02969114799045,2.54164605161903,6.0094814396206,2780094,3930111,64.3172137913577,211.038010044607,494.627408091244,1491.75220306573,2780094,1560485,64.2204978604929,211.476756891863,503.48118189825,1526.01080955218,2670093,1429998,81.9087684805427,303.098644294789,1201.0438184097,2741.62627455421,3610093,2670098
"nuP10","comp",2,"Non-Aut",638301228580484815,638301228589477678,899.2863,0.440081554877048,1.13632013325896,2.92953775349872,5.33478203570302,3330911,1687460,103.637802269642,287.696782058631,669.605227728955,1556.62432356734,3430896,2074733,98.0372403164291,281.670997518001,659.708164065943,1615.01164275619,3430896,1834589,93.9755300662705,367.507532413264,1465.09845183063,3991.26247502141,4518341,3720920
