"","Group","Condition","cubeColor","mean_metric","sd","n","se","ci95"
"1","Aut","co","Gold",77.1114414332485,26.2420744349026,18,6.18531626177392,13.0498766029164
"2","Aut","co","Red",70.2496995416216,18.3136738330699,18,4.31657431860079,9.10717574025917
"3","Aut","co","White",87.2671177914468,19.9371624324028,18,4.69923425118991,9.91451762704834
"4","Aut","comp","Gold",76.1856114679761,22.7437846337797,20,5.08566485067465,10.6444188651209
"5","Aut","comp","Red",75.2202485626716,18.1360771278127,20,4.05535013029684,8.48794537175916
"6","Aut","comp","White",87.9045969357932,16.4425582074324,20,3.67666778758159,7.69535411947644
"7","Aut","solo","Gold",70.7958640109536,19.7455165354186,17,4.78899119458299,10.1522078113204
"8","Aut","solo","Red",70.0716177299523,17.4170479677837,17,4.22425461515422,8.95501974392527
"9","Aut","solo","White",84.6156369213323,18.2108418564948,16,4.5527104641237,9.70387264982169
"10","Non-Aut","co","Gold",71.3519492992994,16.9748151428008,26,3.32903514049121,6.85627621531214
"11","Non-Aut","co","Red",73.7099317938636,21.0955429556951,26,4.13717635311247,8.52067419877442
"12","Non-Aut","co","White",79.2723501251017,17.2977696411241,26,3.39237172852788,6.9867203601735
"13","Non-Aut","comp","Gold",85.5637425226134,22.5048030735324,25,4.50096061470648,9.2895261386371
"14","Non-Aut","comp","Red",82.2693907130438,17.4588007199972,25,3.49176014399944,7.20663873875051
"15","Non-Aut","comp","White",92.0318893945612,16.5883199234064,25,3.31766398468129,6.84732192594881
"16","Non-Aut","solo","Gold",80.5140498087888,22.2043275649309,25,4.44086551298618,9.16549594463568
"17","Non-Aut","solo","Red",78.2348329902975,16.2512500851472,25,3.25025001702945,6.70818633507854
"18","Non-Aut","solo","White",87.7516425143156,15.9556209257328,25,3.19112418514655,6.58615661570037
