"TimeEpoch","Condition","Group","mean_percent","sd","n","sem","ci95"
0,"co","c",-0.121205208050648,NA,25,NA,NA
0,"co","e",0.0826704691201426,NA,23,NA,NA
0,"comp","c",-0.082106969798374,NA,26,NA,NA
0,"comp","e",-0.0234888263015273,NA,23,NA,NA
0,"solo","c",-0.0846927028744001,NA,26,NA,NA
0,"solo","e",0.0319184044836644,NA,21,NA,NA
0.1,"co","c",-0.361888952509114,NA,25,NA,NA
0.1,"co","e",-0.0824957147774843,NA,23,NA,NA
0.1,"comp","c",-0.373386021547649,NA,26,NA,NA
0.1,"comp","e",-0.146435355231149,NA,23,NA,NA
0.1,"solo","c",-0.0223915692633685,NA,26,NA,NA
0.1,"solo","e",0.0780350865264873,NA,21,NA,NA
0.2,"co","c",-0.373443715867385,NA,25,NA,NA
0.2,"co","e",0.112657174773234,NA,23,NA,NA
0.2,"comp","c",-0.220287825322701,NA,26,NA,NA
0.2,"comp","e",0.155459461820832,NA,23,NA,NA
0.2,"solo","c",0.118772541117511,NA,26,NA,NA
0.2,"solo","e",0.24440765728606,NA,21,NA,NA
0.3,"co","c",-0.446552531196206,NA,25,NA,NA
0.3,"co","e",0.107219386291243,NA,23,NA,NA
0.3,"comp","c",0.747814881800675,NA,26,NA,NA
0.3,"comp","e",0.825877128842316,NA,23,NA,NA
0.3,"solo","c",1.19033476473733,NA,26,NA,NA
0.3,"solo","e",1.37429747796834,NA,21,NA,NA
0.4,"co","c",1.48005960497038,NA,25,NA,NA
0.4,"co","e",1.25607666606496,NA,23,NA,NA
0.4,"comp","c",3.70651856147611,NA,26,NA,NA
0.4,"comp","e",2.73619460276003,NA,23,NA,NA
0.4,"solo","c",3.74803160478802,NA,26,NA,NA
0.4,"solo","e",3.3809111394853,NA,21,NA,NA
0.5,"co","c",3.16311118148518,NA,25,NA,NA
0.5,"co","e",2.95492156748203,NA,23,NA,NA
0.5,"comp","c",4.80875788007204,NA,26,NA,NA
0.5,"comp","e",3.68879666314652,NA,23,NA,NA
0.5,"solo","c",4.9558055187529,NA,26,NA,NA
0.5,"solo","e",4.21684743982624,NA,21,NA,NA
0.6,"co","c",4.42846692857437,NA,25,NA,NA
0.6,"co","e",3.97303102052357,NA,23,NA,NA
0.6,"comp","c",5.36121146184118,NA,26,NA,NA
0.6,"comp","e",4.33072538657638,NA,23,NA,NA
0.6,"solo","c",5.62982601732265,NA,26,NA,NA
0.6,"solo","e",4.54560681205997,NA,21,NA,NA
0.7,"co","c",5.37696713676188,NA,25,NA,NA
0.7,"co","e",4.42094874123111,NA,23,NA,NA
0.7,"comp","c",5.98555373338281,NA,26,NA,NA
0.7,"comp","e",4.76893623679209,NA,23,NA,NA
0.7,"solo","c",5.99247690273233,NA,26,NA,NA
0.7,"solo","e",4.97729376698474,NA,21,NA,NA
0.8,"co","c",5.96376555893803,NA,25,NA,NA
0.8,"co","e",4.87190154575709,NA,23,NA,NA
0.8,"comp","c",6.93404038152433,NA,26,NA,NA
0.8,"comp","e",5.47988904765856,NA,23,NA,NA
0.8,"solo","c",6.63921852094738,NA,26,NA,NA
0.8,"solo","e",5.50703544980491,NA,21,NA,NA
0.9,"co","c",6.66203069225772,NA,25,NA,NA
0.9,"co","e",5.49417851119454,NA,23,NA,NA
0.9,"comp","c",8.019140695326,NA,26,NA,NA
0.9,"comp","e",6.32409594227261,NA,23,NA,NA
0.9,"solo","c",7.46580404893264,NA,26,NA,NA
0.9,"solo","e",6.39267644054251,NA,21,NA,NA
1,"co","c",7.29499916766281,NA,25,NA,NA
1,"co","e",5.7160847289534,NA,23,NA,NA
1,"comp","c",8.86559514053173,NA,26,NA,NA
1,"comp","e",6.84466166404071,NA,23,NA,NA
1,"solo","c",8.21773567860394,NA,26,NA,NA
1,"solo","e",6.91146202077642,NA,21,NA,NA
