"","Condition","cubeColor","sd","n","se","ci95","Aut","Non-Aut","diff"
"1","co","Gold",26.2420744349026,18,6.18531626177392,13.0498766029164,77.1114414332485,NA,NA
"2","co","Red",18.3136738330699,18,4.31657431860079,9.10717574025917,70.2496995416216,NA,NA
"3","co","White",19.9371624324028,18,4.69923425118991,9.91451762704834,87.2671177914468,NA,NA
"4","comp","Gold",22.7437846337797,20,5.08566485067465,10.6444188651209,76.1856114679761,NA,NA
"5","comp","Red",18.1360771278127,20,4.05535013029684,8.48794537175916,75.2202485626716,NA,NA
"6","comp","White",16.4425582074324,20,3.67666778758159,7.69535411947644,87.9045969357932,NA,NA
"7","solo","Gold",19.7455165354186,17,4.78899119458299,10.1522078113204,70.7958640109536,NA,NA
"8","solo","Red",17.4170479677837,17,4.22425461515422,8.95501974392527,70.0716177299523,NA,NA
"9","solo","White",18.2108418564948,16,4.5527104641237,9.70387264982169,84.6156369213323,NA,NA
"10","co","Gold",16.9748151428008,26,3.32903514049121,6.85627621531214,NA,71.3519492992994,NA
"11","co","Red",21.0955429556951,26,4.13717635311247,8.52067419877442,NA,73.7099317938636,NA
"12","co","White",17.2977696411241,26,3.39237172852788,6.9867203601735,NA,79.2723501251017,NA
"13","comp","Gold",22.5048030735324,25,4.50096061470648,9.2895261386371,NA,85.5637425226134,NA
"14","comp","Red",17.4588007199972,25,3.49176014399944,7.20663873875051,NA,82.2693907130438,NA
"15","comp","White",16.5883199234064,25,3.31766398468129,6.84732192594881,NA,92.0318893945612,NA
"16","solo","Gold",22.2043275649309,25,4.44086551298618,9.16549594463568,NA,80.5140498087888,NA
"17","solo","Red",16.2512500851472,25,3.25025001702945,6.70818633507854,NA,78.2348329902975,NA
"18","solo","White",15.9556209257328,25,3.19112418514655,6.58615661570037,NA,87.7516425143156,NA
