xHeadRot,yHeadRot,zHeadRot
4.904121,72.35171,20.18562
4.912568,73.57958,20.90372
4.85307,74.75375,21.53083
4.739146,75.65375,21.99711
4.551609,76.55659,22.35787
4.199094,77.3231,22.52607
3.743132,78.00539,22.61441
3.377393,78.71517,22.70699
2.990453,79.37287,22.77822
2.650159,79.94293,22.87871
2.35633,80.49658,23.04002
2.166191,80.91354,23.23743
1.950226,81.30019,23.42539
1.752653,81.63661,23.6427
1.578286,81.94562,23.84928
1.36869,82.27103,23.95724
1.14129,82.52929,24.02664
0.9161194,82.76982,24.04126
0.7261863,82.9873,24.03146
0.5911301,83.16349,24.04237
0.4905024,83.34704,24.06641
0.4389225,83.49132,24.11621
0.4126879,83.61255,24.1378
0.3638159,83.71302,24.13312
0.3041796,83.80846,24.07372
0.225367,83.85628,23.98323
0.1379136,83.8979,23.86179
0.08191278,83.91287,23.74781
0.1079017,83.86841,23.72321
359.9435,83.94137,23.52644
359.9767,83.91857,23.55193
359.9419,83.89214,23.45057
359.9157,83.85936,23.35244
359.9157,83.85936,23.35244
359.9157,83.85936,23.35244
359.9157,83.85936,23.35244
359.88,83.7536,23.27804
359.767,83.49085,23.08858
359.752,83.42176,23.10427
359.6999,83.24387,23.0317
359.6595,83.02398,22.92774
359.6476,82.76265,22.81817
359.6457,82.46465,22.70467
359.6526,82.15315,22.59315
359.644,81.79105,22.4798
359.6369,81.40611,22.36878
359.6345,81.01078,22.24924
359.6329,80.59991,22.12212
359.648,80.16758,21.98546
359.6778,79.74464,21.87659
359.758,79.31441,21.80409
359.835,78.93596,21.74026
359.9174,78.57319,21.67842
359.96,78.24056,21.61667
0.002206151,77.87181,21.55014
-6.915566E-05,77.4341,21.46484
359.9532,76.92975,21.34325
359.8408,76.25692,21.2088
359.7594,75.5556,21.06763
359.6658,74.76741,20.90255
359.5574,73.82498,20.71902
359.447,72.8229,20.50189
359.3678,71.59101,20.22567
359.323,70.29015,19.93114
359.2861,68.84157,19.59415
359.288,67.19921,19.19389
359.28,65.48752,18.77581
359.274,63.56727,18.31372
359.2604,61.61179,17.85494
359.228,59.41704,17.34073
359.1839,57.22637,16.82198
359.1091,54.85324,16.25464
359.0237,52.38875,15.66128
358.9523,49.82678,15.07413
358.8589,47.24963,14.47708
358.788,44.52184,13.87389
358.7426,41.71822,13.23702
358.6658,38.91154,12.59917
358.5898,36.09808,11.94682
358.4956,33.24497,11.291
358.377,30.38979,10.65814
358.288,27.58331,10.06447
358.2465,24.827,9.519925
358.2114,22.13411,9.038141
358.243,19.58627,8.634539
358.2709,17.13289,8.293284
358.2887,14.8116,7.97432
358.2719,12.55325,7.67494
358.2719,10.51833,7.429852
358.278,8.617119,7.19467
358.3046,6.786494,6.949862
358.3929,5.224517,6.71366
358.3775,3.711694,6.508275
358.3604,2.463975,6.339299
358.2954,1.327729,6.185632
358.2266,0.3235755,6.074063
358.1883,359.3288,5.948453
358.173,358.511,5.831675
358.1765,357.7173,5.702714
358.213,357.9903,5.717166
358.1994,357.0655,5.579758
358.252,356.5137,5.452419
358.3371,356.0485,5.264481
358.4319,355.6959,5.10816
358.4815,355.359,4.990222
358.5271,355.1107,4.889393
358.5953,354.9183,4.797328
358.605,355.0746,4.833293
358.605,355.0746,4.833293
358.6649,354.7813,4.736264
358.7082,354.8806,4.761482
358.7831,354.5579,4.641942
358.7402,354.7144,4.67744
358.8116,354.7525,4.57393
358.8517,354.9692,4.568802
358.8492,355.0898,4.608142
358.806,355.1181,4.664216
358.8031,355.2045,4.676506
358.774,355.3106,4.731465
358.7994,355.4242,4.76216
358.8095,355.5369,4.805826
358.8039,355.6674,4.844601
358.754,355.8082,4.884905
358.7142,355.9537,4.935115
358.6848,356.0916,4.96478
358.6811,356.2386,4.992599
358.7034,356.3879,4.98783
358.7226,356.5328,4.975956
358.7184,356.5285,4.974218
358.7173,356.6689,4.981223
358.6754,356.7753,4.988685
358.633,356.8959,4.993792
358.5855,357.0165,4.996741
358.5309,357.1554,4.988122
358.4834,357.3089,4.979984
358.4585,357.4637,4.968783
358.4473,357.6072,4.949075
358.4368,357.7153,4.932084
358.4374,357.8151,4.932966
358.423,357.9165,4.931969
358.4167,357.8824,4.949974
358.3997,357.9956,4.959932
358.3906,358.0807,4.978291
358.3874,358.1718,4.984463
358.3867,358.2743,4.999905
358.3604,358.3577,5.002701
358.3543,358.3462,4.999636
358.344,358.4438,4.993711
358.3057,358.5163,4.975142
358.2903,358.593,4.962046
358.2657,358.66,4.93618
358.2403,358.7168,4.903111
358.2031,358.7896,4.864818
358.1715,358.8582,4.818465
358.147,358.9504,4.777177
358.1209,359.0257,4.721094
358.1107,359.1011,4.691689
358.0876,359.183,4.660021
358.0845,359.2769,4.609851
358.0668,359.3754,4.566808
358.0668,359.3754,4.566808
358.0668,359.3754,4.566808
358.0163,359.5015,4.514197
357.9607,359.6293,4.461337
357.8997,359.7692,4.411656
357.8492,359.9105,4.358897
357.7905,0.08403158,4.343787
357.7467,0.2379141,4.327457
357.7046,0.3960319,4.333354
357.6875,0.5544966,4.340608
357.6798,0.6959288,4.343873
357.6732,0.8209252,4.338746
357.6633,0.9432245,4.307047
357.6557,1.082213,4.263422
357.6437,1.225055,4.238729
357.6191,1.347488,4.184597
357.6227,1.460614,4.148896
357.637,1.554552,4.111836
357.6599,1.620233,4.070622
357.7105,1.656466,4.03825
357.7512,1.690138,3.980601
357.7902,1.735763,3.921222
357.8074,1.797204,3.869345
357.814,1.891739,3.82407
357.8096,2.011813,3.774205
357.8058,2.151746,3.737516
357.8011,2.339059,3.666909
357.79,2.541224,3.609307
357.7927,2.799796,3.534357
357.8114,3.08531,3.450455
357.8743,3.465883,3.324541
357.9487,3.87639,3.186738
358.0282,4.321378,3.031678
358.1443,4.852095,2.858698
358.2614,5.375552,2.727533
358.4158,6.003242,2.583711
358.5752,6.652616,2.468326
358.7483,7.345745,2.372471
358.9294,8.102568,2.292869
359.098,8.90482,2.21409
359.272,9.815443,2.154026
359.4697,10.87032,2.10963
359.6714,12.03821,2.06715
359.8882,13.24334,2.035325
0.1282047,14.62516,2.023837
0.3773138,16.14003,2.026805
0.6372861,17.72641,2.066695
0.9194135,19.43991,2.160743
1.195643,21.23184,2.283488
1.51348,23.18112,2.453705
1.833088,25.26647,2.682253
2.173204,27.42123,2.967751
2.557478,29.77725,3.381145
2.94943,32.31717,3.958122
3.289987,34.96108,4.655573
3.568612,37.69435,5.423372
3.772979,40.38987,6.20514
3.939009,43.13602,7.020413
4.085362,45.95361,7.880545
4.208069,48.73055,8.75128
4.277899,51.54187,9.702099
4.303702,54.3154,10.66567
4.257882,57.04134,11.68583
4.104626,59.69183,12.81873
3.930434,62.18011,14.08879
3.641229,64.47741,15.37239
