xHeadRot,yHeadRot,zHeadRot
357.3031,8.22973,1.803105
357.3031,8.22973,1.803105
357.1511,8.348853,1.740322
357.0688,8.473282,1.682128
357.0122,8.595099,1.619697
356.9852,8.730713,1.563394
356.977,8.851233,1.516306
356.9812,8.988492,1.47979
356.9814,9.117089,1.432401
356.9625,9.261307,1.387235
356.9293,9.393644,1.350498
356.8937,9.532953,1.304374
356.8712,9.666965,1.268887
356.8538,9.816559,1.227601
356.8481,9.975944,1.195077
356.8441,10.15404,1.143746
356.8434,10.32722,1.092408
356.8443,10.53675,1.040079
356.8366,10.56839,1.032763
356.8271,10.76554,0.976757
356.8388,11.06162,0.8974685
356.863,11.4059,0.8308542
356.867,11.78002,0.7895983
356.903,12.20354,0.7384453
356.9398,12.65766,0.6964517
357.028,13.21364,0.6770097
357.1564,13.85363,0.680852
357.3207,14.65508,0.7055317
357.4739,15.58278,0.7921183
357.5943,16.77782,0.9286499
357.7072,17.8483,1.029218
357.8056,18.96448,1.11863
357.897,20.12104,1.199762
357.976,21.28306,1.273205
358.0888,22.52679,1.335054
358.1946,23.77055,1.41952
358.3407,25.16701,1.494642
358.5021,26.65999,1.636103
358.6527,28.3817,1.84045
358.7874,30.21211,2.116222
358.8954,32.09362,2.437963
358.9786,34.10472,2.796398
359.0584,36.19155,3.159125
359.1657,38.4187,3.562509
359.2637,40.56426,3.965016
359.3315,42.77027,4.422985
359.3408,45.01858,4.958764
359.2739,47.24577,5.503118
359.1735,49.457,6.073651
359.0392,51.6556,6.632347
358.8365,53.82581,7.231463
358.6234,55.9996,7.805132
358.3648,58.14109,8.396164
358.0402,60.24625,9.026234
357.6838,62.25211,9.691456
357.2617,64.12048,10.41204
356.8286,65.91072,11.14014
356.3637,67.44435,11.84855
355.9189,68.94604,12.51305
355.4978,70.21099,13.09107
355.0938,71.48535,13.57754
354.7291,72.62083,13.98598
354.4087,73.72723,14.35983
354.1243,74.75179,14.71197
353.9406,75.62883,15.06797
353.7685,76.46461,15.403
353.679,77.12468,15.65766
353.6187,77.74869,15.90414
353.6284,78.25165,16.10571
353.6411,78.76166,16.33787
353.6798,79.15203,16.53745
353.6913,79.54813,16.7646
353.7225,79.85288,17.00365
353.7738,80.09451,17.26944
353.827,80.33253,17.54553
353.907,80.47822,17.75114
353.9708,80.61528,17.92926
354.0505,80.68536,18.03012
354.1277,80.74617,18.104
354.1964,80.76479,18.16052
354.2531,80.70415,18.1496
354.2662,80.61099,18.0936
354.2492,80.4565,18.03353
354.244,80.26386,17.98295
354.2407,80.00633,17.91101
354.2457,79.66187,17.77121
354.2759,79.3847,17.63926
354.2876,79.06258,17.45715
354.2586,78.74222,17.27261
354.2183,78.36827,17.06358
354.1624,77.99895,16.84443
354.0953,77.60282,16.6029
354.0449,77.1834,16.35676
354.0121,76.73794,16.1148
353.989,76.29797,15.8792
354.0122,75.79349,15.6395
354.0347,75.26553,15.42279
354.0347,75.26553,15.42279
354.0347,75.26553,15.42279
354.0347,75.26553,15.42279
354.0645,74.6887,15.21347
354.0593,74.11646,15.00345
354.0181,73.52203,14.79515
