xHeadRot,yHeadRot,zHeadRot
353.6771,2.942492,2.924863
353.69,2.82616,2.930225
353.7115,2.738851,2.935247
353.7265,2.646219,2.930879
353.7272,2.56086,2.928908
353.7203,2.483383,2.945347
353.701,2.444222,2.956544
353.6907,2.490387,2.958521
353.693,2.42837,2.977097
353.7058,2.421094,2.995359
353.7295,2.387156,3.045389
353.7596,2.35926,3.086752
353.7886,2.333256,3.107229
353.8013,2.299137,3.122477
353.7995,2.294707,3.11036
353.7854,2.295707,3.112462
353.7674,2.328451,3.096991
353.7488,2.378792,3.08889
353.7537,2.433397,3.083732
353.769,2.482099,3.089621
353.8017,2.529943,3.093662
353.8219,2.584094,3.106743
353.8365,2.636278,3.107035
353.8245,2.703793,3.093555
353.8123,2.78379,3.074855
353.7917,2.85605,3.062195
353.7787,2.939792,3.043992
353.7642,3.004757,3.04713
353.7567,3.082518,3.049261
353.7643,3.150728,3.051317
353.7664,3.235364,3.059074
353.7569,3.321443,3.054529
353.7625,3.427131,3.045607
353.8056,3.573487,2.996552
353.8663,3.753434,2.927291
353.9313,3.957325,2.845518
353.9552,4.035128,2.826334
354.0065,4.239556,2.767507
354.1035,4.59035,2.685011
354.1178,4.657557,2.681873
354.1913,4.941943,2.612422
354.2943,5.405429,2.527601
354.382,5.88808,2.42086
354.46,6.448623,2.291699
354.5333,7.053707,2.140774
354.619,7.78829,1.96643
354.7077,8.601271,1.789431
354.8194,9.531305,1.606103
354.9333,10.57043,1.459455
355.0502,11.67807,1.33782
355.17,12.91788,1.225454
355.2687,14.20875,1.151338
355.3571,15.5192,1.088782
355.3571,15.5192,1.088782
355.4604,16.88671,1.055918
355.5552,18.27314,1.06152
355.6706,19.7463,1.117747
355.8077,21.15522,1.140036
355.9591,22.63471,1.186945
356.1049,24.16277,1.237766
356.2649,25.73388,1.28874
356.3819,27.33097,1.335355
356.4972,28.94983,1.381028
356.5721,30.53973,1.407988
356.6076,32.13527,1.416005
356.6038,33.6981,1.417648
356.573,35.22441,1.408656
356.5336,36.69188,1.392611
356.4861,38.09088,1.371524
356.4148,39.30431,1.330122
356.3425,40.42645,1.255596
356.2592,41.60138,1.209965
356.1582,42.70318,1.177501
356.0201,43.74336,1.167606
355.8728,44.57556,1.208914
355.7651,45.23965,1.295549
355.7282,45.78688,1.373504
355.758,46.13654,1.456382
355.8575,46.34769,1.495506
356.0216,46.41577,1.493433
356.1409,46.46491,1.435602
356.1805,46.52574,1.402622
356.1457,46.55048,1.368586
355.9962,46.41811,1.370265
355.8267,46.23775,1.388755
355.593,45.92554,1.429172
355.3196,45.48732,1.458905
355.3196,45.48732,1.458905
355.3196,45.48732,1.458905
355.3196,45.48732,1.458905
354.9925,44.71463,1.472773
354.7488,43.99566,1.454426
354.509,43.23289,1.419742
354.2667,42.36377,1.366333
354.0104,41.40111,1.309013
353.7417,40.35357,1.257503
353.4593,39.2611,1.234119
353.1635,38.09831,1.238273
352.8613,36.86676,1.265334
352.5567,35.60258,1.308545
352.2581,34.27041,1.359522
351.9613,32.75226,1.402559
351.6807,31.33226,1.44112
351.4152,29.86404,1.494899
351.1704,28.37773,1.542494
350.9722,26.84307,1.614776
350.8187,25.30228,1.66522
350.7049,23.72045,1.708919
350.6258,22.11897,1.699659
350.5638,20.54302,1.68089
350.5633,19.01648,1.634022
350.5411,17.55563,1.587685
350.5124,16.16132,1.540311
350.4833,14.80785,1.528818
350.4515,13.51032,1.505901
350.4522,12.24519,1.486658
350.4722,11.0428,1.466974
350.4896,9.84409,1.471708
350.5252,8.744671,1.461408
350.5359,8.87709,1.461943
350.5497,7.694923,1.451368
350.6037,6.809554,1.446101
350.6646,5.957107,1.430914
350.7289,5.131297,1.417435
350.8086,4.407164,1.409075
350.8613,3.821047,1.40421
350.906,3.233102,1.401383
350.9264,2.733719,1.404326
350.9431,2.324467,1.433625
350.9237,2.527591,1.453537
350.9484,1.995574,1.460662
350.9427,1.755549,1.501473
350.9481,1.516366,1.572722
350.9676,1.283638,1.622968
350.998,1.121969,1.689432
351.0302,0.9722052,1.744136
351.0368,0.881479,1.794701
351.0472,0.7795902,1.845926
351.0316,0.7179351,1.891522
351.0118,0.6811072,1.926203
351.0004,0.6393452,1.961747
351.0025,0.6220614,1.979834
350.9868,0.6001529,1.995296
351.0063,0.6018046,1.993194
351.0209,0.5960211,2.00023
351.0679,0.6159401,1.990929
351.0979,0.6301757,1.98181
351.1205,0.6384453,1.982267
351.1354,0.6633385,1.98645
351.136,0.6955143,1.985734
351.1545,0.7347662,1.982011
