TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637962641891526403,P2,s,1,19,m,300,Game Start
637962641909667695,P2,s,1,19,m,,looking at red cube,1.389999,21.85865,-0.46
637962641909797727,P2,s,1,19,m,,looking at red cube,1.389999,21.81074,-0.46
637962641909917754,P2,s,1,19,m,,looking at red cube,1.389999,21.77211,-0.46
637962641910047788,P2,s,1,19,m,,looking at red cube,1.389999,21.73647,-0.46
637962641910177812,P2,s,1,19,m,,looking at red cube,1.389999,21.69675,-0.46
637962641910297847,P2,s,1,19,m,,looking at red cube,1.389999,21.66052,-0.46
637962641910540212,P2,s,1,19,m,,looking at red cube,1.389999,21.5879,-0.46
637962641910660239,P2,s,1,19,m,,looking at red cube,1.389999,21.55201,-0.46
637962641910780264,P2,s,1,19,m,,looking at red cube,1.389999,21.5148,-0.46
637962641910900295,P2,s,1,19,m,,looking at red cube,1.389999,21.47805,-0.46
637962641911040328,P2,s,1,19,m,,looking at red cube,1.389999,21.43979,-0.46Event
637962641911170351,P2,s,1,19,m,,looking at red cube,1.389999,21.39944,-0.46
637962641911290382,P2,s,1,19,m,,looking at red cube,1.389999,21.36103,-0.46
637962641912060555,P2,s,1,19,m,,looking at red cube,1.389999,21.13145,-0.46
637962641912720701,P2,s,1,19,m,,looking at red cube,1.389999,20.93135,-0.46
637962641912950753,P2,s,1,19,m,,looking at red cube,1.389999,20.86489,-0.46
637962641913170803,P2,s,1,19,m,,looking at red cube,1.389999,20.79824,-0.46
637962641913390852,P2,s,1,19,m,,looking at red cube,1.389999,20.73165,-0.46
637962641913600900,P2,s,1,19,m,,looking at red cube,1.389999,20.66511,-0.46
637962641913820949,P2,s,1,19,m,,looking at red cube,1.389999,20.59816,-0.46
637962641914051001,P2,s,1,19,m,,looking at red cube,1.389999,20.53178,-0.46
637962641914281052,P2,s,1,19,m,,looking at red cube,1.389999,20.46519,-0.46
637962641914491098,P2,s,1,19,m,,looking at red cube,1.389999,20.39847,-0.46
637962641914721146,P2,s,1,19,m,,looking at red cube,1.389999,20.33198,-0.46
637962641914931192,P2,s,1,19,m,,looking at red cube,1.389999,20.26506,-0.46
637962641915161248,P2,s,1,19,m,,looking at red cube,1.389999,20.19859,-0.46
637962641915391294,P2,s,1,19,m,,looking at red cube,1.389999,20.13196,-0.46
637962641915601345,P2,s,1,19,m,,looking at red cube,1.389999,20.06517,-0.46
637962641915831398,P2,s,1,19,m,,looking at red cube,1.389999,19.99862,-0.46
637962641916051457,P2,s,1,19,m,,looking at red cube,1.389999,19.93214,-0.46
637962641916281499,P2,s,1,19,m,,looking at red cube,1.389999,19.86537,-0.46
637962641916491544,P2,s,1,19,m,,looking at red cube,1.389999,19.79863,-0.46
637962641916611569,P2,s,1,19,m,,looking at red cube,1.389999,19.76477,-0.46
637962641916731602,P2,s,1,19,m,,looking at red cube,1.389999,19.72963,-0.46
637962641916861635,P2,s,1,19,m,,looking at red cube,1.389999,19.69344,-0.46
637962641916991659,P2,s,1,19,m,,looking at red cube,1.389999,19.65318,-0.46
637962641917101684,P2,s,1,19,m,,looking at red cube,1.389999,19.6172,-0.46
637962641917221719,P2,s,1,19,m,,looking at red cube,1.389999,19.58213,-0.46
637962641917311736,P2,s,1,19,m,,Regular Red Cube(Clone) was picked up,1.389999,19.58213,-0.46
637962641927597359,P2,s,1,19,m,,Regular Red Cube(Clone)was placed in dropzone,11,7,10.41
637962641929847861,P2,s,1,19,m,,looking at Drop Zone,12,7,10.41
637962641930938111,P2,s,1,19,m,,looking at Drop Zone,12,7,10.41
637962641931058134,P2,s,1,19,m,,looking at Drop Zone,12,7,10.41
637962641935379109,P2,s,1,19,m,,Regular Red Cube(Clone) was picked up,11,3.666231,10.41
637962641953093093,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641953203104,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641953313131,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641953423155,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641953543184,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641954583429,P2,s,1,19,m,,Regular Red Cube(Clone)was placed in dropzone,11,7,10.41
637962641955313580,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641955413601,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641955533630,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641955643655,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641955743676,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641955863699,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641955973729,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956083754,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956203780,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956423830,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956533857,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956643890,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956753906,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956873931,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
637962641956983950,P2,s,1,19,m,,looking at Drop Zone,11,7,10.41
