TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637953208588113225,,,,0,,,RightPupil,3.55986,3.753647,
637953208588473330,,,,0,,,RightPupil,3.552322,3.75798,
637953208588553341,,,,0,,,RightPupil,3.552322,3.758362,
637953208588623355,,,,0,,,RightPupil,3.552322,3.758362,
637953208588703373,,,,0,,,RightPupil,3.558701,3.748383,
637953208588783398,,,,0,,,RightPupil,3.558701,3.748383,
637953208588853408,,,,0,,,RightPupil,3.569473,3.739105,
637953208588933428,,,,0,,,RightPupil,3.569473,3.739105,
637953208589053453,,,,0,,,RightPupil,3.559464,3.735733,
637953208589163480,,,,0,,,RightPupil,3.56015,3.728394,
637953208589273502,,,,0,,,RightPupil,3.56015,3.728394,
637953208589373530,,,,0,,,RightPupil,3.567963,3.732864,
637953208589493554,,,,0,,,RightPupil,3.569183,3.725174,
637953208589603577,,,,0,,,RightPupil,3.569183,3.725174,
637953208589713606,,,,0,,,RightPupil,3.572113,3.725525,
637953208589823632,,,,0,,,RightPupil,3.570145,3.715698,
637953208589943651,,,,0,,,RightPupil,3.568497,3.701843,
637953208590053678,,,,0,,,RightPupil,3.568497,3.701843,
637953208590163703,,,,0,,,RightPupil,3.546051,3.690643,
637953208590273725,,,,0,,,RightPupil,3.54068,3.614029,
637953208590373755,,,,0,,,RightPupil,3.54068,3.614029,
637953208590493775,,,,0,,,RightPupil,3.520584,3.608398,
637953208590603806,,,,0,,,RightPupil,3.517212,3.598129,
637953208590713829,,,,0,,,RightPupil,3.517212,3.598129,
637953208590823849,,,,0,,,RightPupil,3.496307,3.570587,
637953208590943880,,,,0,,,RightPupil,3.497833,3.555893,
637953208591053902,,,,0,,,RightPupil,3.49585,3.551147,
637953208591153924,,,,0,,,RightPupil,3.49585,3.551147,
637953208591273957,,,,0,,,RightPupil,3.488541,3.515564,
637953208591383976,,,,0,,,RightPupil,3.488373,3.512299,
637953208591493999,,,,0,,,RightPupil,3.488373,3.512299,
637953208591604026,,,,0,,,RightPupil,3.456573,3.506577,
637953208591714048,,,,0,,,RightPupil,3.457077,3.472504,
