TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637953181400173182,,,,0,,300,Game Start,,,
637953181413756229,,,,0,,,looking at gold cube,1.389999,17.31952,0.944
637953181413866262,,,,0,,,looking at gold cube,1.389999,17.29774,0.944
637953181413976290,,,,0,,,looking at gold cube,1.389999,17.27531,0.944
637953181414096310,,,,0,,,looking at gold cube,1.389999,17.2513,0.944
637953181414426374,,,,0,,,looking at gold cube,1.389999,17.18635,0.944
637953181414536409,,,,0,,,looking at gold cube,1.389999,17.16386,0.944
637953181414646427,,,,0,,,looking at gold cube,1.389999,17.14172,0.944
637953181414756452,,,,0,,,looking at gold cube,1.389999,17.11957,0.944
637953181414866481,,,,0,,,looking at gold cube,1.389999,17.09771,0.944
637953181414976500,,,,0,,,looking at gold cube,1.389999,17.07536,0.944
637953181415096529,,,,0,,,looking at gold cube,1.389999,17.05267,0.944
637953181415206557,,,,0,,,looking at gold cube,1.389999,17.02994,0.944
637953181415316578,,,,0,,,looking at gold cube,1.389999,17.00865,0.944
637953181415426601,,,,0,,,looking at gold cube,1.389999,16.98571,0.944
637953181415536632,,,,0,,,looking at gold cube,1.389999,16.964,0.944
637953181415646658,,,,0,,,looking at gold cube,1.389999,16.9416,0.944
637953181415756680,,,,0,,,looking at gold cube,1.389999,16.91982,0.944
637953181415866709,,,,0,,,looking at gold cube,1.389999,16.89742,0.944
637953181415976727,,,,0,,,looking at gold cube,1.389999,16.87514,0.944
637953181416096766,,,,0,,,looking at gold cube,1.389999,16.8524,0.944
637953181416206776,,,,0,,,looking at gold cube,1.389999,16.82963,0.944
637953181416326810,,,,0,,,looking at gold cube,1.389999,16.80727,0.944
637953181416466838,,,,0,,,looking at gold cube,1.389999,16.7784,0.944
637953181416586867,,,,0,,,looking at gold cube,1.389999,16.75293,0.944
637953181416706897,,,,0,,,looking at gold cube,1.389999,16.7299,0.944
637953181416826924,,,,0,,,looking at gold cube,1.389999,16.70668,0.944
637953181416946950,,,,0,,,looking at gold cube,1.389999,16.68195,0.944
637953181417076975,,,,0,,,looking at gold cube,1.389999,16.65896,0.944
637953181417187009,,,,0,,,looking at gold cube,1.389999,16.633,0.944
637953181417297027,,,,0,,,looking at gold cube,1.389999,16.61134,0.944
637953181417417048,,,,0,,,looking at gold cube,1.389999,16.58729,0.944
637953181417527080,,,,0,,,looking at gold cube,1.389999,16.56491,0.944
637953181417637099,,,,0,,,looking at gold cube,1.389999,16.54331,0.944
637953181417747123,,,,0,,,looking at gold cube,1.389999,16.52136,0.944
637953181417857150,,,,0,,,looking at gold cube,1.389999,16.49939,0.944
637953181417967173,,,,0,,,looking at gold cube,1.389999,16.47724,0.944
637953181418047307,,,,0,,,Regular Gold Cube(Clone) was picked up,1.389999,16.47724,0.944
637953181433210598,,,,0,,,looking at red cube,1.389999,16.45391,0.944
637953181433320625,,,,0,,,looking at red cube,1.389999,16.42908,0.944
637953181433370649,,,,0,,,Regular Red Cube(Clone) was picked up,1.389999,16.42908,0.944
637953181456025722,,,,0,,,Regular Red Cube(Clone)was placed in dropzone,14,7,10.41
637953181461506953,,,,0,,,looking at invis cube,1.390015,13.83385,-1.813
637953181461616979,,,,0,,,looking at invis cube,1.390015,13.8112,-1.813
637953181461737007,,,,0,,,looking at invis cube,1.390015,13.78803,-1.813
637953181464517632,,,,0,,,looking at invis cube,1.390015,13.23272,-1.813
637953181464627658,,,,0,,,looking at invis cube,1.390015,13.21029,-1.813
637953181464737682,,,,0,,,looking at invis cube,1.390015,13.1876,-1.813
637953181464847702,,,,0,,,looking at invis cube,1.390015,13.16554,-1.813
637953181464957727,,,,0,,,looking at invis cube,1.390015,13.14339,-1.813
637953181465067754,,,,0,,,looking at invis cube,1.390015,13.12122,-1.813
637953181465177781,,,,0,,,looking at invis cube,1.390015,13.0992,-1.813
637953181465287806,,,,0,,,looking at invis cube,1.390015,13.07718,-1.813
637953181465397829,,,,0,,,looking at invis cube,1.390015,13.05459,-1.813
637953181465517857,,,,0,,,looking at invis cube,1.390015,13.03232,-1.813
637953181465627882,,,,0,,,looking at invis cube,1.390015,13.0103,-1.813
637953181465737904,,,,0,,,looking at invis cube,1.390015,12.98705,-1.813
637953181465847932,,,,0,,,looking at invis cube,1.390015,12.9655,-1.813
637953181465957955,,,,0,,,looking at invis cube,1.390015,12.94384,-1.813
637953181466067978,,,,0,,,looking at invis cube,1.390015,12.9216,-1.813
637953181466178006,,,,0,,,looking at invis cube,1.390015,12.89907,-1.813
637953181466288030,,,,0,,,looking at invis cube,1.390015,12.87694,-1.813
637953181466398055,,,,0,,,looking at invis cube,1.390015,12.85509,-1.813
637953181466518091,,,,0,,,looking at invis cube,1.390015,12.83228,-1.813
637953181466628111,,,,0,,,looking at invis cube,1.390015,12.81074,-1.813
637953181466678121,,,,0,,,Regular Neutral Cube(Clone) was picked up,1.390015,12.81074,-1.813
637953181476550336,,,,0,,,Regular Neutral Cube(Clone)was placed in dropzone,11,7,10.41
637953181481941546,,,,0,,,looking at blue cube,1.390015,12.78856,-1.813
637953181482061573,,,,0,,,looking at blue cube,1.390015,12.76616,-1.813
637953181482171599,,,,0,,,looking at blue cube,1.390015,12.74346,-1.813
637953181482391643,,,,0,,,looking at blue cube,1.390015,12.69952,-1.813
637953181482721720,,,,0,,,looking at blue cube,1.390015,12.63298,-1.813
637953181482951771,,,,0,,,looking at blue cube,1.390015,12.5889,-1.813
637953181484172046,,,,0,,,looking at blue cube,1.390015,12.34414,-1.813
637953181484292074,,,,0,,,looking at blue cube,1.390015,12.32106,-1.813
637953181484402097,,,,0,,,looking at blue cube,1.390015,12.29823,-1.813
637953181484512124,,,,0,,,looking at blue cube,1.390015,12.27666,-1.813
637953181484562140,,,,0,,,Regular Blue Cube(Clone) was picked up,1.390015,12.27666,-1.813
637953181496764885,,,,0,,,Regular Blue Cube(Clone)was placed in dropzone,13,7,10.41
637953181496814888,,,,0,,,Regular Blue Cube(Clone)was placed in dropzone,12,7,10.41
637953181503316346,,,,0,,,Regular Blue Cube(Clone) was picked up,13,4.689528,10.41
637953181520485252,,,,0,,,looking at red cube,1.390015,11.14438,-1.813
637953181520705310,,,,0,,,looking at red cube,1.390015,11.10014,-1.813
637953181521375455,,,,0,,,looking at invis cube,1.389999,7.942492,-0.46
637953181521495488,,,,0,,,looking at invis cube,1.389999,7.919277,-0.46
637953181521605508,,,,0,,,looking at invis cube,1.389999,7.896488,-0.46
637953181521715542,,,,0,,,looking at invis cube,1.389999,7.874309,-0.46
637953181521825553,,,,0,,,looking at invis cube,1.389999,7.852871,-0.46
637953181521935579,,,,0,,,looking at invis cube,1.389999,7.830578,-0.46
637953181522045607,,,,0,,,looking at invis cube,1.389999,7.808324,-0.46
637953181522155632,,,,0,,,looking at invis cube,1.389999,7.78668,-0.46
637953181522265654,,,,0,,,looking at invis cube,1.389999,7.764207,-0.46
637953181522375681,,,,0,,,looking at invis cube,1.389999,7.741945,-0.46
637953181522495709,,,,0,,,looking at invis cube,1.389999,7.718875,-0.46
637953181522605740,,,,0,,,looking at invis cube,1.389999,7.696521,-0.46
637953181522715758,,,,0,,,looking at invis cube,1.389999,7.674491,-0.46
637953181522835788,,,,0,,,looking at invis cube,1.389999,7.651259,-0.46
637953181522895807,,,,0,,,Regular Neutral Cube(Clone) was picked up,1.389999,7.651259,-0.46
637953181530638967,,,,0,,,Regular Neutral Cube(Clone)was placed in dropzone,11,7,10.41
637953181537820583,,,,0,,,looking at gold cube,1.390015,10.72326,-1.813
637953181538140656,,,,0,,,looking at gold cube,1.390015,10.65838,-1.813
637953181538260680,,,,0,,,looking at gold cube,1.390015,10.63561,-1.813
637953181538370709,,,,0,,,looking at gold cube,1.390015,10.61291,-1.813
637953181538490733,,,,0,,,looking at gold cube,1.390015,10.59052,-1.813
637953181538610758,,,,0,,,looking at gold cube,1.390015,10.5655,-1.813
637953181538730786,,,,0,,,looking at gold cube,1.390015,10.54217,-1.813
637953181540571196,,,,0,,,looking at red cube,1.390015,7.128336,-1.813
637953181540691229,,,,0,,,looking at red cube,1.390015,7.105899,-1.813
637953181540731237,,,,0,,,Regular Red Cube(Clone) was picked up,1.390015,7.105899,-1.813
637953181551190204,,,,0,,,Regular Red Cube(Clone)was placed in dropzone,14,7,10.41
637953181551240215,,,,0,,,Regular Red Cube(Clone)was placed in dropzone,13,7,10.41
637953181556376051,,,,0,,,Regular Red Cube(Clone) was picked up,13,4.962229,10.41
637953181565928196,,,,0,,,looking at gold cube,1.389999,11.16772,2.336
637953181566058222,,,,0,,,looking at gold cube,1.389999,11.14202,2.336
637953181570789290,,,,0,,,looking at gold cube,1.390015,4.136032,-1.813
637953181570909317,,,,0,,,looking at gold cube,1.390015,4.106626,-1.813
