TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637953181317464607,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181317574623,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181317664651,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181317754664,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181317844682,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181317934701,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318024735,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318114746,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318204766,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318324791,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318414811,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318514835,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318624860,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318734883,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318844909,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181318954934,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319064961,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319184984,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319295009,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319405033,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319515057,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319635088,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319735110,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319855137,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181319955161,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320075185,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320185208,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320295234,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320395254,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320515279,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320625303,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320735328,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320845352,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181320955377,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321075404,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321185427,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321295453,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321405480,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321515514,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321625530,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321735559,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321845582,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181321955606,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181322075633,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181322185660,,,,0,,,looking at Play wall,1.26,8.46,-0.3
637953181322295683,,,,0,,,looking at Play wall,1.26,8.46,-0.3
